obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<fpfh_iss_2015-05-26_14-59-11.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45614: 'http://tycho:45614/'}
rosversion: '1.11.10

  '
run_id: b5d3f44a-0703-11e5-9de8-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-21_13-50-10.pcd 0.00965022 0.00304638 0.00198192 2 37,20 22,13 -1 1114084 274 350 -1 -1 274 350 -1 -1 1113810,216,44,10,4 -1 0,216,44,10,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-21_13-50-26.pcd 0.0105377 0.00160666 0.00160119 1 5 1 -1 1112412 265 350 -1 -1 265 350 -1 -1 1112147,200,51,9,4,1 -1 0,200,51,9,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-21_13-50-41.pcd 0.0059413 0.00221164 0.00104389 1 35 25 -1 1205512 264 350 -1 -1 264 350 -1 -1 1205248,201,49,8,4,1,1 -1 0,201,49,8,4,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-50-50.pcd 0.00935777 0.00371857 0.00149901 2 29,23 22,21 -1 1096908 275 350 -1 -1 275 350 -1 -1 1096633,218,47,5,2,3 -1 0,218,47,5,2,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-51-07.pcd 0.00688058 0.00282954 0.00100238 2 19,16 12,13 -1 1072170 256 350 -1 -1 256 350 -1 -1 1071914,192,41,17,5,1 -1 0,192,41,17,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-51-17.pcd 0.00499638 0.00197043 0.00104021 4 27,27,24,16 20,17,16,14 0,0,0,0 1205360 257 350 5 8 257 350 5 8 1205103,195,44,10,5,2,0,1 0,3,1,1,0,0,0,0 0,195,44,10,5,2,0,1 0,3,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-51-24.pcd 0.00562324 0.00234146 0.00100758 2 19,14 12,12 0,0 1169792 263 350 2 6 263 350 2 6 1169529,202,41,14,6 0,0,0,2,0 0,202,41,14,6 0,0,0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-21_13-51-35.pcd 0.00728606 0.00215628 0.00102974 1 4 1 -1 1120164 279 350 -1 -1 279 350 -1 -1 1119885,222,47,6,4 -1 0,222,47,6,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-51-52.pcd 0.00824833 0.00111411 0.00172857 2 29,16 15,15 0,0 1030788 254 350 3 7 254 350 3 7 1030534,186,45,20,2,0,1 0,0,2,1,0,0,0 0,186,45,20,2,0,1 0,0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_iss_2015-05-21_13-52-04.pcd 0.0062358 0.00235588 0.00117368 2 39,24 26,21 -1 1020376 268 350 -1 -1 268 350 -1 -1 1020108,209,44,11,2,0,2 -1 0,209,44,11,2,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_iss_2015-05-21_13-52-16.pcd 0.00686161 0.00191192 0.00114471 3 29,26,23 21,21,19 0,0,0 1131146 279 350 1 1 279 350 1 1 1130867,219,51,8,0,1 0,1,0,0,0,0 0,219,51,8,0,1 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-52-27.pcd 0.00513116 0.00271782 0.00106406 4 35,24,15,15 27,15,12,12 0,0,0,0 1092006 258 350 6 10 258 350 6 10 1091748,193,46,12,6,1 0,4,1,0,1,0 0,193,46,12,6,1 0,4,1,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-52-37.pcd 0.0046651 0.00261899 0.001037 2 19,17 12,12 0,0 1067800 252 350 3 6 252 350 3 6 1067548,183,50,11,6,2 0,1,1,1,0,0 0,183,50,11,6,2 0,1,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_iss_2015-05-21_13-52-46.pcd 0.0083316 0.00296369 0.00167838 2 39,17 31,12 0,0 1110512 262 350 1 1 262 350 1 1 1110250,203,40,15,2,0,1,0,1 0,1,0,0,0,0,0,0,0 0,203,40,15,2,0,1,0,1 0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_iss_2015-05-21_13-53-00.pcd 0.00476835 0.0027892 0.00189838 1 31 23 0 1093032 261 350 4 8 261 350 4 8 1092771,200,38,18,5 0,2,0,2,0 0,200,38,18,5 0,2,0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-53-09.pcd 0.00485922 0.00269451 0.00109466 4 36,27,25,21 28,24,18,13 -1 1149500 265 350 -1 -1 265 350 -1 -1 1149235,204,45,11,3,1,1 -1 0,204,45,11,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-53-20.pcd 0.00646299 0.00313886 0.00157903 2 50,20 27,12 0,0 1069776 249 350 4 5 249 350 4 5 1069527,181,41,22,4,1 0,3,1,0,0,0 0,181,41,22,4,1 0,3,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-53-29.pcd 0.00775622 0.00393325 0.00180781 5 32,24,20,17,15 22,19,13,12,12 0,0,0,0,0 1085280 263 350 3 8 263 350 3 8 1085017,197,49,14,2,1 0,0,2,0,1,0 0,197,49,14,2,1 0,0,2,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_iss_2015-05-21_13-53-40.pcd 0.00598438 0.0024931 0.0017232 3 23,20,17 16,17,13 0,0,0 1068042 269 350 3 7 269 350 3 7 1067773,205,51,10,2,1 0,1,0,2,0,0 0,205,51,10,2,1 0,1,0,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-53-50.pcd 0.00768224 0.00189036 0.00105654 4 48,47,26,16 34,32,21,12 0,0,0,0 1135060 254 350 4 14 254 350 4 14 1134806,193,43,10,3,3,1,0,1 0,0,2,0,0,2,0,0,0 0,193,43,10,3,3,1,0,1 0,0,2,0,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-54-01.pcd 0.00635734 0.00255583 0.00105296 3 41,33,17 26,21,14 0,0,0 931326 258 350 2 5 258 350 2 5 931068,196,44,8,9,0,1 0,1,0,0,1,0,0 0,196,44,8,9,0,1 0,1,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<fpfh_iss_2015-05-21_13-54-16.pcd 0.00488413 0.00246604 0.00130742 3 57,30,25 39,20,19 0,0,0 1046010 255 350 6 9 255 350 6 9 1045755,188,47,14,4,2 0,4,1,1,0,0 0,188,47,14,4,2 0,4,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-54-37.pcd 0.00411517 0.00218497 0.0010253 3 47,22,15 30,14,12 0,0,0 1004088 251 350 1 3 251 350 1 3 1003837,184,45,14,6,2 0,0,0,1,0,0 0,184,45,14,6,2 0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-54-57.pcd 0.00436147 0.00113416 0.00103418 1 84 56 0 927300 256 350 4 4 256 350 4 4 927044,189,46,18,1,1,1 0,4,0,0,0,0,0 0,189,46,18,1,1,1 0,4,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<fpfh_iss_2015-05-21_13-55-19.pcd 0.00599563 0.00196632 0.00111426 4 46,30,27,24 23,24,21,16 0,0,0,0 890800 265 350 8 12 265 350 8 12 890535,207,43,7,4,4 0,4,4,0,0,0 0,207,43,7,4,4 0,4,4,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<fpfh_iss_2015-05-21_13-55-50.pcd 0.00464547 0.00240405 0.00105991 4 28,27,19,19 20,17,13,13 0,0,0,0 1093830 253 350 4 11 253 350 4 11 1093577,180,53,16,4 0,0,2,1,1 0,180,53,16,4 0,0,2,1,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-21_13-56-01.pcd 0.00724169 0.00279876 0.00168376 3 33,18,15 25,13,12 0,0,0 1142888 262 350 3 7 262 350 3 7 1142626,192,60,6,2,1,0,1 0,0,2,1,0,0,0,0 0,192,60,6,2,1,0,1 0,0,2,1,0,0,0,0
