obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<pfhrgb_iss_2015-05-26_15-03-29.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34661: 'http://tycho:34661/'}
rosversion: '1.11.10

  '
run_id: 073a078e-0704-11e5-94b4-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-06-46.pcd 0.0656679 0.00124494 0.00119065 5 39,21,18,16,13 14,13,16,13,12 -1 1114084 267 350 -1 -1 267 350 -1 -1 1113817,217,30,12,6,0,1,1 -1 0,217,30,12,6,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-07-41.pcd 0.0678349 0.00194943 0.00100239 2 53,18 17,14 -1 1112412 256 350 -1 -1 256 350 -1 -1 1112156,204,35,5,6,2,2,1,1 -1 0,204,35,5,6,2,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-21_14-08-36.pcd 0.0549555 0.00146331 0.0012952 3 45,36,21 36,18,14 -1 1205512 254 350 -1 -1 254 350 -1 -1 1205258,196,38,12,4,2,0,0,2 -1 0,196,38,12,4,2,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-09-05.pcd 0.0648065 0.00124557 0.00164425 2 38,35 29,22 -1 1096908 268 350 -1 -1 268 350 -1 -1 1096640,205,47,14,1,1 -1 0,205,47,14,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-14.pcd 0.0549195 0.00109115 0.000947803 3 36,25,18 28,12,13 -1 1072170 240 350 -1 -1 240 350 -1 -1 1071930,177,42,11,4,2,2,0,0,2 -1 0,177,42,11,4,2,2,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-10-50.pcd 0.0561102 0.00130159 0.00101257 2 46,24 24,13 0,0 1205360 250 350 2 2 250 350 2 2 1205110,200,26,14,1,5,3,0,0,1 0,2,0,0,0,0,0,0,0,0 0,200,26,14,1,5,3,0,0,1 0,2,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-15.pcd 0.062698 0.00117023 0.000964835 2 27,23 14,19 0,0 1169792 257 350 0 0 257 350 0 0 1169535,199,37,12,5,3,1 0,0,0,0,0,0,0 0,199,37,12,5,3,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-21_14-11-52.pcd 0.0609416 0.00122635 0.000873983 3 22,19,12 15,12,12 -1 1120164 212 350 -1 -1 212 350 -1 -1 1119952,143,32,18,10,7,1,0,1 -1 0,143,32,18,10,7,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-00.pcd 0.0658041 0.00117335 0.000526309 2 30,15 20,13 0,0 1030788 254 350 3 4 254 350 3 4 1030534,202,29,11,7,2,2,1 0,2,1,0,0,0,0,0 0,202,29,11,7,2,2,1 0,2,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_iss_2015-05-21_14-13-46.pcd 0.0611165 0.00115841 0.00100723 2 26,24 13,20 -1 1020376 239 350 -1 -1 239 350 -1 -1 1020137,185,34,5,7,3,1,1,1,2 -1 0,185,34,5,7,3,1,1,1,2 -1
