obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<fpfh_sift_2015-05-26_15-11-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/iter100',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/iter100,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__56713: 'http://tycho:56713/'}
rosversion: '1.11.10

  '
run_id: 5c22f542-0706-11e5-bc34-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_sift_2015-05-21_16-28-26.pcd 0.00049425 0.00350686 0.000357844 1 2 1 -1 1098900 68 80 -1 -1 68 80 -1 -1 1098832,56,12 -1 0,56,12 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_sift_2015-05-21_16-28-29.pcd 0.000745412 0.00139671 0.000283372 1 3 1 -1 1112412 67 80 -1 -1 67 80 -1 -1 1112345,55,11,1 -1 0,55,11,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_sift_2015-05-21_16-28-33.pcd 0.000455071 0.00150106 0.000274705 1 2 1 -1 1139924 66 80 -1 -1 66 80 -1 -1 1139858,52,14 -1 0,52,14 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-35.pcd 0.000594289 0.00274342 0.00027502 1 2 1 -1 1096908 66 80 -1 -1 66 80 -1 -1 1096842,52,14 -1 0,52,14 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-39.pcd 0.000442817 0.00144499 0.000390384 1 2 1 -1 1079694 67 80 -1 -1 67 80 -1 -1 1079627,54,13 -1 0,54,13 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-41.pcd 0.000454132 0.00263163 0.00030297 1 2 1 0 1205360 68 80 1 1 68 80 1 1 1205292,56,12 0,1,0 0,56,12 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-42.pcd 0.000638396 0.00370558 0.00030324 1 2 1 0 1185942 66 80 1 2 66 80 1 2 1185876,52,14 0,0,1 0,52,14 0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_sift_2015-05-21_16-28-45.pcd 0.00048145 0.00256907 0.000272975 1 3 1 -1 1155238 62 80 -1 -1 62 80 -1 -1 1155176,46,14,2 -1 0,46,14,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-48.pcd 0.000592683 0.00137793 0.00030346 1 3 1 0 1101506 65 80 1 1 65 80 1 1 1101441,51,13,1 0,1,0,0 0,51,13,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_sift_2015-05-21_16-28-51.pcd 0.000448075 0.00345415 0.000258031 1 4 1 -1 1057122 61 80 -1 -1 61 80 -1 -1 1057061,48,9,2,2 -1 0,48,9,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_sift_2015-05-21_16-28-54.pcd 0.000462611 0.0079431 0.000280168 1 2 1 0 1143420 64 80 0 0 64 80 0 0 1143356,48,16 0,0,0 0,48,16 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-57.pcd 0.00042177 0.00602957 0.000410483 1 3 1 0 1150032 62 80 1 1 62 80 1 1 1149970,48,10,4 0,1,0,0 0,48,10,4 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-28-59.pcd 0.000371084 0.00214989 0.000290572 1 6 1 0 1070802 63 80 1 1 63 80 1 1 1070739,50,12,0,0,0,1 0,1,0,0,0,0,0 0,50,12,0,0,0,1 0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_sift_2015-05-21_16-29-01.pcd 0.000608435 0.00540327 0.000247497 1 2 1 0 1150678 65 80 1 1 65 80 1 1 1150613,50,15 0,1,0 0,50,15 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_sift_2015-05-21_16-29-03.pcd 0.000374943 0.0020914 0.000414772 1 2 1 0 1093032 67 80 0 0 67 80 0 0 1092965,54,13 0,0,0 0,54,13 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-29-06.pcd 0.000467826 0.00307447 0.000374511 1 2 1 -1 1234240 62 80 -1 -1 62 80 -1 -1 1234178,44,18 -1 0,44,18 -1
/media/michal/Pauli/masterdata/processed/paramtest/iter100/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_sift_2015-05-21_16-29-08.pcd 0.000437331 0.00284634 0.00039413 1 6 1 0 1246552 61 80 1 1 61 80 1 1 1246491,46,14,0,0,0,1 0,1,0,0,0,0,0 0,46,14,0,0,0,1 0,1,0,0,0,0,0
