obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<shot_uniform_2015-05-26_14-45-47.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__50572: 'http://tycho:50572/', host_tycho__53123: 'http://tycho:53123/'}
rosversion: '1.11.10

  '
run_id: 9dba18e0-0856-11e5-880e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-55-10.pcd 1.90405 0.00170914 0.00311765 7 75,74,62,46,31,14,14 49,51,44,22,21,13,13 0,0,0,0,0,0,0 449955 1031 1260 32 41 400 629 9 18 448924,844,155,25,5,1,1 0,23,9,0,0,0,0 0,213,155,25,5,1,1 0,0,9,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-17_10-55-09.pcd 2.02662 0.00141587 0.00287756 8 84,72,35,34,25,21,15,12 63,52,28,26,17,17,13,12 0,0,0,0,0,0,0,0 424446 1085 1260 22 28 400 575 5 11 423361,932,133,18,2 0,17,4,1,0 0,247,133,18,2 0,0,4,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-19.pcd 1.889 0.00086353 0.0017899 8 129,42,35,33,23,19,19,16 106,33,25,16,18,19,15,13 0,0,0,0,0,0,0,0 445269 1094 1260 21 27 400 566 6 12 444175,949,127,15,3 0,15,6,0,0 0,255,127,15,3 0,0,6,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-01.pcd 1.90034 0.00088015 0.00296403 6 123,64,44,21,18,15 100,48,38,15,14,12 0,0,0,0,0,0 461736 1094 1260 19 29 400 566 6 16 460642,947,130,15,2 0,13,3,2,1 0,253,130,15,2 0,0,3,2,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-00.pcd 1.82097 0.00082246 0.00172553 7 78,71,28,22,21,15,15 63,58,13,16,13,14,13 0,0,0,0,0,0,0 404481 1078 1260 20 25 400 582 5 10 403403,912,150,16 0,15,5,0 0,234,150,16 0,0,5,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-07.pcd 1.98236 0.00130358 0.00284716 9 79,59,47,35,32,31,24,13,12 48,34,36,26,29,26,16,12,12 0,0,0,0,0,0,0,0,0 424710 1063 1260 21 31 400 597 6 16 423647,899,135,26,2,1 0,15,3,2,1,0 0,236,135,26,2,1 0,0,3,2,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-09.pcd 1.6193 0.00102079 0.0023931 7 75,47,41,39,36,30,18 58,32,24,23,24,19,14 0,0,0,0,0,0,0 456456 1007 1260 22 29 400 653 6 13 455449,794,179,29,4,1 0,16,5,1,0,0 0,187,179,29,4,1 0,0,5,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-08.pcd 1.84337 0.000888266 0.0028803 9 66,47,42,39,27,27,23,19,15 51,38,37,32,12,12,18,15,12 0,0,0,0,0,0,0,0,0 449592 1091 1260 33 40 400 569 6 13 448501,945,126,17,3 0,27,5,1,0 0,254,126,17,3 0,0,5,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-56-10.pcd 1.9618 0.000904074 0.00196087 5 112,57,43,32,27 74,45,28,21,20 -1 451044 1045 1260 -1 -1 400 615 -1 -1 449999,864,153,22,6 -1 0,219,153,22,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-23.pcd 1.90446 0.00107021 0.00291816 8 76,73,46,42,30,23,22,20 54,49,31,19,18,13,16,15 0,0,0,0,0,0,0,0 451044 1043 1260 16 23 400 617 5 12 450001,855,163,21,4 0,11,4,0,1 0,212,163,21,4 0,0,4,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-17_10-56-22.pcd 1.57867 0.000850704 0.00306601 6 149,37,31,26,25,23 112,29,21,18,22,18 0,0,0,0,0,0 427977 1071 1260 23 30 400 589 4 11 426906,906,143,21,0,1 0,19,3,0,0,1 0,235,143,21,0,1 0,0,3,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_uniform_2015-05-17_10-55-45.pcd 2.15096 0.000845743 0.00278527 8 132,44,32,30,25,23,22,16 87,28,24,26,18,20,18,16 0,0,0,0,0,0,0,0 470184 1047 1260 32 40 400 613 7 15 469137,872,145,24,4,2 0,25,6,1,0,0 0,225,145,24,4,2 0,0,6,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-55-42.pcd 1.79252 0.000884297 0.00280666 11 106,44,37,33,32,29,28,27,19,18,13 80,33,22,25,17,21,13,13,14,16,12 0,0,0,0,0,0,0,1,0,0,0 453024 1046 1260 28 41 400 614 12 25 451978,866,151,24,5 0,16,11,1,0 0,220,151,24,5 0,0,11,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-55-48.pcd 1.9112 0.00234183 0.0028985 9 92,55,47,39,29,26,18,14,13 68,40,32,25,25,19,17,12,12 0,0,0,0,0,0,0,0,0 434214 1070 1260 29 34 400 590 5 10 433144,917,119,31,3 0,24,5,0,0 0,247,119,31,3 0,0,5,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-55-43.pcd 2.20992 0.000776409 0.00257056 9 62,40,32,27,27,25,19,16,15 43,29,24,20,14,12,17,13,13 0,0,0,0,1,0,0,0,0 434313 1055 1260 31 41 400 605 8 18 433258,870,166,18,1 0,23,7,0,1 0,215,166,18,1 0,0,7,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_uniform_2015-05-17_10-55-47.pcd 1.89116 0.000878046 0.00291637 8 63,47,47,43,29,26,25,18 49,38,32,33,14,21,12,12 0,0,0,0,0,0,0,0 462264 1082 1260 23 27 400 578 3 7 461182,926,134,22 0,20,2,1 0,244,134,22 0,0,2,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-55-45.pcd 1.85773 0.00172976 0.00281686 5 126,32,24,24,18 97,26,21,16,14 0,0,0,0,0 491568 1078 1260 22 24 400 582 2 4 490490,921,135,20,1,1 0,20,2,0,0,0 0,243,135,20,1,1 0,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-21.pcd 1.97774 0.001336 0.00171438 7 125,46,43,30,25,16,15 107,38,36,16,21,13,12 0,0,0,0,0,0,0 517902 1112 1260 22 24 400 548 2 4 516790,985,111,13,1,2 0,20,2,0,0,0 0,273,111,13,1,2 0,0,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-55-19.pcd 1.79326 0.000933746 0.00277117 8 89,55,50,42,34,27,21,21 61,35,35,30,22,19,20,16 0,0,0,0,0,0,0,0 446160 1040 1260 24 38 400 620 10 24 445120,863,145,25,5,0,2 0,14,8,0,2,0,0 0,223,145,25,5,0,2 0,0,8,0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-55-16.pcd 2.00594 0.00153021 0.00316611 9 52,45,42,36,31,30,25,22,19 40,33,30,28,22,25,12,19,16 0,0,0,0,0,0,0,0,0 453024 1078 1260 24 33 400 582 6 15 451946,917,142,17,2 0,18,4,1,1 0,239,142,17,2 0,0,4,1,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-55-11.pcd 1.76375 0.00071648 0.00215447 6 131,68,35,35,30,18 96,51,32,24,27,12 0,0,0,0,0,0 419265 1059 1260 20 26 400 601 4 10 418206,891,141,23,2,2 0,16,2,2,0,0 0,232,141,23,2,2 0,0,2,2,0,0
