obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shotcolor_uniform_2015-05-26_14-46-00.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38410: 'http://tycho:38410/', host_tycho__44683: 'http://tycho:44683/',
    host_tycho__47045: 'http://tycho:47045/'}
rosversion: '1.11.10

  '
run_id: 9878f672-085f-11e5-9442-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-45.pcd 8.1543 0.00215628 0.0018905 9 64,51,48,47,46,30,22,22,22 35,27,15,21,28,18,13,12,12 0,0,0,0,0,0,0,0,0 449955 922 1280 8 12 400 758 3 7 449033,694,150,50,18,4,1,3,1,1 0,5,2,1,0,0,0,0,0,0 0,172,150,50,18,4,1,3,1,1 0,0,2,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-46.pcd 8.72086 0.00139703 0.0022038 8 111,44,43,40,38,30,21,15 58,25,13,13,26,18,18,13 0,0,0,1,0,0,0,0 424446 933 1280 29 56 400 747 13 40 423513,707,156,43,14,7,2,3,1 0,16,6,3,3,0,0,1,0 0,174,156,43,14,7,2,3,1 0,0,6,3,3,0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-47.pcd 8.98372 0.000894834 0.0031239 5 127,92,57,55,28 59,50,38,34,16 -1 445269 968 1280 -1 -1 400 712 -1 -1 444301,754,148,43,18,1,4 -1 0,186,148,43,18,1,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-48.pcd 8.95585 0.000729948 0.00353899 10 102,60,59,55,51,36,31,25,24,20 56,25,29,15,27,22,24,16,17,12 -1 461736 952 1280 -1 -1 400 728 -1 -1 460784,737,150,40,12,8,2,1,2 -1 0,185,150,40,12,8,2,1,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-50.pcd 9.03623 0.000880601 0.00174009 8 113,51,39,37,35,20,18,14 49,25,23,25,17,15,15,13 0,0,0,0,0,0,0,0 404481 955 1280 17 20 400 725 2 5 403526,746,143,37,19,5,2,1,1,1 0,15,1,1,0,0,0,0,0,0 0,191,143,37,19,5,2,1,1,1 0,0,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-51.pcd 8.41059 0.000792148 0.00313787 6 133,108,42,40,21,20 56,56,19,18,16,18 0,0,0,0,0,0 424710 948 1280 13 20 400 732 6 13 423762,742,132,44,18,7,3,0,1,1 0,7,5,1,0,0,0,0,0,0 0,194,132,44,18,7,3,0,1,1 0,0,5,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-53.pcd 7.77925 0.000867192 0.00188794 5 138,123,113,26,16 40,59,58,12,14 0,0,0,0,0 456456 847 1280 4 5 400 833 1 2 455609,603,145,55,25,6,4,7,0,1,1 0,3,1,0,0,0,0,0,0,0,0 0,156,145,55,25,6,4,7,0,1,1 0,0,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-54.pcd 8.01304 0.00062843 0.00193533 9 104,79,65,47,42,40,26,20,17 50,58,32,14,17,23,20,13,17 -1 449592 957 1280 -1 -1 400 723 -1 -1 448635,750,136,43,20,4,3,0,0,0,0,1 -1 0,193,136,43,20,4,3,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-55.pcd 8.35992 0.00132249 0.00253749 6 153,86,40,33,28,26 55,41,14,27,19,13 -1 451044 917 1280 -1 -1 400 763 -1 -1 450127,709,137,36,10,8,11,5,1 -1 0,192,137,36,10,8,11,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-17_11-22-56.pcd 8.40272 0.000847958 0.0030002 7 125,99,87,52,48,23,13 57,54,43,32,21,15,12 0,0,0,0,0,0,0 451044 940 1280 30 41 400 740 7 18 450104,719,145,51,16,5,3,0,0,0,0,1 0,23,4,2,1,0,0,0,0,0,0,0 0,179,145,51,16,5,3,0,0,0,0,1 0,0,4,2,1,0,0,0,0,0,0,0
