obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<pfhrgb_uniform_2015-05-26_14-52-08.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,2/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51079: 'http://tycho:51079/'}
rosversion: '1.11.10

  '
run_id: b840e87e-085b-11e5-a1a8-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-41-17.pcd 0.25693 0.00124264 0.00292459 6 95,53,49,48,39,34 43,19,15,32,15,19 -1 449955 547 1010 -1 -1 400 863 -1 -1 449408,332,124,42,17,12,7,3,2,1,2,2,1,0,0,1,0,0,0,1 -1 0,185,124,42,17,12,7,3,2,1,2,2,1,0,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-43-03.pcd 0.26345 0.000574051 0.00197281 9 108,94,45,43,35,30,30,21,17 30,43,24,35,12,16,13,13,13 -1 424446 603 1010 -1 -1 400 807 -1 -1 423843,392,126,39,22,14,1,4,1,2,0,0,0,0,0,1,1 -1 0,189,126,39,22,14,1,4,1,2,0,0,0,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-45-09.pcd 0.257364 0.000871962 0.00166953 7 94,68,40,40,32,28,15 49,28,18,14,20,16,13 -1 445269 558 1010 -1 -1 400 852 -1 -1 444711,338,133,33,23,13,4,7,3,0,0,0,1,1,2 -1 0,180,133,33,23,13,4,7,3,0,0,0,1,1,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-46-34.pcd 0.247642 0.000785333 0.00171053 8 143,122,51,44,35,24,24,12 62,38,20,14,26,16,15,12 -1 461736 568 1010 -1 -1 400 842 -1 -1 461168,350,125,39,29,7,8,4,0,2,2,0,0,1,0,1 -1 0,182,125,39,29,7,8,4,0,2,2,0,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-47-56.pcd 0.321686 0.00116343 0.00266917 8 115,72,49,41,37,33,32,20 36,16,30,28,21,16,14,15 -1 404481 596 1010 -1 -1 400 814 -1 -1 403885,388,127,33,23,12,1,5,1,2,2,0,1,0,0,0,0,0,1 -1 0,192,127,33,23,12,1,5,1,2,2,0,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-49-01.pcd 0.220672 0.000793781 0.00174669 6 91,66,48,36,36,33 35,33,21,18,16,12 -1 424710 543 1010 -1 -1 400 867 -1 -1 424167,327,110,49,24,15,5,5,3,2,0,2,0,0,0,0,1 -1 0,184,110,49,24,15,5,5,3,2,0,2,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-50-02.pcd 0.262852 0.000836225 0.0016778 8 82,65,51,51,45,26,24,16 21,20,30,19,16,13,16,12 0,0,0,0,0,0,0,0 456456 516 1010 6 9 400 894 3 6 455940,300,113,45,23,14,3,3,6,3,3,1,1,0,0,0,0,0,0,0,1 0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,184,113,45,23,14,3,3,6,3,3,1,1,0,0,0,0,0,0,0,1 0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-51-06.pcd 0.244926 0.00119469 0.00183432 7 92,59,41,33,28,21,20 29,33,19,14,16,13,12 0,0,0,0,0,0,0 449592 602 1010 4 5 400 808 1 2 448990,400,110,40,25,6,12,6,1,2 0,3,1,0,0,0,0,0,0,0 0,198,110,40,25,6,12,6,1,2 0,0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-52-24.pcd 0.164758 0.000841943 0.00193239 6 375,96,89,81,44,42 143,48,19,36,20,15 -1 451044 415 1010 -1 -1 400 995 -1 -1 450629,200,85,45,33,21,8,5,4,3,5,1,3,1,0,0,1 -1 0,185,85,45,33,21,8,5,4,3,5,1,3,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-17_13-54-19.pcd 0.23026 0.000799916 0.00270323 7 91,88,73,42,26,23,19 39,35,30,19,13,12,12 0,0,0,0,0,0,0 451044 561 1010 11 21 400 849 8 18 450483,339,126,41,26,14,4,2,4,4,0,0,0,0,0,0,1 0,3,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0 0,178,126,41,26,14,4,2,4,4,0,0,0,0,0,0,1 0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0
