obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/backpack2/features/rgb_0003_label_backpack2<shot_iss_2015-05-28_11-00-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34739: 'http://tycho:34739/', host_tycho__38468: 'http://tycho:38468/',
    host_tycho__39381: 'http://tycho:39381/', host_tycho__47870: 'http://tycho:47870/',
    host_tycho__51708: 'http://tycho:51708/'}
rosversion: '1.11.10

  '
run_id: f6418a4e-08af-11e5-9529-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-18_22-24-43.pcd 0.0261375 0.00155995 0.000916025 1 3 1 0 361152 123 140 4 4 123 140 4 4 361029,108,13,2 0,4,0,0 0,108,13,2 0,4,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-18_22-24-47.pcd 0.0290286 0.000550891 0.000729592 1 2 1 0 390080 129 140 1 1 129 140 1 1 389951,118,11 0,1,0 0,118,11 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-18_22-24-52.pcd 0.0293622 0.00143369 0.000777041 1 3 1 0 386628 127 140 2 2 127 140 2 2 386501,115,11,1 0,2,0,0 0,115,11,1 0,2,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-18_22-24-57.pcd 0.0292568 0.000505599 0.000784454 1 3 1 0 368000 124 140 1 1 124 140 1 1 367876,109,14,1 0,1,0,0 0,109,14,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-02.pcd 0.0233942 0.00136029 0.000827936 1 2 1 0 382800 125 140 1 1 125 140 1 1 382675,110,15 0,1,0 0,110,15 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-07.pcd 0.0248539 0.000664075 0.000819276 1 17 14 0 353856 118 140 4 5 118 140 4 5 353738,100,14,4 0,3,1,0 0,100,14,4 0,3,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-12.pcd 0.0224483 0.000964803 0.000841504 1 15 12 0 371200 126 140 4 4 126 140 4 4 371074,113,12,1 0,4,0,0 0,113,12,1 0,4,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-17.pcd 0.0260121 0.00126103 0.000797627 1 3 1 1 424320 123 140 5 7 123 140 5 7 424197,107,15,1 0,4,0,1 0,107,15,1 0,4,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-18_22-25-21.pcd 0.0265976 0.000562828 0.000874635 1 13 12 -1 374912 128 140 -1 -1 128 140 -1 -1 374784,117,10,1 -1 0,117,10,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-18_22-25-26.pcd 0.032071 0.00141467 0.000606832 1 3 1 0 413952 127 140 2 2 127 140 2 2 413825,115,11,1 0,2,0,0 0,115,11,1 0,2,0,0
