obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<shotcolor_iss_2015-05-28_11-01-18.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41699: 'http://tycho:41699/', host_tycho__42313: 'http://tycho:42313/',
    host_tycho__49672: 'http://tycho:49672/', host_tycho__53085: 'http://tycho:53085/',
    host_tycho__55205: 'http://tycho:55205/', host_tycho__55410: 'http://tycho:55410/'}
rosversion: '1.11.10

  '
run_id: d8cef494-08d0-11e5-8413-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.346842 0.00158028 0.00170943 6 100,62,51,38,32,28 32,12,29,17,14,14 0,0,0,0,0,0 361152 214 540 15 46 214 540 15 46 360938,99,43,19,18,14,8,3,5,3,2 0,6,1,1,3,3,0,0,1,0,0 0,99,43,19,18,14,8,3,5,3,2 0,6,1,1,3,3,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.39761 0.000559948 0.00092561 4 94,84,57,34 27,24,21,17 0,0,1,0 390080 198 540 22 64 198 540 22 64 389882,89,39,21,10,10,13,6,4,0,3,0,2,0,1 0,9,4,3,0,1,3,1,1,0,0,0,0,0,0 0,89,39,21,10,10,13,6,4,0,3,0,2,0,1 0,9,4,3,0,1,3,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.422608 0.00135408 0.00106497 6 110,80,66,52,39,22 44,36,21,24,19,12 0,0,1,0,0,0 386628 238 540 18 63 238 540 18 63 386390,122,47,24,15,9,10,4,5,1,1 0,8,2,0,3,1,0,0,3,0,1 0,122,47,24,15,9,10,4,5,1,1 0,8,2,0,3,1,0,0,3,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.376676 0.000605799 0.00153412 5 85,82,53,48,26 27,22,20,19,12 0,0,0,0,0 368000 221 540 9 27 221 540 9 27 367779,98,57,23,10,9,9,5,6,3,1 0,2,3,2,0,0,1,1,0,0,0 0,98,57,23,10,9,9,5,6,3,1 0,2,3,2,0,0,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.356399 0.0010398 0.000957763 5 107,99,40,39,38 33,33,12,18,18 0,0,0,0,0 382800 208 540 14 37 208 540 14 37 382592,94,51,15,13,7,10,7,3,3,3,2 0,2,8,1,2,0,0,0,1,0,0,0 0,94,51,15,13,7,10,7,3,3,3,2 0,2,8,1,2,0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.349499 0.00102485 0.00144744 5 147,87,69,48,29 38,35,22,19,14 0,0,0,1,0 353856 212 540 17 38 212 540 17 38 353644,95,44,26,11,10,10,9,3,3,0,1 0,8,5,1,1,0,1,1,0,0,0,0 0,95,44,26,11,10,10,9,3,3,0,1 0,8,5,1,1,0,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.366241 0.000944446 0.00138592 5 124,104,59,52,26 41,23,20,15,13 0,0,0,0,0 371200 202 540 2 2 202 540 2 2 370998,84,44,21,17,11,12,4,2,5,1,1 0,2,0,0,0,0,0,0,0,0,0,0 0,84,44,21,17,11,12,4,2,5,1,1 0,2,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.36693 0.000704583 0.00110264 5 82,74,66,63,24 20,31,28,25,16 0,0,0,0,0 424320 229 540 4 7 229 540 4 7 424091,111,42,28,17,11,9,7,1,3 0,1,3,0,0,0,0,0,0,0 0,111,42,28,17,11,9,7,1,3 0,1,3,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.324448 0.00059888 0.00204807 7 91,58,36,28,26,25,16 47,16,16,13,18,15,15 -1 374912 304 540 -1 -1 304 540 -1 -1 374608,200,58,20,4,10,6,0,0,2,2,1,0,1 -1 0,200,58,20,4,10,6,0,0,2,2,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.410178 0.000651502 0.00152125 5 97,84,82,76,56 31,31,20,25,24 0,0,0,0,1 413952 204 540 20 52 204 540 20 52 413748,84,47,26,11,10,8,10,5,0,2,0,1 0,7,6,4,0,1,0,0,2,0,0,0,0 0,84,47,26,11,10,8,10,5,0,2,0,1 0,7,6,4,0,1,0,0,2,0,0,0,0
