obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<shot_susan_2015-05-28_11-02-27.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__32911: 'http://tycho:32911/', host_tycho__41699: 'http://tycho:41699/',
    host_tycho__42313: 'http://tycho:42313/', host_tycho__46849: 'http://tycho:46849/',
    host_tycho__48803: 'http://tycho:48803/', host_tycho__49672: 'http://tycho:49672/',
    host_tycho__50801: 'http://tycho:50801/', host_tycho__53085: 'http://tycho:53085/',
    host_tycho__55205: 'http://tycho:55205/', host_tycho__55410: 'http://tycho:55410/'}
rosversion: '1.11.10

  '
run_id: d8cef494-08d0-11e5-8413-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-19_20-12-16.pcd 0.0398189 0.00173405 0.000826015 1 2 1 0 378972 111 120 11 13 111 120 11 13 378861,102,9 0,9,2 0,102,9 0,9,2
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-19_20-12-16.pcd 0.0379605 0.000602682 0.000705613 1 3 1 0 409266 109 120 7 7 109 120 7 7 409157,99,9,1 0,7,0,0 0,99,9,1 0,7,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-19_20-12-16.pcd 0.0410613 0.000572674 0.000680391 1 6 1 0 372900 105 120 5 6 105 120 5 6 372795,94,10,0,0,0,1 0,4,1,0,0,0,0 0,94,10,0,0,0,1 0,4,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-19_20-12-17.pcd 0.0409549 0.000608763 0.000566069 1 2 1 0 373296 99 120 2 2 99 120 2 2 373197,78,21 0,2,0 0,78,21 0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-19_20-12-17.pcd 0.0538823 0.000843268 0.00063419 1 3 1 0 397188 110 120 5 5 110 120 5 5 397078,101,8,1 0,5,0,0 0,101,8,1 0,5,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-19_20-12-17.pcd 0.0335848 0.000606841 0.000659651 1 4 1 0 371316 102 120 2 2 102 120 2 2 371214,87,13,1,1 0,2,0,0,0 0,87,13,1,1 0,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-19_20-12-18.pcd 0.0439863 0.000592943 0.000669316 1 3 1 0 397683 106 120 1 1 106 120 1 1 397577,93,12,1 0,1,0,0 0,93,12,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-19_20-12-18.pcd 0.049074 0.000840484 0.000792516 1 4 1 0 364914 108 120 0 0 108 120 0 0 364806,99,7,1,1 0,0,0,0,0 0,99,7,1,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-19_20-12-18.pcd 0.0170105 0.000603688 0.00056223 1 19 14 -1 393294 96 120 -1 -1 96 120 -1 -1 393198,77,14,5 -1 0,77,14,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-19_20-12-18.pcd 0.0386126 0.00102584 0.000518437 1 17 13 0 401016 104 120 4 5 104 120 4 5 400912,89,14,1 0,3,1,0 0,89,14,1 0,3,1,0
