obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<pfhrgb_uniform_2015-05-28_11-00-24.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42313: 'http://tycho:42313/', host_tycho__49672: 'http://tycho:49672/',
    host_tycho__53085: 'http://tycho:53085/'}
rosversion: '1.11.10

  '
run_id: d8cef494-08d0-11e5-8413-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-12.pcd 0.558795 0.00108219 0.00285495 6 673,661,275,219,127,123 93,81,42,35,17,12 1,0,0,0,0,0 453288 743 3150 94 570 400 2734 63 531 452545,270,144,78,62,42,23,22,9,9,7,11,7,7,7,8,6,2,4,3,6,2,1,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1 0,23,15,11,8,7,3,2,2,5,1,3,1,0,1,1,4,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,71,78,62,42,23,22,9,9,7,11,7,7,7,8,6,2,4,3,6,2,1,0,2,0,1,1,3,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,1 0,0,7,11,8,7,3,2,2,5,1,3,1,0,1,1,4,1,0,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-19.pcd 0.628481 0.00114956 0.00317468 10 466,418,266,200,164,120,96,87,84,75 59,57,30,13,27,12,16,13,17,15 1,0,0,0,0,0,0,0,0,0 424446 780 3150 84 498 400 2700 59 470 423666,310,119,77,71,33,42,22,24,11,13,10,6,3,5,4,5,0,0,3,3,3,3,1,3,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1 0,22,14,7,7,5,8,3,3,1,3,1,1,0,1,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,49,77,71,33,42,22,24,11,13,10,6,3,5,4,5,0,0,3,3,3,3,1,3,1,0,2,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1 0,0,11,7,7,5,8,3,3,1,3,1,1,0,1,0,0,0,0,2,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-27.pcd 0.57648 0.00129566 0.00220961 7 473,426,417,195,179,132,71 68,67,38,40,27,15,17 0,0,0,0,0,0,0 407880 846 3150 55 145 400 2594 18 100 407034,336,154,96,72,39,24,27,19,8,7,9,8,3,12,6,4,2,1,3,3,0,4,1,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,29,9,4,3,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,44,96,72,39,24,27,19,8,7,9,8,3,12,6,4,2,1,3,3,0,4,1,2,0,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,1,4,3,5,1,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-37.pcd 0.644672 0.00100574 0.00318217 10 568,272,245,240,217,157,133,132,116,101 36,40,46,33,37,31,15,13,26,16 1,0,0,0,0,0,1,0,0,0 461736 787 3150 65 672 400 2712 48 655 460949,336,123,84,64,36,26,21,15,10,7,12,2,6,2,8,3,4,2,1,3,1,2,2,1,3,1,0,1,2,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,17,6,5,6,3,1,3,1,1,2,0,2,1,0,1,1,1,0,0,2,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,72,84,64,36,26,21,15,10,7,12,2,6,2,8,3,4,2,1,3,1,2,2,1,3,1,0,1,2,1,0,2,0,1,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,0,6,5,6,3,1,3,1,1,2,0,2,1,0,1,1,1,0,0,2,0,1,1,1,1,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-46.pcd 0.64265 0.00124329 0.00199244 11 563,190,179,172,129,122,120,113,103,83,59 91,28,33,19,19,22,17,13,21,17,12 1,0,0,0,0,0,0,0,0,0,0 404481 851 3150 105 415 400 2569 68 372 403630,321,145,103,80,41,35,30,19,9,17,7,7,5,4,4,3,3,2,1,0,2,1,2,1,0,3,2,0,1,2,1 0,31,13,16,6,12,5,6,7,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,15,103,80,41,35,30,19,9,17,7,7,5,4,4,3,3,2,1,0,2,1,2,1,0,3,2,0,1,2,1 0,0,7,16,6,12,5,6,7,3,2,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-54.pcd 0.529867 0.000989826 0.00329259 9 794,382,281,226,167,163,94,72,66 77,73,19,44,15,25,14,12,17 1,0,0,0,0,0,0,0,0 424710 713 3150 91 775 400 2786 69 751 423997,262,117,87,56,43,29,21,19,8,11,9,6,7,4,2,4,3,1,1,0,2,3,1,1,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1 0,20,12,14,11,4,6,1,2,2,0,0,1,1,2,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0 0,0,66,87,56,43,29,21,19,8,11,9,6,7,4,2,4,3,1,1,0,2,3,1,1,2,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,2,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1 0,0,10,14,11,4,6,1,2,2,0,0,1,1,2,0,1,0,1,1,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-03.pcd 0.592989 0.000857036 0.00241331 9 603,386,383,164,151,132,131,125,78 76,47,58,20,25,15,12,16,17 0,0,0,0,0,0,0,0,0 460845 673 3150 4 24 400 2845 2 22 460172,241,100,76,44,38,37,18,18,10,13,9,9,8,9,6,2,5,7,3,2,1,3,1,2,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1 0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,68,76,44,38,37,18,18,10,13,9,9,8,9,6,2,5,7,3,2,1,3,1,2,1,2,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1 0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-11.pcd 0.631673 0.0010009 0.00308654 9 370,344,265,202,193,109,90,85,74 45,48,36,35,17,16,22,14,14 0,0,0,0,0,0,0,0,0 446160 851 3150 15 42 400 2584 9 35 445309,336,153,96,71,43,28,30,10,15,10,13,6,6,6,2,4,4,2,2,2,2,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1 0,5,2,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,38,96,71,43,28,30,10,15,10,13,6,6,6,2,4,4,2,2,2,2,1,1,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1 0,0,1,2,4,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-20.pcd 0.512994 0.000984885 0.00301423 6 822,241,192,178,173,143 121,25,26,37,25,22 -1 451044 928 3150 -1 -1 400 2532 -1 -1 450116,438,166,93,61,32,20,15,14,11,15,12,11,3,6,3,4,4,1,1,2,1,3,1,0,1,3,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 -1 0,0,76,93,61,32,20,15,14,11,15,12,11,3,6,3,4,4,1,1,2,1,3,1,0,1,3,0,1,0,0,0,2,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-28.pcd 0.504788 0.000689589 0.0024172 7 816,686,250,245,83,60,41 82,69,51,27,14,15,12 1,0,0,0,0,0,0 451044 727 3150 99 815 400 2787 75 787 450317,291,105,74,55,33,35,25,17,10,13,9,7,9,2,4,4,4,1,5,3,0,2,1,1,2,2,1,3,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,20,8,6,10,8,5,2,5,5,3,2,3,4,0,1,1,3,0,2,1,0,1,1,1,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,0,69,74,55,33,35,25,17,10,13,9,7,9,2,4,4,4,1,5,3,0,2,1,1,2,2,1,3,3,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,4,6,10,8,5,2,5,5,3,2,3,4,0,1,1,3,0,2,1,0,1,1,1,0,1,1,2,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
