obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/chair1/features/rgb_0015_label_chair1<shot_uniform_2015-05-28_10-59-05.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33743: 'http://tycho:33743/', host_tycho__39718: 'http://tycho:39718/',
    host_tycho__43235: 'http://tycho:43235/', host_tycho__44684: 'http://tycho:44684/',
    host_tycho__48390: 'http://tycho:48390/', host_tycho__50120: 'http://tycho:50120/',
    host_tycho__53217: 'http://tycho:53217/', host_tycho__54268: 'http://tycho:54268/'}
rosversion: '1.11.10

  '
run_id: a4f615c6-08cb-11e5-88d1-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-18_21-53-23.pcd 4.67795 0.00255476 0.00312499 6 404,175,145,114,110,90 109,50,46,34,37,26 0,0,1,0,0,0 453288 1857 3050 136 238 400 1335 36 118 451431,1199,378,147,71,30,19,5,4,3,0,0,1 0,80,28,15,9,3,1,0,0,0,0,0,0 0,0,120,147,71,30,19,5,4,3,0,0,1 0,0,8,15,9,3,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-18_21-53-24.pcd 4.7065 0.000899121 0.00234411 7 367,250,119,79,69,52,51 116,72,33,27,27,15,16 0,0,1,0,0,0,0 424446 1878 3050 116 219 400 1292 33 119 422568,1198,408,158,60,27,12,10,2,1,2 0,66,22,16,4,4,3,1,0,0,0 0,0,128,158,60,27,12,10,2,1,2 0,0,5,16,4,4,3,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-18_21-53-25.pcd 5.22135 0.00106489 0.00316888 7 357,254,120,94,51,48,41 107,81,41,32,16,20,15 0,0,1,0,0,0,0 407880 2018 3050 125 206 400 1215 36 105 405862,1401,384,135,53,24,11,4,4,2 0,77,28,12,5,1,2,0,0,0 0,0,167,135,53,24,11,4,4,2 0,0,16,12,5,1,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-18_21-53-25.pcd 4.91554 0.00101043 0.00212567 9 331,272,98,53,53,43,40,39,33 97,87,37,16,15,13,12,12,14 0,0,0,0,1,0,0,0,0 461736 1927 3050 57 103 400 1256 17 55 459809,1260,416,152,51,22,11,6,5,2,1,0,1 0,32,12,8,3,1,1,0,0,0,0,0,0 0,0,149,152,51,22,11,6,5,2,1,0,1 0,0,4,8,3,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-26.pcd 4.70449 0.0008798 0.00316788 7 396,188,139,77,72,48,47 127,64,42,22,26,12,17 0,1,0,0,0,0,0 404481 1968 3050 146 244 400 1228 41 124 402513,1314,391,159,65,23,13,1,1,1 0,90,28,17,9,1,1,0,0,0 0,0,137,159,65,23,13,1,1,1 0,0,13,17,9,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-27.pcd 5.15685 0.00116694 0.0029124 7 461,129,99,89,51,37,33 134,37,23,28,14,12,12 0,1,0,0,0,0,0 424710 1893 3050 111 214 400 1312 36 121 422817,1248,372,150,61,32,18,8,1,0,1,2 0,57,29,14,5,3,2,0,0,0,1,0 0,0,127,150,61,32,18,8,1,0,1,2 0,0,11,14,5,3,2,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-27.pcd 4.68931 0.00103327 0.00299473 8 333,317,89,68,54,49,45,41 92,86,29,19,12,17,13,14 0,0,0,0,0,0,0,0 460845 1833 3050 18 23 400 1359 2 5 459012,1175,354,171,76,26,13,9,5,3,0,0,1 0,14,3,1,0,0,0,0,0,0,0,0,0 0,0,96,171,76,26,13,9,5,3,0,0,1 0,0,1,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-28.pcd 4.84347 0.000827434 0.0031277 6 359,264,53,52,47,45 111,83,19,19,18,13 0,0,0,0,0,0 446160 2003 3050 22 34 400 1200 4 10 444157,1356,413,126,72,24,8,2,0,1,0,1 0,12,9,0,1,0,0,0,0,0,0,0 0,0,166,126,72,24,8,2,0,1,0,1 0,0,3,0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-18_21-53-29.pcd 4.97476 0.00131387 0.00203747 4 362,311,97,46 111,97,30,15 -1 451044 1912 3050 -1 -1 400 1272 -1 -1 449132,1246,405,146,67,19,19,6,1,2,0,1 -1 0,0,139,146,67,19,19,6,1,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-29.pcd 4.91585 0.00127824 0.00285971 8 280,230,88,81,76,45,39,34 90,66,29,24,26,14,13,14 0,0,0,0,1,0,0,0 451044 1947 3050 105 167 400 1247 25 73 449097,1291,406,141,55,35,11,3,3,2 0,66,27,7,2,1,1,1,0,0 0,0,150,141,55,35,11,3,3,2 0,0,13,7,2,1,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-18_21-53-30.pcd 4.11442 0.000840732 0.00215338 8 239,210,165,152,124,122,74,64 54,55,42,40,32,34,19,17 0,0,0,1,0,0,0,0 427977 1664 3050 103 223 400 1510 35 135 426313,988,352,149,75,54,20,8,8,3,4,2,1 0,48,24,15,6,6,2,0,2,0,0,0,0 0,0,76,149,75,54,20,8,8,3,4,2,1 0,0,4,15,6,6,2,0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_uniform_2015-05-18_21-53-30.pcd 5.27736 0.000767899 0.00306941 8 514,104,102,72,66,66,48,47 138,32,26,20,19,17,14,15 0,0,0,0,0,1,0,1 470184 1828 3050 58 133 400 1376 27 94 468356,1182,340,178,56,33,22,10,2,3,2 0,23,15,10,4,3,2,1,0,0,0 0,0,94,178,56,33,22,10,2,3,2 0,0,7,10,4,3,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-31.pcd 4.06413 0.00106835 0.00292241 8 319,300,97,67,67,38,36,33 88,84,29,23,19,13,12,13 0,0,0,0,0,1,0,0 453024 1836 3050 30 61 400 1333 12 40 451188,1155,398,156,62,34,19,5,3,1,2,1 0,15,8,2,1,4,0,0,0,0,0,0 0,0,117,156,62,34,19,5,3,1,2,1 0,0,5,2,1,4,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_uniform_2015-05-18_21-53-32.pcd 4.89011 0.000855074 0.00344865 9 193,150,143,119,103,91,80,58,52 41,49,36,32,30,31,23,18,12 0,0,0,0,0,0,0,0,1 434214 1772 3050 38 89 400 1412 13 55 432442,1106,369,151,64,43,17,8,8,1,4,1 0,16,9,6,1,4,1,1,0,0,0,0 0,0,103,151,64,43,17,8,8,1,4,1 0,0,0,6,1,4,1,1,0,0,0,0
