obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_iss_2015-05-28_11-01-13.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42857: 'http://tycho:42857/', host_tycho__43439: 'http://tycho:43439/',
    host_tycho__51487: 'http://tycho:51487/'}
rosversion: '1.11.10

  '
run_id: 10f5358e-08ba-11e5-b2fa-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.120643 0.00162849 0.00115094 2 26,24 18,17 -1 361152 143 180 -1 -1 143 180 -1 -1 361009,112,26,4,1 -1 0,112,26,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.133856 0.000582736 0.000986141 2 30,13 21,12 -1 390080 144 180 -1 -1 144 180 -1 -1 389936,112,29,2,1 -1 0,112,29,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.167775 0.000894169 0.000819854 2 42,18 23,16 0,0 386628 135 180 0 0 135 180 0 0 386493,96,35,2,2 0,0,0,0,0 0,96,35,2,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.159844 0.000857426 0.000703524 2 44,30 29,21 0,0 368000 142 180 5 6 142 180 5 6 367858,111,24,7 0,4,1,0 0,111,24,7 0,4,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.137754 0.000574568 0.000627081 2 22,20 14,17 -1 382800 141 180 -1 -1 141 180 -1 -1 382659,104,35,2 -1 0,104,35,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.129711 0.00126986 0.00096083 2 51,18 37,14 0,0 353856 142 180 3 4 142 180 3 4 353714,107,32,3 0,2,1,0 0,107,32,3 0,2,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.128009 0.0014793 0.00133661 2 72,16 47,13 0,0 371200 134 180 3 4 134 180 3 4 371066,97,29,7,1 0,2,1,0,0 0,97,29,7,1 0,2,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.160274 0.000564585 0.000932031 3 38,16,15 24,15,15 0,0,0 424320 143 180 1 1 143 180 1 1 424177,110,29,4 0,1,0,0 0,110,29,4 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.117093 0.00163508 0.00100673 2 71,43 34,25 -1 374912 97 180 -1 -1 97 180 -1 -1 374815,50,25,11,9,1,1 -1 0,50,25,11,9,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.139895 0.000557436 0.000863651 2 25,17 16,15 0,0 413952 142 180 4 8 142 180 4 8 413810,112,23,6,1 0,2,0,2,0 0,112,23,6,1 0,2,0,2,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.110313 0.00104336 0.000948706 1 75 51 0 347136 129 180 4 7 129 180 4 7 347007,87,33,9 0,1,3,0 0,87,33,9 0,1,3,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.137209 0.00106295 0.00106927 2 40,24 32,19 0,0 442784 147 180 2 3 147 180 2 3 442637,117,28,1,1 0,1,1,0,0 0,117,28,1,1 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.144131 0.000515855 0.00092838 2 40,31 35,18 0,0 389961 144 180 2 3 144 180 2 3 389817,118,17,8,1 0,1,1,0,0 0,118,17,8,1 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.135823 0.00218599 0.00106087 2 77,22 52,16 0,0 368000 134 180 1 2 134 180 1 2 367866,91,40,3 0,0,1,0 0,91,40,3 0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.158068 0.00163078 0.000625534 2 29,19 25,13 0,0 392704 146 180 4 5 146 180 4 5 392558,115,28,3 0,3,1,0 0,115,28,3 0,3,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.13098 0.000586499 0.000948348 1 83 64 0 374912 147 180 3 4 147 180 3 4 374765,119,23,5 0,2,1,0 0,119,23,5 0,2,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.14327 0.00106869 0.00102422 1 75 52 0 417252 139 180 1 1 139 180 1 1 417113,102,33,4 0,1,0,0 0,102,33,4 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.133949 0.000688607 0.000831047 1 33 19 0 375360 131 180 0 0 131 180 0 0 375229,89,37,3,2 0,0,0,0,0 0,89,37,3,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.14254 0.00102466 0.00097572 1 70 46 -1 377600 138 180 -1 -1 138 180 -1 -1 377462,103,28,7 -1 0,103,28,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.143656 0.00142542 0.00119748 1 60 41 -1 364800 140 180 -1 -1 140 180 -1 -1 364660,107,26,7 -1 0,107,26,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.151197 0.00192697 0.000868394 2 41,19 26,13 -1 371200 135 180 -1 -1 135 180 -1 -1 371065,96,33,6 -1 0,96,33,6 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-05.pcd 0.128868 0.00146 0.00101838 1 75 50 -1 374912 137 180 -1 -1 137 180 -1 -1 374775,98,36,2,1 -1 0,98,36,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-05.pcd 0.12908 0.000573325 0.000899719 1 80 55 -1 363776 137 180 -1 -1 137 180 -1 -1 363639,100,32,4,1 -1 0,100,32,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-05.pcd 0.149725 0.00155116 0.000626472 1 62 46 -1 398475 139 180 -1 -1 139 180 -1 -1 398336,102,33,4 -1 0,102,33,4 -1
