obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfh_uniform_2015-05-28_10-59-49.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39229: 'http://tycho:39229/', host_tycho__44345: 'http://tycho:44345/'}
rosversion: '1.11.10

  '
run_id: 8004f638-08b7-11e5-9cf5-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_uniform_2015-05-18_22-00-52.pcd 0.135195 0.0023529 0.00311341 8 115,85,71,64,64,61,30,22 50,48,42,37,31,23,18,12 -1 453288 889 1310 -1 -1 400 821 -1 -1 452399,631,171,52,17,9,4,3,0,0,1,0,0,1 -1 0,142,171,52,17,9,4,3,0,0,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-18_22-00-57.pcd 0.149823 0.000885339 0.00315896 8 260,66,43,39,34,33,25,17 124,32,22,14,20,23,13,15 -1 424446 891 1310 -1 -1 400 819 -1 -1 423555,629,176,48,22,9,3,2,1,0,0,0,1 -1 0,138,176,48,22,9,3,2,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-18_22-01-02.pcd 0.161519 0.000901149 0.00286981 7 276,59,42,32,22,21,14 134,44,23,16,13,15,12 0,0,0,0,0,0,0 407880 938 1310 15 21 400 772 5 11 406942,697,162,50,14,11,1,2,1 0,10,4,1,0,0,0,0,0 0,159,162,50,14,11,1,2,1 0,0,4,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-18_22-01-08.pcd 0.141559 0.00127949 0.00272268 7 252,43,43,39,29,24,23 117,29,21,15,14,15,15 0,0,0,0,0,0,0 461736 922 1310 26 42 400 788 11 27 460814,678,150,66,13,11,2,1,1 0,15,7,3,1,0,0,0,0 0,156,150,66,13,11,2,1,1 0,0,7,3,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-13.pcd 0.149685 0.00176038 0.00208175 8 221,61,48,39,31,22,18,15 108,29,27,22,19,16,13,13 -1 404481 939 1310 -1 -1 400 771 -1 -1 403542,699,158,50,21,9,0,1,0,1 -1 0,160,158,50,21,9,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-18.pcd 0.146378 0.00146216 0.00288959 7 206,105,75,50,40,38,24 98,48,44,29,17,22,14 0,0,0,0,0,0,0 424710 912 1310 31 49 400 798 14 32 423798,638,188,63,13,7,2,0,1 0,17,10,4,0,0,0,0,0 0,126,188,63,13,7,2,0,1 0,0,10,4,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-23.pcd 0.138408 0.000880201 0.00273463 7 339,91,40,27,24,22,20 141,49,12,15,12,16,13 0,0,0,0,0,0,0 460845 858 1310 27 53 400 852 14 40 459987,589,172,57,16,14,5,3,1,0,0,0,0,1 0,13,8,2,2,2,0,0,0,0,0,0,0,0 0,131,172,57,16,14,5,3,1,0,0,0,0,1 0,0,8,2,2,2,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-28.pcd 0.138402 0.00103795 0.00292138 7 154,110,86,29,23,20,19 79,50,42,18,13,14,14 0,0,0,0,0,0,0 446160 932 1310 41 61 400 778 12 32 445228,667,185,58,14,6,1,1 0,29,7,2,3,0,0,0 0,135,185,58,14,6,1,1 0,0,7,2,3,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-18_22-01-33.pcd 0.145393 0.00107958 0.00262847 7 297,66,40,33,27,21,20 128,44,21,18,16,16,12 -1 451044 901 1310 -1 -1 400 809 -1 -1 450143,635,176,55,26,5,1,1,2 -1 0,134,176,55,26,5,1,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-18_22-01-39.pcd 0.119065 0.000863155 0.00180281 5 262,105,25,22,22 130,56,14,14,12 0,0,0,0,0 451044 924 1310 20 29 400 786 6 15 450120,672,166,54,20,8,4 0,14,3,3,0,0,0 0,148,166,54,20,8,4 0,0,3,3,0,0,0
