obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/hanger_jacket/features/rgb_0002_label_hanger_jacket<pfhrgb_uniform_2015-05-28_11-00-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39229: 'http://tycho:39229/', host_tycho__44345: 'http://tycho:44345/',
    host_tycho__59427: 'http://tycho:59427/'}
rosversion: '1.11.10

  '
run_id: 8004f638-08b7-11e5-9cf5-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-12.pcd 0.434475 0.00104611 0.00261002 10 154,103,97,87,56,46,43,40,37,36 48,33,37,36,19,16,16,16,12,12 -1 453288 665 1310 -1 -1 400 1045 -1 -1 452623,380,148,56,27,20,13,8,5,1,4,1,2 -1 0,115,148,56,27,20,13,8,5,1,4,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-19.pcd 0.461957 0.00139934 0.00192284 7 179,152,93,83,51,40,24 78,55,21,33,22,16,15 -1 424446 728 1310 -1 -1 400 982 -1 -1 423718,453,148,63,27,11,11,4,5,1,0,2,1,1,0,0,0,0,0,1 -1 0,125,148,63,27,11,11,4,5,1,0,2,1,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-27.pcd 0.517458 0.00106845 0.00276666 6 166,159,88,78,37,35 38,57,25,48,20,23 0,0,0,0,0,0 407880 734 1310 7 8 400 976 1 2 407146,467,142,51,31,16,14,5,1,3,1,0,2,0,1 0,6,1,0,0,0,0,0,0,0,0,0,0,0,0 0,133,142,51,31,16,14,5,1,3,1,0,2,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-37.pcd 0.462939 0.000902434 0.00321541 5 387,127,63,29,22 90,69,23,15,15 0,0,0,0,0 461736 664 1310 50 295 400 1046 41 286 461072,399,144,52,26,15,9,3,3,1,2,2,0,1,0,2,1,1,0,1,0,1,1 0,9,7,10,2,6,2,1,2,0,2,1,0,1,0,2,1,1,0,1,0,1,1 0,135,144,52,26,15,9,3,3,1,2,2,0,1,0,2,1,1,0,1,0,1,1 0,0,7,10,2,6,2,1,2,0,2,1,0,1,0,2,1,1,0,1,0,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-46.pcd 0.426956 0.00128938 0.00317354 9 203,88,83,51,47,42,27,27,24 80,40,21,19,29,13,13,12,12 -1 404481 756 1310 -1 -1 400 954 -1 -1 403725,462,175,56,29,15,7,6,3,1,0,2 -1 0,106,175,56,29,15,7,6,3,1,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-54.pcd 0.415075 0.000858091 0.00202311 6 467,98,85,29,27,24 105,47,40,15,12,17 0,0,0,0,0,0 424710 638 1310 60 359 400 1072 53 352 424072,365,146,60,21,10,8,6,5,5,2,3,1,2,1,0,0,0,0,2,0,1 0,10,7,7,8,3,1,4,3,5,2,3,1,2,1,0,0,0,0,2,0,1 0,127,146,60,21,10,8,6,5,5,2,3,1,2,1,0,0,0,0,2,0,1 0,3,7,7,8,3,1,4,3,5,2,3,1,2,1,0,0,0,0,2,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-03.pcd 0.489653 0.0015406 0.00320044 4 500,50,50,30 141,26,26,15 0,0,0,0 460845 661 1310 58 320 400 1049 48 310 460184,396,143,47,27,16,8,9,2,0,2,2,2,1,4,0,0,1,0,0,1 0,14,8,1,5,6,6,6,1,0,1,1,2,1,4,0,0,1,0,0,1 0,135,143,47,27,16,8,9,2,0,2,2,2,1,4,0,0,1,0,0,1 0,4,8,1,5,6,6,6,1,0,1,1,2,1,4,0,0,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-11.pcd 0.458767 0.00102168 0.00262995 7 278,102,88,33,33,31,24 103,34,22,22,21,15,13 0,0,0,0,0,0,0 446160 724 1310 43 148 400 986 27 132 445436,451,146,56,25,19,14,4,1,4,0,1,2,1 0,16,8,5,2,3,4,0,0,2,0,1,1,1 0,127,146,56,25,19,14,4,1,4,0,1,2,1 0,0,8,5,2,3,4,0,0,2,0,1,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-20.pcd 0.349632 0.000892037 0.00323598 9 599,116,89,70,55,53,39,21,15 159,27,30,20,30,18,14,14,13 -1 451044 488 1310 -1 -1 400 1222 -1 -1 450556,233,91,57,34,18,14,11,6,3,6,3,3,4,2,1,0,0,1,0,1 -1 0,145,91,57,34,18,14,11,6,3,6,3,3,4,2,1,0,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-28.pcd 0.39706 0.000864254 0.0031057 7 334,130,57,47,46,39,13 90,48,26,28,14,20,12 0,0,0,0,0,0,0 451044 687 1310 37 217 400 1023 33 213 450357,423,144,51,20,11,14,6,6,3,3,2,1,1,1,0,0,0,0,1 0,4,5,6,2,2,6,1,2,2,1,2,1,1,1,0,0,0,0,1 0,136,144,51,20,11,14,6,6,3,3,2,1,1,1,0,0,0,0,1 0,0,5,6,2,2,6,1,2,2,1,2,1,1,1,0,0,0,0,1
