obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/laptop1/features/rgb_0012_label_laptop1<shotcolor_iss_2015-05-28_11-01-15.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34804: 'http://tycho:34804/', host_tycho__41662: 'http://tycho:41662/',
    host_tycho__58989: 'http://tycho:58989/'}
rosversion: '1.11.10

  '
run_id: bcd3888a-08c2-11e5-8ae7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.155213 0.00167982 0.00128135 2 33,17 25,14 0,0 361152 159 220 6 10 159 220 6 10 360993,118,27,8,6 0,4,1,0,1 0,118,27,8,6 0,4,1,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.171615 0.000592295 0.00109888 3 32,31,21 28,16,17 0,0,0 390080 162 220 4 6 162 220 4 6 389918,120,27,14,1 0,3,0,1,0 0,120,27,14,1 0,3,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.218836 0.00110672 0.00105601 3 37,25,23 16,13,21 -1 386628 162 220 -1 -1 162 220 -1 -1 386466,123,26,9,3,0,1 -1 0,123,26,9,3,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.190976 0.000927625 0.00101098 3 33,26,15 16,23,12 -1 368000 158 220 -1 -1 158 220 -1 -1 367842,114,29,12,3 -1 0,114,29,12,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.155648 0.00168549 0.000698325 2 27,17 23,12 0,0 382800 163 220 5 5 163 220 5 5 382637,129,18,11,3,2 0,5,0,0,0,0 0,129,18,11,3,2 0,5,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.150023 0.000577769 0.00104594 1 57 41 0 353856 154 220 6 6 154 220 6 6 353702,109,29,11,5 0,6,0,0,0 0,109,29,11,5 0,6,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.15488 0.000986832 0.001047 5 31,23,21,19,13 24,13,15,16,12 0,0,0,0,0 371200 154 220 0 0 154 220 0 0 371046,110,30,6,8 0,0,0,0,0 0,110,30,6,8 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.160906 0.000872513 0.00111911 4 29,23,20,14 22,22,17,12 -1 424320 170 220 -1 -1 170 220 -1 -1 424150,135,24,7,4 -1 0,135,24,7,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.16883 0.00131096 0.00106372 3 39,27,14 20,13,12 -1 374912 154 220 -1 -1 154 220 -1 -1 374758,116,15,18,5 -1 0,116,15,18,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.164981 0.000881331 0.00103811 2 38,33 31,15 0,0 413952 161 220 1 3 161 220 1 3 413791,126,19,8,8 0,0,0,1,0 0,126,19,8,8 0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.144278 0.000573957 0.000891076 2 44,16 15,13 -1 347136 144 220 -1 -1 144 220 -1 -1 346992,102,20,13,6,3 -1 0,102,20,13,6,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.176537 0.000961799 0.000973382 2 37,19 30,15 0,0 442784 157 220 2 3 157 220 2 3 442627,115,28,7,7 0,1,1,0,0 0,115,28,7,7 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.141185 0.00122749 0.00105589 2 46,34 33,28 -1 389961 151 220 -1 -1 151 220 -1 -1 389810,106,29,9,6,1 -1 0,106,29,9,6,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.136113 0.000612985 0.000900957 3 29,22,21 23,14,12 -1 368000 150 220 -1 -1 150 220 -1 -1 367850,108,21,14,7 -1 0,108,21,14,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.189639 0.000587979 0.00105164 3 29,22,14 20,20,13 -1 392704 154 220 -1 -1 154 220 -1 -1 392550,112,25,11,5,1 -1 0,112,25,11,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.166583 0.000991636 0.000696638 2 37,16 34,12 -1 374912 165 220 -1 -1 165 220 -1 -1 374747,130,22,7,5,1 -1 0,130,22,7,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-03.pcd 0.159181 0.000454142 0.00107609 2 50,34 36,15 -1 417252 157 220 -1 -1 157 220 -1 -1 417095,113,29,11,4 -1 0,113,29,11,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.16977 0.00143569 0.00106585 2 46,13 38,12 0,0 375360 160 220 2 5 160 220 2 5 375200,123,22,8,6,1 0,0,1,1,0,0 0,123,22,8,6,1 0,0,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.166912 0.0013333 0.0010625 2 20,15 12,12 -1 377600 165 220 -1 -1 165 220 -1 -1 377435,128,22,12,3 -1 0,128,22,12,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-04.pcd 0.169825 0.000559829 0.00110154 2 30,22 26,18 -1 364800 161 220 -1 -1 161 220 -1 -1 364639,124,21,11,4,1 -1 0,124,21,11,4,1 -1
