obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/laptop1/features/rgb_0012_label_laptop1<fpfh_susan_2015-05-28_11-03-01.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47093: 'http://tycho:47093/', host_tycho__51742: 'http://tycho:51742/',
    host_tycho__52539: 'http://tycho:52539/'}
rosversion: '1.11.10

  '
run_id: 47ff659a-08c4-11e5-9b04-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-18_22-54-55.pcd 0.00128917 0.00254248 0.000601055 1 4 1 0 378972 73 100 0 0 73 100 0 0 378899,53,14,5,1 0,0,0,0,0 0,53,14,5,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-18_22-54-55.pcd 0.00120894 0.000607222 0.000529576 1 6 1 0 409266 77 100 2 3 77 100 2 3 409189,61,12,3,0,0,1 0,1,1,0,0,0,0 0,61,12,3,0,0,1 0,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-18_22-54-56.pcd 0.00251003 0.00127958 0.000355573 1 3 1 -1 372900 80 100 -1 -1 80 100 -1 -1 372820,61,18,1 -1 0,61,18,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-18_22-54-58.pcd 0.000927408 0.000630853 0.000611822 1 3 1 -1 373296 77 100 -1 -1 77 100 -1 -1 373219,59,13,5 -1 0,59,13,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-18_22-54-59.pcd 0.0012938 0.00112503 0.000644496 1 22 14 0 397188 76 100 1 1 76 100 1 1 397112,58,13,4,1 0,1,0,0,0 0,58,13,4,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-18_22-55-00.pcd 0.00137938 0.00128919 0.000470192 1 18 14 0 371316 71 100 0 0 71 100 0 0 371245,49,19,1,1,0,1 0,0,0,0,0,0,0 0,49,19,1,1,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-18_22-55-01.pcd 0.00132475 0.00158621 0.000370075 1 33 21 0 397683 73 100 3 4 73 100 3 4 397610,50,20,2,1 0,2,1,0,0 0,50,20,2,1 0,2,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-18_22-55-02.pcd 0.00128386 0.00130996 0.000507249 1 24 13 -1 364914 71 100 -1 -1 71 100 -1 -1 364843,52,12,5,1,1 -1 0,52,12,5,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-18_22-55-03.pcd 0.000748145 0.00129306 0.000392453 1 6 1 -1 393294 56 100 -1 -1 56 100 -1 -1 393238,29,17,6,2,1,1 -1 0,29,17,6,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-18_22-55-04.pcd 0.00178759 0.00167705 0.000447388 1 9 1 0 401016 64 100 1 2 64 100 1 2 400952,44,14,4,0,0,0,1,0,1 0,0,1,0,0,0,0,0,0,0 0,44,14,4,0,0,0,1,0,1 0,0,1,0,0,0,0,0,0,0
