obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/laptop1/features/rgb_0012_label_laptop1<shotcolor_susan_2015-05-28_11-02-43.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34804: 'http://tycho:34804/', host_tycho__36069: 'http://tycho:36069/',
    host_tycho__40513: 'http://tycho:40513/', host_tycho__41662: 'http://tycho:41662/',
    host_tycho__41727: 'http://tycho:41727/', host_tycho__52586: 'http://tycho:52586/',
    host_tycho__53141: 'http://tycho:53141/', host_tycho__58989: 'http://tycho:58989/'}
rosversion: '1.11.10

  '
run_id: bcd3888a-08c2-11e5-8ae7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-02.pcd 0.12604 0.00213128 0.000561799 1 24 24 0 378972 98 100 0 0 98 100 0 0 378874,96,2 0,0,0 0,96,2 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-04.pcd 0.134458 0.000661616 0.000602134 1 18 13 0 409266 88 100 2 2 88 100 2 2 409178,80,5,2,1 0,2,0,0,0 0,80,5,2,1 0,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-07.pcd 0.13387 0.000861348 0.000543351 1 14 14 -1 372900 88 100 -1 -1 88 100 -1 -1 372812,79,6,3 -1 0,79,6,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-09.pcd 0.140364 0.000582366 0.000580615 1 38 31 -1 373296 90 100 -1 -1 90 100 -1 -1 373206,80,10 -1 0,80,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-11.pcd 0.127245 0.000603347 0.000583632 1 16 14 0 397188 88 100 1 1 88 100 1 1 397100,78,8,2 0,1,0,0 0,78,8,2 0,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-14.pcd 0.136112 0.00106051 0.00058713 1 33 26 0 371316 88 100 0 0 88 100 0 0 371228,78,8,2 0,0,0,0 0,78,8,2 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-16.pcd 0.136484 0.00107455 0.000432426 1 15 12 0 397683 90 100 1 1 90 100 1 1 397593,80,10 0,1,0 0,80,10 0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-18.pcd 0.123701 0.00102526 0.000535954 1 3 1 -1 364914 90 100 -1 -1 90 100 -1 -1 364824,81,8,1 -1 0,81,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-21.pcd 0.0583267 0.00103103 0.000504115 1 24 16 -1 393294 84 100 -1 -1 84 100 -1 -1 393210,70,12,2 -1 0,70,12,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-22.pcd 0.120487 0.000612233 0.000608035 1 32 31 0 401016 95 100 0 0 95 100 0 0 400921,90,5 0,0,0 0,90,5 0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-25.pcd 0.124743 0.00064134 0.000523953 1 20 13 -1 375144 87 100 -1 -1 87 100 -1 -1 375057,77,8,1,1 -1 0,77,8,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-26.pcd 0.142767 0.0007034 0.000665598 1 3 1 0 396000 89 100 0 0 89 100 0 0 395911,80,7,2 0,0,0,0 0,80,7,2 0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-29.pcd 0.133412 0.0016105 0.000689222 1 2 1 -1 404481 90 100 -1 -1 90 100 -1 -1 404391,80,10 -1 0,80,10 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_22-50-31.pcd 0.122339 0.000759317 0.000616644 1 3 1 -1 384608 91 100 -1 -1 91 100 -1 -1 384517,84,5,2 -1 0,84,5,2 -1
