obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/pillow/features/rgb_0003_label_pillow<fpfh_iss_2015-05-28_11-01-28.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__53217: 'http://tycho:53217/', host_tycho__54268: 'http://tycho:54268/'}
rosversion: '1.11.10

  '
run_id: a4f615c6-08cb-11e5-88d1-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-17.pcd 0.00100094 0.00206192 0.000716257 1 8 1 -1 361152 90 160 -1 -1 90 160 -1 -1 361062,66,6,7,3,3,2,2,1 -1 0,66,6,7,3,3,2,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-18_22-47-18.pcd 0.00114301 0.00152202 0.000586398 1 8 1 -1 390080 86 160 -1 -1 86 160 -1 -1 389994,58,11,8,1,2,2,2,2 -1 0,58,11,8,1,2,2,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-18_22-47-19.pcd 0.00113026 0.00121068 0.000588827 1 9 1 -1 386628 86 160 -1 -1 86 160 -1 -1 386542,59,10,6,1,5,3,1,0,1 -1 0,59,10,6,1,5,3,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-18_22-47-20.pcd 0.00139746 0.00121833 0.000626439 1 8 1 -1 368000 88 160 -1 -1 88 160 -1 -1 367912,59,12,5,6,2,2,0,2 -1 0,59,12,5,6,2,2,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-21.pcd 0.00105961 0.00133946 0.000652464 1 27 13 0 382800 84 160 3 11 84 160 3 11 382716,58,11,3,2,5,1,1,2,1 0,1,1,0,0,0,0,0,1,0 0,58,11,3,2,5,1,1,2,1 0,1,1,0,0,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-22.pcd 0.0010156 0.00153799 0.000488871 1 9 1 -1 353856 81 160 -1 -1 81 160 -1 -1 353775,53,9,7,3,5,0,2,1,1 -1 0,53,9,7,3,5,0,2,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-23.pcd 0.00123289 0.00147766 0.000493772 1 9 1 -1 371200 76 160 -1 -1 76 160 -1 -1 371124,52,8,3,2,1,6,0,2,2 -1 0,52,8,3,2,1,6,0,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-24.pcd 0.00118228 0.00107373 0.00058119 1 11 1 -1 424320 83 160 -1 -1 83 160 -1 -1 424237,57,9,6,2,3,2,3,0,0,0,1 -1 0,57,9,6,2,3,2,3,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-18_22-47-25.pcd 0.000987972 0.000659127 0.000511024 1 9 1 -1 374912 77 160 -1 -1 77 160 -1 -1 374835,50,7,11,1,0,1,4,2,1 -1 0,50,7,11,1,0,1,4,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-18_22-47-25.pcd 0.000789849 0.00174664 0.000523576 1 10 1 -1 413952 81 160 -1 -1 81 160 -1 -1 413871,57,6,5,4,3,2,1,2,0,1 -1 0,57,6,5,4,3,2,1,2,0,1 -1
