obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/pillow/features/rgb_0003_label_pillow<shotcolor_iss_2015-05-28_11-01-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34406: 'http://tycho:34406/', host_tycho__37769: 'http://tycho:37769/',
    host_tycho__45000: 'http://tycho:45000/', host_tycho__46693: 'http://tycho:46693/'}
rosversion: '1.11.10

  '
run_id: c77f4fd2-08ca-11e5-ae41-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.110837 0.00146618 0.000498252 1 13 1 -1 361152 53 160 -1 -1 53 160 -1 -1 361099,35,4,2,2,0,1,2,0,0,0,3,2,2 -1 0,35,4,2,2,0,1,2,0,0,0,3,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.126565 0.000566603 0.00038943 1 13 1 -1 390080 56 160 -1 -1 56 160 -1 -1 390024,40,3,2,0,1,1,1,0,2,1,0,3,2 -1 0,40,3,2,0,1,1,1,0,2,1,0,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.124132 0.000972881 0.000437254 1 12 1 -1 386628 58 160 -1 -1 58 160 -1 -1 386570,34,8,3,1,1,4,1,1,1,1,2,1 -1 0,34,8,3,1,1,4,1,1,1,1,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.119981 0.000605297 0.000461772 1 11 1 -1 368000 64 160 -1 -1 64 160 -1 -1 367936,46,7,0,0,1,1,1,1,1,1,5 -1 0,46,7,0,0,1,1,1,1,1,1,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-00.pcd 0.108585 0.000570276 0.000388527 1 53 20 0 382800 54 160 3 25 54 160 3 25 382746,35,7,0,1,0,3,1,0,0,0,2,5 0,0,1,0,0,0,0,0,0,0,0,1,1 0,35,7,0,1,0,3,1,0,0,0,2,5 0,0,1,0,0,0,0,0,0,0,0,1,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.100945 0.000571979 0.000394457 1 79 22 -1 353856 59 160 -1 -1 59 160 -1 -1 353797,38,5,2,3,1,3,0,1,2,0,3,1 -1 0,38,5,2,3,1,3,0,1,2,0,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.107648 0.000560994 0.000494788 1 25 15 -1 371200 67 160 -1 -1 67 160 -1 -1 371133,49,5,1,2,1,1,1,2,0,0,4,1 -1 0,49,5,1,2,1,1,1,2,0,0,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.132706 0.000589462 0.000258616 1 12 1 -1 424320 59 160 -1 -1 59 160 -1 -1 424261,38,8,1,1,0,1,3,1,1,1,3,1 -1 0,38,8,1,1,0,1,3,1,1,1,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-01.pcd 0.119006 0.000995014 0.000391424 1 13 1 -1 374912 58 160 -1 -1 58 160 -1 -1 374854,37,6,2,2,2,1,2,0,2,0,0,3,1 -1 0,37,6,2,2,2,1,2,0,2,0,0,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-18_22-46-02.pcd 0.102321 0.000608972 0.000408409 1 69 18 -1 413952 59 160 -1 -1 59 160 -1 -1 413893,36,10,0,2,2,0,2,1,1,1,3,1 -1 0,36,10,0,2,2,0,2,1,1,1,3,1 -1
