obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/pillow/features/rgb_0003_label_pillow<pfhrgb_uniform_2015-05-28_11-00-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37204: 'http://tycho:37204/', host_tycho__37314: 'http://tycho:37314/',
    host_tycho__48746: 'http://tycho:48746/'}
rosversion: '1.11.10

  '
run_id: a6387b42-08c9-11e5-87c7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-12.pcd 0.193691 0.000843607 0.00328662 7 248,153,119,81,45,42,24 53,67,20,13,25,12,13 -1 453288 413 1240 -1 -1 400 1227 -1 -1 452875,201,84,40,17,17,10,14,3,2,4,5,5,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 -1 0,188,84,40,17,17,10,14,3,2,4,5,5,1,1,0,1,1,1,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-19.pcd 0.193413 0.000848519 0.00225005 5 408,184,68,38,33 109,28,27,12,21 -1 424446 425 1240 -1 -1 400 1215 -1 -1 424021,220,75,35,27,17,8,8,7,4,5,2,1,3,1,1,2,3,0,0,0,2,1,2,0,0,0,0,0,0,0,1 -1 0,195,75,35,27,17,8,8,7,4,5,2,1,3,1,1,2,3,0,0,0,2,1,2,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-27.pcd 0.214014 0.00104095 0.00303248 6 231,209,109,96,89,19 79,86,29,22,30,12 -1 407880 456 1240 -1 -1 400 1184 -1 -1 407424,243,75,37,28,21,14,7,7,3,5,6,2,0,1,0,1,2,0,0,0,1,0,0,1,0,0,2 -1 0,187,75,37,28,21,14,7,7,3,5,6,2,0,1,0,1,2,0,0,0,1,0,0,1,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-37.pcd 0.206606 0.00108754 0.00285906 11 131,105,96,93,85,76,57,48,44,35,20 39,45,16,22,21,12,12,15,15,12,13 -1 461736 406 1240 -1 -1 400 1234 -1 -1 461330,189,73,40,24,23,12,6,8,9,3,3,3,3,0,4,0,3,0,0,1,1,0,0,0,1 -1 0,183,73,40,24,23,12,6,8,9,3,3,3,3,0,4,0,3,0,0,1,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-46.pcd 0.21742 0.000697851 0.00318158 7 270,162,117,74,64,38,31 53,70,57,33,19,22,15 1,0,0,0,0,0,0 404481 553 1240 44 217 400 1087 37 210 403928,308,104,62,18,14,13,11,4,5,7,3,0,2,0,0,1,0,0,1 0,8,9,7,3,4,2,0,1,2,3,2,0,1,0,0,1,0,0,1 0,155,104,62,18,14,13,11,4,5,7,3,0,2,0,0,1,0,0,1 0,1,9,7,3,4,2,0,1,2,3,2,0,1,0,0,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-12-54.pcd 0.172002 0.000993494 0.00297916 9 171,157,107,93,73,38,37,36,32 16,52,26,39,36,12,14,13,14 -1 424710 407 1240 -1 -1 400 1233 -1 -1 424303,191,68,42,34,17,16,8,5,4,4,3,6,1,0,1,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,184,68,42,34,17,16,8,5,4,4,3,6,1,0,1,2,0,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-03.pcd 0.183516 0.000808401 0.00301649 9 286,204,88,50,45,36,30,25,20 36,71,15,26,21,19,15,15,12 -1 460845 396 1240 -1 -1 396 1240 -1 -1 460449,176,98,36,26,12,3,9,8,3,3,4,3,2,0,3,0,1,0,2,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1 -1 0,176,98,36,26,12,3,9,8,3,3,4,3,2,0,3,0,1,0,2,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-11.pcd 0.190229 0.000807192 0.0020731 9 217,153,109,66,57,56,43,19,18 41,42,35,29,34,14,17,13,12 -1 446160 491 1240 -1 -1 400 1149 -1 -1 445669,241,112,55,21,19,6,8,7,4,5,2,4,2,1,0,1,0,0,0,0,0,0,2,0,1 -1 0,150,112,55,21,19,6,8,7,4,5,2,4,2,1,0,1,0,0,0,0,0,0,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-20.pcd 0.143978 0.00132288 0.00248719 8 445,146,113,93,66,54,44,41 83,21,19,33,28,16,13,24 -1 451044 309 1240 -1 -1 309 1240 -1 -1 450735,137,45,35,12,14,13,7,6,9,5,2,1,3,3,2,4,0,3,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1 -1 0,137,45,35,12,14,13,7,6,9,5,2,1,3,3,2,4,0,3,0,0,0,1,1,1,0,0,2,0,1,1,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_uniform_2015-05-18_22-13-28.pcd 0.201597 0.00074748 0.00299652 11 165,117,110,66,60,59,38,33,33,33,24 42,26,14,28,27,14,16,22,18,13,14 -1 451044 458 1240 -1 -1 400 1182 -1 -1 450586,230,85,41,34,15,16,8,4,4,7,0,4,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,1 -1 0,172,85,41,34,15,16,8,4,4,7,0,4,0,1,3,4,1,0,0,0,0,0,0,0,0,0,0,1 -1
