obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_iss_2015-05-28_11-02-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48592: 'http://tycho:48592/', host_tycho__55230: 'http://tycho:55230/',
    host_tycho__55892: 'http://tycho:55892/'}
rosversion: '1.11.10

  '
run_id: addbf33a-08a9-11e5-b221-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-38.pcd 0.00973994 0.00227254 0.000763069 1 4 1 -1 361152 99 140 -1 -1 99 140 -1 -1 361053,69,22,5,3 -1 0,69,22,5,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-39.pcd 0.0144287 0.00154361 0.000665047 1 4 1 -1 390080 100 140 -1 -1 100 140 -1 -1 389980,71,22,3,4 -1 0,71,22,3,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-40.pcd 0.0102212 0.000639529 0.000789482 1 26 17 -1 386628 107 140 -1 -1 107 140 -1 -1 386521,84,16,6,0,0,1 -1 0,84,16,6,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-41.pcd 0.0121121 0.00103433 0.000704028 1 4 1 -1 368000 102 140 -1 -1 102 140 -1 -1 367898,76,16,8,2 -1 0,76,16,8,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-42.pcd 0.00863569 0.00209577 0.000521097 1 32 12 -1 382800 99 140 -1 -1 99 140 -1 -1 382701,73,19,4,1,0,1,1 -1 0,73,19,4,1,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-43.pcd 0.0087426 0.00112527 0.000661115 2 24,16 14,12 -1 353856 97 140 -1 -1 97 140 -1 -1 353759,74,9,11,2,0,0,1 -1 0,74,9,11,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-44.pcd 0.00909064 0.000508826 0.000641023 1 4 1 -1 371200 101 140 -1 -1 101 140 -1 -1 371099,74,17,8,2 -1 0,74,17,8,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-45.pcd 0.0105031 0.000961886 0.000632683 1 21 14 -1 424320 96 140 -1 -1 96 140 -1 -1 424224,65,23,5,1,2 -1 0,65,23,5,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.00740105 0.00135913 0.000621976 1 24 16 -1 374912 93 140 -1 -1 93 140 -1 -1 374819,70,10,7,1,5 -1 0,70,10,7,1,5 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_iss_2015-05-18_22-48-46.pcd 0.00897109 0.00059729 0.000956658 1 5 1 -1 413952 98 140 -1 -1 98 140 -1 -1 413854,72,15,7,3,1 -1 0,72,15,7,3,1 -1
