obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,02/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<fpfh_uniform_2015-05-28_10-59-33.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/ds0_02mp_4500',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35859: 'http://tycho:35859/', host_tycho__36555: 'http://tycho:36555/',
    host_tycho__45791: 'http://tycho:45791/', host_tycho__49747: 'http://tycho:49747/',
    host_tycho__50857: 'http://tycho:50857/', host_tycho__56333: 'http://tycho:56333/'}
rosversion: '1.11.10

  '
run_id: 726c91c6-08a2-11e5-937b-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-18_22-08-57.pcd 0.0502121 0.00249822 0.00341951 8 129,99,78,36,26,25,23,17 71,56,44,14,15,16,17,16 -1 453288 726 1020 -1 -1 400 694 -1 -1 452562,545,123,29,14,9,4,1,0,0,1 -1 0,219,123,29,14,9,4,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-00.pcd 0.0470126 0.000819489 0.00316812 9 157,80,52,31,29,26,21,16,15 83,49,36,17,15,13,16,12,13 -1 424446 722 1020 -1 -1 400 698 -1 -1 423724,533,125,42,11,5,2,2,2 -1 0,211,125,42,11,5,2,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-02.pcd 0.0523069 0.000829135 0.00285019 6 174,53,44,19,18,17 102,39,16,14,12,14 -1 407880 738 1020 -1 -1 400 682 -1 -1 407142,559,127,27,9,10,4,1,0,1 -1 0,221,127,27,9,10,4,1,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-05.pcd 0.0474905 0.00102014 0.00289448 10 81,61,39,37,25,20,18,18,16,16 45,45,27,15,14,12,16,13,12,12 -1 461736 735 1020 -1 -1 400 685 -1 -1 461001,544,139,31,10,7,1,1,1,1 -1 0,209,139,31,10,7,1,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-08.pcd 0.0481159 0.000997152 0.00327587 9 174,47,29,28,25,20,20,19,16 110,27,13,12,20,16,14,13,12 -1 404481 771 1020 -1 -1 400 649 -1 -1 403710,597,126,32,10,3,2,0,1 -1 0,226,126,32,10,3,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-11.pcd 0.0491154 0.000820939 0.0031802 6 142,123,77,62,32,19 77,59,54,35,18,12 -1 424710 728 1020 -1 -1 400 692 -1 -1 423982,541,127,38,14,3,2,1,0,1,0,0,1 -1 0,213,127,38,14,3,2,1,0,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-14.pcd 0.0447238 0.00174578 0.00292154 7 201,64,51,30,24,22,19 112,36,20,21,22,15,16 -1 460845 702 1020 -1 -1 400 718 -1 -1 460143,506,136,33,13,6,3,2,0,2,0,1 -1 0,204,136,33,13,6,3,2,0,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-16.pcd 0.0472992 0.00179095 0.00285466 4 118,53,24,21 79,29,17,16 -1 446160 751 1020 -1 -1 400 669 -1 -1 445409,574,125,36,3,9,1,0,2,1 -1 0,223,125,36,3,9,1,0,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-19.pcd 0.0532453 0.000882269 0.00290077 9 100,57,54,45,38,28,27,23,22 54,35,29,16,22,19,19,15,14 -1 451044 719 1020 -1 -1 400 701 -1 -1 450325,533,117,41,16,8,2,2 -1 0,214,117,41,16,8,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-22.pcd 0.0450902 0.00226515 0.00298033 5 150,90,70,22,22 103,44,42,18,13 -1 451044 746 1020 -1 -1 400 674 -1 -1 450298,568,120,39,13,2,0,1,2,0,1 -1 0,222,120,39,13,2,0,1,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-24.pcd 0.0412339 0.00151706 0.00286465 11 115,50,41,40,40,35,24,20,18,17,15 63,20,22,24,12,23,16,13,13,13,12 -1 427977 673 1020 -1 -1 400 747 -1 -1 427304,458,146,41,15,4,3,3,2,0,0,0,1 -1 0,185,146,41,15,4,3,3,2,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-27.pcd 0.0433712 0.00120236 0.00295131 8 111,84,51,42,41,21,19,12 59,46,35,18,28,16,15,12 -1 470184 738 1020 -1 -1 400 682 -1 -1 469446,557,125,32,12,8,2,1,0,0,1 -1 0,219,125,32,12,8,2,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-30.pcd 0.0398199 0.000831554 0.00297819 8 125,111,64,53,47,45,36,34 61,62,31,35,19,18,13,27 -1 453024 678 1020 -1 -1 400 742 -1 -1 452346,483,118,42,18,8,3,4,1,1 -1 0,205,118,42,18,8,3,4,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-32.pcd 0.0474069 0.00208166 0.00299314 6 179,77,30,30,29,24 85,43,19,17,14,17 -1 434214 696 1020 -1 -1 400 724 -1 -1 433518,494,133,41,12,9,5,2 -1 0,198,133,41,12,9,5,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-34.pcd 0.0493485 0.000840722 0.00295702 9 191,48,34,30,23,21,20,19,17 97,24,25,19,21,15,14,17,14 -1 434313 725 1020 -1 -1 400 695 -1 -1 433588,542,119,32,23,6,1,0,2 -1 0,217,119,32,23,6,1,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-37.pcd 0.0527154 0.00081014 0.00300237 7 160,87,86,32,26,21,20 86,53,59,21,15,13,13 -1 462264 736 1020 -1 -1 400 684 -1 -1 461528,550,121,43,13,7,2 -1 0,214,121,43,13,7,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/ds0_02mp_4500/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_uniform_2015-05-18_22-09-40.pcd 0.0462313 0.000884888 0.00303796 7 202,67,63,48,23,21,14 104,26,34,26,12,14,13 0,0,0,0,0,0,0 473088 691 1020 9 18 400 729 5 14 472397,502,116,43,15,7,3,1,2,0,1,1 0,4,3,1,0,1,0,0,0,0,0,0 0,211,116,43,15,7,3,1,2,0,1,1 0,0,3,1,0,1,0,0,0,0,0,0
