obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<shotcolor_iss_2015-05-26_14-58-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__53931: 'http://tycho:53931/'}
rosversion: '1.11.10

  '
run_id: cf0d9a6e-08c6-11e5-9ca7-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-45.pcd 2.75748 0.00177383 0.00226364 9 123,92,73,56,52,41,40,36,16 53,46,46,34,27,23,30,23,15 1,0,0,0,0,0,0,0,0 386100 383 630 37 92 383 630 37 92 385717,245,81,30,15,5,4,2,0,0,1 0,11,12,6,4,2,1,1,0,0,0 0,245,81,30,15,5,4,2,0,0,1 0,11,12,6,4,2,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-47.pcd 2.76863 0.00162205 0.00199561 7 151,108,76,63,40,28,21 59,53,46,32,21,14,14 0,0,1,0,0,0,0 413127 357 630 32 60 357 630 32 60 412770,225,63,33,23,4,2,3,1,3 0,14,10,6,2,0,0,0,0,0 0,225,63,33,23,4,2,3,1,3 0,14,10,6,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-48.pcd 2.58384 0.000740264 0.00300172 7 191,137,45,45,27,24,16 99,68,24,23,20,18,14 0,0,0,0,0,0,0 400554 372 630 29 59 372 630 29 59 400182,229,82,32,20,2,3,2,0,1,1 0,14,8,4,2,0,0,0,0,1,0 0,229,82,32,20,2,3,2,0,1,1 0,14,8,4,2,0,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-50.pcd 3.11641 0.000998686 0.00272979 7 127,122,87,74,50,41,16 74,45,37,36,13,20,14 0,0,0,0,0,0,0 394284 327 630 33 76 327 630 33 76 393957,197,52,35,18,14,4,2,2,2,1 0,13,6,8,3,3,0,0,0,0,0 0,197,52,35,18,14,4,2,2,2,1 0,13,6,8,3,3,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 2.71496 0.000755832 0.00272237 8 152,89,81,52,43,39,32,23 41,39,59,19,20,19,13,13 0,1,0,0,0,0,0,0 393822 331 630 30 79 331 630 30 79 393491,204,50,42,19,3,3,2,3,1,2,0,2 0,8,8,8,3,1,1,0,1,0,0,0,0 0,204,50,42,19,3,3,2,3,1,2,0,2 0,8,8,8,3,1,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 2.49203 0.000649294 0.00200736 6 154,126,117,60,34,18 90,43,57,29,16,16 0,0,1,0,0,0 371910 344 630 30 68 344 630 30 68 371566,193,81,39,14,7,7,1,0,2 0,12,9,4,1,2,2,0,0,0 0,193,81,39,14,7,7,1,0,2 0,12,9,4,1,2,2,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-53.pcd 2.7833 0.00108325 0.0022637 4 264,113,65,38 79,29,30,19 0,0,0,1 408408 277 630 13 32 277 630 13 32 408131,169,40,21,18,8,4,4,3,0,3,3,0,0,1,1,1,0,0,0,0,0,1 0,7,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,169,40,21,18,8,4,4,3,0,3,3,0,0,1,1,1,0,0,0,0,0,1 0,7,1,2,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-54.pcd 2.60828 0.000702007 0.00198252 9 160,90,54,53,37,30,27,18,16 49,17,29,15,22,17,12,16,16 1,0,0,0,0,0,0,0,0 392704 282 630 28 107 282 630 28 107 392422,168,51,22,9,7,3,7,2,5,3,2,0,0,2,1 0,5,7,6,0,3,1,3,1,1,0,1,0,0,0,0 0,168,51,22,9,7,3,7,2,5,3,2,0,0,2,1 0,5,7,6,0,3,1,3,1,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-56.pcd 2.58067 0.000780789 0.00284474 6 65,52,43,33,24,21 47,43,36,27,14,19 -1 399960 511 630 -1 -1 400 519 -1 -1 399449,426,57,23,4,1 -1 0,315,57,23,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-57.pcd 2.28378 0.00150865 0.00286753 7 121,117,113,87,44,24,16 56,61,50,55,31,15,14 0,0,0,0,0,0,0 378972 355 630 28 47 355 630 28 47 378617,210,77,33,22,6,3,2,1,1 0,16,7,3,2,0,0,0,0,0 0,210,77,33,22,6,3,2,1,1 0,16,7,3,2,0,0,0,0,0
