obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<fpfh_uniform_2015-05-26_14-46-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51742: 'http://tycho:51742/'}
rosversion: '1.11.10

  '
run_id: 47ff659a-08c4-11e5-9b04-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-20-52.pcd 0.0434616 0.00106879 0.00327531 9 93,80,58,44,35,25,19,18,16 54,36,33,19,23,14,13,14,12 0,0,0,0,0,0,0,0,0 449955 941 1260 23 37 400 719 10 24 449014,725,161,36,9,3,4,0,2,0,0,0,0,0,1 0,13,6,4,0,0,0,0,0,0,0,0,0,0,0 0,184,161,36,9,3,4,0,2,0,0,0,0,0,1 0,0,6,4,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-06.pcd 0.0551845 0.00091526 0.00302453 10 104,98,61,54,42,39,23,23,21,20 40,44,47,29,28,20,16,12,15,17 0,0,0,0,0,0,0,0,0,0 424446 926 1260 18 33 400 734 8 23 423520,726,134,39,9,9,4,2,1,1,0,0,0,1 0,10,4,2,1,1,0,0,0,0,0,0,0,0 0,200,134,39,9,9,4,2,1,1,0,0,0,1 0,0,4,2,1,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-19.pcd 0.0478142 0.000946187 0.00280772 9 148,72,42,24,24,22,19,19,16 58,40,34,17,14,17,17,12,14 0,0,0,0,0,0,0,0,0 445269 948 1260 16 22 400 712 3 9 444321,736,147,44,13,5,0,3 0,13,1,1,1,0,0,0 0,188,147,44,13,5,0,3 0,0,1,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-31.pcd 0.0533917 0.000952131 0.00263071 6 138,66,50,37,18,16 60,36,37,20,13,12 0,0,0,0,0,0 461736 977 1260 13 20 400 683 3 10 460759,781,151,22,11,8,2,1,1 0,10,1,0,2,0,0,0,0 0,204,151,22,11,8,2,1,1 0,0,1,0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-44.pcd 0.0485125 0.000939836 0.00296867 6 155,73,48,47,19,15 56,32,41,30,16,13 0,0,0,0,0,0 404481 937 1260 18 25 400 723 7 14 403544,726,150,34,14,6,5,0,2 0,12,5,1,0,0,0,0,0 0,189,150,34,14,6,5,0,2 0,1,5,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-56.pcd 0.0603767 0.000954529 0.00287182 10 97,93,73,38,35,34,33,21,18,13 44,40,42,27,22,15,27,13,12,12 0,0,0,0,1,0,0,0,0,0 424710 910 1260 16 21 400 750 5 10 423800,711,139,25,13,10,3,4,2,1,1,0,0,1 0,11,5,0,0,0,0,0,0,0,0,0,0,0 0,201,139,25,13,10,3,4,2,1,1,0,0,1 0,0,5,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-09.pcd 0.0528306 0.000972824 0.00246888 10 73,62,42,35,34,30,29,27,24,21 32,31,20,18,27,16,14,20,16,17 0,0,1,0,0,0,0,0,0,0 456456 909 1260 20 35 400 751 9 24 455547,689,151,38,13,11,3,2,2 0,11,4,4,1,0,0,0,0 0,180,151,38,13,11,3,2,2 0,0,4,4,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-20.pcd 0.0589181 0.000979813 0.00263922 9 90,53,46,39,33,30,18,17,16 30,41,32,20,22,20,13,13,13 0,0,0,0,0,0,0,0,0 449592 954 1260 15 19 400 706 4 8 448638,749,149,34,13,4,1,0,3,1 0,11,4,0,0,0,0,0,0,0 0,195,149,34,13,4,1,0,3,1 0,0,4,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-33.pcd 0.0484981 0.00188524 0.00189553 9 85,52,46,46,36,26,24,20,14 53,15,38,18,17,24,17,13,12 -1 451044 922 1260 -1 -1 400 738 -1 -1 450122,698,165,35,9,6,6,1,0,2 -1 0,176,165,35,9,6,6,1,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-46.pcd 0.0456109 0.0007062 0.00307775 8 76,74,67,42,36,33,26,24 38,33,41,27,22,26,16,16 0,0,0,0,0,0,0,0 451044 935 1260 12 19 400 725 3 10 450109,734,142,30,12,8,4,2,2,0,1 0,9,1,0,2,0,0,0,0,0,0 0,199,142,30,12,8,4,2,2,0,1 0,0,1,0,2,0,0,0,0,0,0
