obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<fpfh_iss_2015-05-26_14-59-03.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__52684: 'http://tycho:52684/'}
rosversion: '1.11.10

  '
run_id: b750fd56-08e1-11e5-9b0c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-22_03-05-17.pcd 0.0181173 0.00185965 0.00312623 9 125,65,37,33,28,28,20,16,15 86,23,19,22,22,15,15,13,12 -1 386100 510 750 -1 -1 400 640 -1 -1 385590,366,95,30,9,2,3,2,2,0,1 -1 0,256,95,30,9,2,3,2,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-22_03-05-28.pcd 0.0177798 0.000869433 0.00307526 10 134,43,43,38,37,24,21,18,17,14 77,33,29,21,17,15,13,12,15,14 -1 413127 516 750 -1 -1 400 634 -1 -1 412611,370,93,30,17,3,0,3 -1 0,254,93,30,17,3,0,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-22_03-05-38.pcd 0.0197813 0.00149605 0.00281316 9 93,55,47,36,26,24,20,20,14 39,36,26,23,18,14,14,13,12 0,0,0,0,0,0,0,0,0 400554 493 750 14 25 400 657 13 24 400061,338,102,32,11,2,5,1,1,0,0,0,0,1 0,7,4,2,1,0,0,0,0,0,0,0,0,0 0,245,102,32,11,2,5,1,1,0,0,0,0,1 0,6,4,2,1,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-22_03-05-50.pcd 0.0156689 0.00130144 0.00289715 10 56,56,52,49,41,32,20,20,19,17 31,31,34,17,20,22,15,15,14,13 0,0,0,0,1,0,0,0,0,0 394284 498 750 17 33 400 652 15 31 393786,342,103,32,11,5,0,3,2 0,11,3,1,0,1,0,0,1 0,244,103,32,11,5,0,3,2 0,9,3,1,0,1,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-01.pcd 0.0183284 0.000751433 0.00248934 8 101,42,35,33,32,30,26,22 66,29,22,22,18,22,14,15 -1 393822 504 750 -1 -1 400 646 -1 -1 393318,348,104,30,11,7,3,1 -1 0,244,104,30,11,7,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-12.pcd 0.0172998 0.000522494 0.0027748 8 60,46,41,39,37,36,25,20 39,30,14,27,17,25,17,13 0,0,0,0,1,0,0,0 371910 490 750 12 23 400 660 11 22 371420,335,94,38,11,7,2,2,1 0,5,4,2,1,0,0,0,0 0,245,94,38,11,7,2,2,1 0,4,4,2,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-22.pcd 0.017409 0.000940935 0.00273777 7 133,71,55,35,24,21,19 55,45,30,23,13,13,13 0,0,0,0,0,0,0 408408 482 750 13 31 400 668 12 30 407926,311,114,38,9,5,2,2,0,0,1 0,5,3,3,1,0,0,1,0,0,0 0,229,114,38,9,5,2,2,0,0,1 0,4,3,3,1,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-34.pcd 0.0169239 0.000703434 0.00229747 8 112,69,36,28,26,25,24,15 61,37,26,18,13,12,21,12 0,0,0,0,0,0,0,0 392704 503 750 22 44 400 647 22 44 392201,350,96,31,18,5,3 0,13,2,3,3,0,1 0,247,96,31,18,5,3 0,13,2,3,3,0,1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-22_03-06-45.pcd 0.0175349 0.000743688 0.00301938 10 75,63,42,31,26,25,25,23,18,17 33,36,30,19,17,16,14,15,16,13 -1 399960 498 750 -1 -1 400 652 -1 -1 399462,338,106,33,11,5,3,2 -1 0,240,106,33,11,5,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-06-56.pcd 0.0175383 0.000679482 0.00287368 9 85,71,41,38,38,37,34,30,21 55,39,18,20,18,21,24,12,17 0,0,0,0,0,0,0,0,0 378972 493 750 7 12 400 657 7 12 378479,339,101,30,11,7,3,1,0,0,0,0,0,0,0,1 0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0 0,246,101,30,11,7,3,1,0,0,0,0,0,0,0,1 0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_iss_2015-05-22_03-07-07.pcd 0.0150684 0.000742245 0.00190854 7 92,54,52,43,42,40,28 60,23,34,19,16,21,21 0,0,0,0,0,0,0 420420 471 750 12 28 400 679 12 28 419949,299,112,35,12,8,2,2,1 0,6,3,0,0,2,1,0,0 0,228,112,35,12,8,2,2,1 0,6,3,0,0,2,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_iss_2015-05-22_03-07-16.pcd 0.0193762 0.00130783 0.0027738 8 90,51,49,30,27,25,23,21 48,39,23,16,14,13,13,14 0,0,1,0,0,0,0,0 418077 501 750 13 30 400 649 13 30 417576,353,96,28,11,7,1,4,1 0,6,3,1,2,0,0,1,0 0,252,96,28,11,7,1,4,1 0,6,3,1,2,0,0,1,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-07-28.pcd 0.0169078 0.00098994 0.00307163 8 95,60,49,41,36,33,29,28 57,36,32,27,31,22,15,21 0,0,0,0,0,0,0,0 401082 506 750 10 18 400 644 8 16 400576,351,97,39,11,5,2,1 0,6,0,4,0,0,0,0 0,245,97,39,11,5,2,1 0,4,0,4,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_iss_2015-05-22_03-07-37.pcd 0.0175593 0.00103647 0.00361895 7 99,64,44,37,36,26,26 59,37,30,15,21,18,16 0,0,0,0,0,0,0 393294 487 750 10 14 400 663 8 12 392807,332,102,25,16,7,1,2,1,0,0,0,1 0,6,4,0,0,0,0,0,0,0,0,0,0 0,245,102,25,16,7,1,2,1,0,0,0,1 0,4,4,0,0,0,0,0,0,0,0,0,0
