obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<fpfh_uniform_2015-05-26_14-46-20.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34891: 'http://tycho:34891/'}
rosversion: '1.11.10

  '
run_id: a5cdbdbc-08f0-11e5-b5a3-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-20-52.pcd 0.0554799 0.000968277 0.0019886 10 112,88,64,52,26,24,23,23,22,22 61,49,28,19,15,13,14,12,17,16 0,0,0,0,0,0,0,0,0,0 449955 881 1280 8 10 400 799 8 10 449074,636,156,49,27,6,4,1,2 0,6,2,0,0,0,0,0,0 0,155,156,49,27,6,4,1,2 0,6,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-06.pcd 0.0334994 0.00106953 0.00235653 12 136,100,59,43,38,37,36,25,23,18,16,16 57,55,31,19,19,24,14,20,14,13,12,12 0,0,0,0,0,0,0,0,0,0,0,0 424446 906 1280 19 27 400 774 4 12 423540,668,154,54,20,3,3,3,1 0,15,2,1,0,1,0,0,0 0,162,154,54,20,3,3,3,1 0,0,2,1,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-19.pcd 0.0320112 0.0012243 0.00212974 8 95,68,40,35,25,25,24,21 56,36,24,19,17,16,14,15 -1 445269 899 1280 -1 -1 400 781 -1 -1 444370,652,154,65,19,6,2,1 -1 0,153,154,65,19,6,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-31.pcd 0.0394444 0.00152249 0.0017658 10 90,46,40,38,36,36,29,24,24,23 40,27,16,24,29,21,13,20,14,13 -1 461736 917 1280 -1 -1 400 763 -1 -1 460819,691,136,57,24,7,0,1,1 -1 0,174,136,57,24,7,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-44.pcd 0.0384078 0.00101004 0.0016844 8 95,87,76,46,30,29,27,24 46,52,37,38,15,14,14,17 1,0,0,0,0,0,0,0 404481 907 1280 15 21 400 773 6 12 403574,666,155,51,28,5,1,0,1 0,9,6,0,0,0,0,0,0 0,159,155,51,28,5,1,0,1 0,0,6,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-21-56.pcd 0.0375923 0.000873268 0.00282606 7 82,63,50,44,44,35,32 46,34,27,23,19,24,18 0,0,0,0,0,0,0 424710 886 1280 15 26 400 794 13 24 423824,645,148,56,21,12,2,1,1 0,9,3,1,2,0,0,0,0 0,159,148,56,21,12,2,1,1 0,7,3,1,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-09.pcd 0.0348202 0.00101334 0.00170612 7 164,119,40,38,33,30,26 78,56,13,18,19,13,15 0,0,0,0,0,0,0 456456 841 1280 10 15 400 839 7 12 455615,581,165,48,28,10,5,2,1,0,0,1 0,7,1,2,0,0,0,0,0,0,0,0 0,140,165,48,28,10,5,2,1,0,0,1 0,4,1,2,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-20.pcd 0.0317116 0.000784465 0.00274784 9 83,82,66,38,27,26,22,21,18 32,39,39,18,17,14,13,14,14 -1 449592 894 1280 -1 -1 400 786 -1 -1 448698,636,174,59,17,3,3,0,0,2 -1 0,142,174,59,17,3,3,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-33.pcd 0.0399651 0.000891286 0.00251626 8 97,60,50,46,36,34,34,17 51,39,23,20,21,19,16,13 -1 451044 877 1280 -1 -1 400 803 -1 -1 450167,618,165,60,24,5,4,1 -1 0,141,165,60,24,5,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-21_21-22-46.pcd 0.0353339 0.00105387 0.00274514 7 93,71,70,51,39,19,16 49,35,37,36,18,12,15 0,0,0,0,0,0,0 451044 910 1280 16 28 400 770 8 20 450134,676,146,56,25,3,3,0,0,0,0,1 0,8,5,2,1,0,0,0,0,0,0,0 0,166,146,56,25,3,3,0,0,0,0,1 0,0,5,2,1,0,0,0,0,0,0,0
