obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<pfh_uniform_2015-05-26_14-47-51.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35676: 'http://tycho:35676/'}
rosversion: '1.11.10

  '
run_id: 07d989da-08ee-11e5-a524-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_uniform_2015-05-21_19-19-01.pcd 0.0772271 0.000964227 0.00189515 8 113,52,43,34,32,28,26,26 54,31,19,15,15,15,19,16 0,0,0,0,0,0,0,0 449955 902 1280 11 17 400 778 8 14 449053,645,176,54,20,4,1,1,1 0,9,0,0,2,0,0,0,0 0,143,176,54,20,4,1,1,1 0,6,0,0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_uniform_2015-05-21_19-20-25.pcd 0.0680658 0.000900924 0.00166188 6 124,96,94,59,50,28 67,50,52,34,37,14 0,0,0,0,0,0 424446 919 1280 19 23 400 761 3 7 423527,664,178,60,10,5,1,0,0,1 0,16,2,1,0,0,0,0,0,0 0,145,178,60,10,5,1,0,0,1 0,0,2,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_uniform_2015-05-21_19-21-42.pcd 0.0762393 0.00225152 0.00179773 9 72,61,37,35,35,32,28,22,22 45,34,22,19,19,18,15,19,13 -1 445269 927 1280 -1 -1 400 753 -1 -1 444342,686,172,38,22,6,3 -1 0,159,172,38,22,6,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_uniform_2015-05-21_19-23-38.pcd 0.0743707 0.00110196 0.00172619 7 65,55,55,51,43,33,24 40,37,27,35,19,13,17 -1 461736 905 1280 -1 -1 400 775 -1 -1 460831,659,163,52,20,7,4 -1 0,154,163,52,20,7,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-25-04.pcd 0.0727681 0.00121241 0.0022233 6 103,82,65,47,30,25 56,54,27,29,16,15 0,0,0,0,0,0 404481 938 1280 24 37 400 742 7 20 403543,702,170,41,15,6,3,1 0,17,4,1,1,1,0,0 0,164,170,41,15,6,3,1 0,0,4,1,1,1,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-26-30.pcd 0.0724031 0.000724284 0.00285455 8 108,81,50,50,45,31,31,27 59,48,31,18,21,22,19,12 1,0,0,0,0,0,0,0 424710 888 1280 24 34 400 792 17 27 423822,628,174,56,17,10,3 0,17,4,3,0,0,0 0,140,174,56,17,10,3 0,10,4,3,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-28-03.pcd 0.0725577 0.000817395 0.00284749 8 116,89,51,45,30,28,27,24 48,43,28,31,15,14,14,13 0,0,1,0,0,0,0,0 456456 858 1280 20 31 400 822 15 26 455598,598,166,54,24,12,1,2,0,0,0,0,1 0,9,11,0,0,0,0,0,0,0,0,0,0 0,140,166,54,24,12,1,2,0,0,0,0,1 0,4,11,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-29-18.pcd 0.0873889 0.000873729 0.00291965 10 60,40,38,33,33,30,29,27,24,20 36,19,20,21,18,21,19,14,15,14 -1 449592 926 1280 -1 -1 400 754 -1 -1 448666,691,154,56,16,6,2,1 -1 0,165,154,56,16,6,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_uniform_2015-05-21_19-30-54.pcd 0.0721406 0.00112211 0.0016335 8 81,76,51,46,45,40,32,19 44,40,18,20,24,27,16,13 -1 451044 896 1280 -1 -1 400 784 -1 -1 450148,633,181,54,21,5,0,2 -1 0,137,181,54,21,5,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-32-31.pcd 0.0740626 0.00104654 0.00216284 7 82,56,55,47,46,32,28 53,39,31,17,32,19,17 0,0,0,1,0,0,0 451044 922 1280 32 55 400 758 10 33 450122,676,170,51,17,5,3 0,22,3,4,1,1,1 0,154,170,51,17,5,3 0,0,3,4,1,1,1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_uniform_2015-05-21_19-33-35.pcd 0.0629559 0.000610306 0.0018004 10 62,62,48,36,31,27,27,21,21,16 35,24,29,17,19,15,15,13,12,13 -1 427977 917 1280 -1 -1 400 763 -1 -1 427060,667,170,54,21,3,2 -1 0,150,170,54,21,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_uniform_2015-05-21_19-35-11.pcd 0.0761893 0.000691701 0.00179676 10 69,69,58,54,48,45,43,39,19,16 37,37,25,26,21,17,27,18,14,14 0,0,0,0,1,0,0,0,0,0 470184 865 1280 25 41 400 815 11 27 469319,608,167,52,23,8,3,2,0,2 0,15,7,2,0,0,1,0,0,0 0,143,167,52,23,8,3,2,0,2 0,1,7,2,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_uniform_2015-05-21_19-37-08.pcd 0.0671549 0.000624982 0.00165328 7 174,38,36,36,35,19,16 76,16,20,14,27,12,15 -1 453024 880 1280 -1 -1 400 800 -1 -1 452144,637,143,58,31,8,2,1 -1 0,157,143,58,31,8,2,1 -1
