obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfh_iss_2015-05-26_15-00-33.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51845: 'http://tycho:51845/'}
rosversion: '1.11.10

  '
run_id: b6268100-0907-11e5-9a6b-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-22_01-51-52.pcd 0.00867072 0.000737427 0.0024674 9 130,79,76,43,36,34,23,19,15 68,44,49,26,19,21,17,12,13 -1 386100 518 770 -1 -1 400 652 -1 -1 385582,359,104,31,16,4,2,2 -1 0,241,104,31,16,4,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-22_01-52-18.pcd 0.00896125 0.000528036 0.00219546 11 111,64,45,39,37,35,28,28,25,22,19 56,36,26,26,23,24,19,16,17,12,12 -1 413127 480 770 -1 -1 400 690 -1 -1 412647,310,99,39,23,5,1,2,1 -1 0,230,99,39,23,5,1,2,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-22_01-52-41.pcd 0.00880808 0.000694904 0.00332952 7 164,83,46,41,33,29,21 87,47,33,24,17,21,12 -1 400554 500 770 -1 -1 400 670 -1 -1 400054,334,99,40,18,8,1 -1 0,234,99,40,18,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-22_01-53-20.pcd 0.0127571 0.00191498 0.00303023 8 98,74,53,33,33,28,22,18 55,37,32,22,16,23,18,16 -1 394284 518 770 -1 -1 400 652 -1 -1 393766,351,111,33,19,2,2 -1 0,233,111,33,19,2,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-22_01-54-11.pcd 0.00909808 0.00144765 0.00198005 9 184,117,33,29,27,26,21,19,18 92,57,21,19,16,22,14,14,13 0,0,0,0,0,0,0,0,0 393822 492 770 22 51 400 678 18 47 393330,327,97,37,22,4,5 0,8,6,3,4,0,1 0,235,97,37,22,4,5 0,4,6,3,4,0,1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-22_01-54-51.pcd 0.00880425 0.000678023 0.00181417 9 169,87,36,34,30,25,24,22,20 98,43,24,17,15,14,19,15,14 -1 371910 470 770 -1 -1 400 700 -1 -1 371440,294,105,42,17,5,4,2,0,1 -1 0,224,105,42,17,5,4,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-22_01-55-54.pcd 0.0119605 0.000741447 0.00185689 9 168,54,39,36,34,29,25,24,23 95,24,27,17,26,13,18,14,15 -1 408408 456 770 -1 -1 400 714 -1 -1 407952,282,95,42,21,11,3,1,1 -1 0,226,95,42,21,11,3,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-22_01-56-20.pcd 0.009836 0.000520159 0.00179691 8 85,75,64,56,38,24,18,16 45,35,33,33,23,13,15,15 -1 392704 470 770 -1 -1 400 700 -1 -1 392234,307,98,21,28,7,6,3 -1 0,237,98,21,28,7,6,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-22_01-56-46.pcd 0.00874475 0.000665905 0.00179635 8 207,45,45,32,31,31,25,18 115,22,21,21,17,16,13,12 -1 399960 477 770 -1 -1 400 693 -1 -1 399483,303,105,37,22,6,2,0,2 -1 0,226,105,37,22,6,2,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-22_01-57-37.pcd 0.00809254 0.00070511 0.00259492 11 86,60,54,45,44,34,29,27,22,18,15 43,27,28,31,24,20,18,12,13,16,12 -1 378972 457 770 -1 -1 400 713 -1 -1 378515,285,95,37,24,10,4,2 -1 0,228,95,37,24,10,4,2 -1
