obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<shotcolor_iss_2015-05-26_14-58-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__56912: 'http://tycho:56912/'}
rosversion: '1.11.10

  '
run_id: 97bbf008-0905-11e5-9730-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-45.pcd 3.43875 0.00240813 0.00191773 4 249,179,81,15 23,42,24,14 -1 386100 212 770 -1 -1 212 770 -1 -1 385888,118,38,13,5,5,3,2,3,1,2,1,2,2,1,1,1,2,2,3,2,0,0,0,1,1,1,1,0,0,0,0,1 -1 0,118,38,13,5,5,3,2,3,1,2,1,2,2,1,1,1,2,2,3,2,0,0,0,1,1,1,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-47.pcd 2.86155 0.00070617 0.00156812 5 169,103,92,53,19 12,19,21,14,16 -1 413127 226 770 -1 -1 226 770 -1 -1 412901,144,26,13,4,5,3,3,3,1,2,3,2,2,2,0,3,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1 -1 0,144,26,13,4,5,3,3,3,1,2,3,2,2,2,0,3,0,1,1,1,1,1,0,1,1,0,1,0,0,0,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-48.pcd 2.80759 0.000723512 0.00140251 6 253,164,87,63,48,18 23,38,31,23,29,12 -1 400554 256 770 -1 -1 256 770 -1 -1 400298,164,31,13,6,5,1,6,5,3,2,3,4,1,2,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,164,31,13,6,5,1,6,5,3,2,3,4,1,2,3,3,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-50.pcd 2.83469 0.000894687 0.00108709 7 227,163,100,56,43,37,31 26,12,15,35,34,26,19 -1 394284 230 770 -1 -1 230 770 -1 -1 394054,142,44,12,7,1,4,2,1,0,0,1,2,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1 -1 0,142,44,12,7,1,4,2,1,0,0,1,2,0,0,1,0,2,0,1,2,0,0,0,0,0,0,1,2,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 2.33388 0.000853871 0.0012635 5 318,236,79,26,17 67,31,38,22,12 0,1,0,0,0 393822 237 770 29 233 237 770 29 233 393585,131,44,19,6,5,0,6,6,1,1,1,2,0,2,4,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,5,6,3,2,2,0,1,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,131,44,19,6,5,0,6,6,1,1,1,2,0,2,4,1,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 0,5,6,3,2,2,0,1,3,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-52.pcd 3.36756 0.00113379 0.00199133 3 219,124,118 46,24,62 -1 371910 243 770 -1 -1 243 770 -1 -1 371667,151,39,10,5,4,6,6,2,1,1,0,3,2,0,0,1,2,1,0,0,3,1,0,0,1,0,0,1,1,1,1 -1 0,151,39,10,5,4,6,6,2,1,1,0,3,2,0,0,1,2,1,0,0,3,1,0,0,1,0,0,1,1,1,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-53.pcd 2.83556 0.00109472 0.00131545 6 243,123,28,22,18,17 55,42,18,16,13,13 -1 408408 254 770 -1 -1 254 770 -1 -1 408154,155,40,25,8,2,1,1,1,1,2,1,1,1,1,0,2,1,1,0,1,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1 -1 0,155,40,25,8,2,1,1,1,1,2,1,1,1,1,0,2,1,1,0,1,2,2,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-54.pcd 2.9673 0.00078244 0.00186621 5 311,181,106,36,16 30,24,61,24,13 -1 392704 230 770 -1 -1 230 770 -1 -1 392474,148,37,17,3,4,2,0,1,0,0,3,1,0,0,0,2,0,0,1,0,3,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1 -1 0,148,37,17,3,4,2,0,1,0,0,3,1,0,0,0,2,0,0,1,0,3,0,0,0,2,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-56.pcd 2.90623 0.000531026 0.00141206 5 341,94,62,47,34 66,18,22,15,12 -1 399960 210 770 -1 -1 210 770 -1 -1 399750,127,32,13,5,3,4,2,0,2,3,0,1,0,2,1,0,0,3,2,2,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1 -1 0,127,32,13,5,3,4,2,0,2,3,0,1,0,2,1,0,0,3,2,2,0,0,1,0,0,1,1,1,0,1,1,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-22_01-49-57.pcd 2.43573 0.000692699 0.00109864 5 306,99,68,60,24 45,50,18,14,16 -1 378972 239 770 -1 -1 239 770 -1 -1 378733,157,32,13,4,2,1,4,1,2,1,5,2,2,0,3,0,0,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,157,32,13,4,2,1,4,1,2,1,5,2,2,0,3,0,0,2,1,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
