obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shot_iss_2015-05-26_14-58-02.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__40186: 'http://tycho:40186/'}
rosversion: '1.11.10

  '
run_id: 70dc054c-08ae-11e5-b975-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-22_01-16-34.pcd 0.707309 0.00266096 0.0037093 7 61,55,42,29,14,14,14 57,44,40,25,14,13,12 -1 386100 499 550 -1 -1 400 451 -1 -1 385601,452,43,4 -1 0,353,43,4 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-22_01-17-02.pcd 0.652856 0.00153504 0.00293073 7 62,34,33,29,18,14,14 57,28,30,23,14,13,13 -1 413127 486 550 -1 -1 400 464 -1 -1 412641,430,48,8 -1 0,344,48,8 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-20.pcd 0.507498 0.00110924 0.00171185 5 79,42,27,20,16 68,37,26,19,16 -1 400554 499 550 -1 -1 400 451 -1 -1 400055,454,39,6 -1 0,355,39,6 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-22_01-17-30.pcd 0.599773 0.00212019 0.00289523 10 27,24,21,18,17,16,15,15,15,13 27,20,17,14,15,14,14,13,12,12 -1 394284 495 550 -1 -1 400 455 -1 -1 393789,450,36,8,1 -1 0,355,36,8,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-03.pcd 0.417336 0.00173386 0.00293651 9 45,45,27,21,21,15,14,14,12 38,36,22,19,17,13,13,12,12 -1 393822 488 550 -1 -1 400 462 -1 -1 393334,432,51,4,1 -1 0,344,51,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-30.pcd 0.506328 0.00109865 0.00268697 6 63,48,36,34,16,15 59,40,28,28,13,13 -1 371910 485 550 -1 -1 400 465 -1 -1 371425,428,51,5,0,1 -1 0,343,51,5,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-22_01-18-58.pcd 0.535447 0.00102524 0.00280317 7 80,59,25,24,17,16,15 71,50,20,23,16,14,14 -1 408408 492 550 -1 -1 400 458 -1 -1 407916,441,44,7 -1 0,349,44,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-22_01-19-25.pcd 0.567334 0.0013975 0.0027979 8 36,32,25,21,17,17,16,16 32,30,24,18,15,15,15,14 -1 392704 495 550 -1 -1 400 455 -1 -1 392209,447,41,7 -1 0,352,41,7 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-22_01-19-53.pcd 0.432509 0.000702802 0.00296641 6 42,29,23,20,18,14 38,29,19,18,16,12 -1 399960 497 550 -1 -1 400 453 -1 -1 399463,451,40,5,1 -1 0,354,40,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-22_01-20-09.pcd 0.421708 0.00127373 0.00189877 10 49,48,41,34,27,27,17,16,15,12 40,39,35,31,26,22,15,15,13,12 -1 378972 482 550 -1 -1 400 468 -1 -1 378490,428,43,9,1,1 -1 0,346,43,9,1,1 -1
