obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfhrgb_susan_2015-05-26_15-09-38.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33509: 'http://tycho:33509/'}
rosversion: '1.11.10

  '
run_id: f4f85f6c-08b6-11e5-a9c9-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-02-38.pcd 0.019607 0.00169862 0.000636579 2 48,32 12,14 -1 367488 89 210 -1 -1 89 210 -1 -1 367399,42,24,8,5,3,2,2,1,0,0,1,0,0,0,0,1 -1 0,42,24,8,5,3,2,2,1,0,0,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_susan_2015-05-22_06-02-50.pcd 0.0233316 0.00111115 0.000590371 1 10 1 -1 405768 87 210 -1 -1 87 210 -1 -1 405681,43,15,14,5,0,4,2,1,1,2 -1 0,43,15,14,5,0,4,2,1,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-01.pcd 0.0208342 0.00111445 0.000424923 1 8 1 -1 350526 93 210 -1 -1 93 210 -1 -1 350433,39,26,12,7,4,2,1,2 -1 0,39,26,12,7,4,2,1,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-12.pcd 0.0246345 0.000645971 0.000363767 1 34 13 -1 380358 83 210 -1 -1 83 210 -1 -1 380275,35,19,16,3,4,0,2,2,0,0,0,1,0,0,1 -1 0,35,19,16,3,4,0,2,2,0,0,0,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-28.pcd 0.0224737 0.000606507 0.000526623 1 11 1 -1 385152 81 210 -1 -1 81 210 -1 -1 385071,36,13,11,8,4,4,4,0,0,0,1 -1 0,36,13,11,8,4,4,4,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-03-46.pcd 0.017137 0.000607279 0.000464619 1 63 16 -1 375144 84 210 -1 -1 84 210 -1 -1 375060,35,21,9,4,6,7,0,0,2 -1 0,35,21,9,4,6,7,0,0,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-21.pcd 0.0187798 0.000655816 0.000620963 1 65 27 -1 411840 83 210 -1 -1 83 210 -1 -1 411757,30,18,20,4,5,0,5,1 -1 0,30,18,20,4,5,0,5,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-36.pcd 0.0215584 0.000965678 0.000368475 1 47 16 -1 357984 80 210 -1 -1 80 210 -1 -1 357904,27,26,11,7,1,3,1,2,0,1,0,0,0,1 -1 0,27,26,11,7,1,3,1,2,0,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-49.pcd 0.0176122 0.000622728 0.000668334 1 15 1 -1 396627 104 210 -1 -1 104 210 -1 -1 396523,57,24,13,3,2,1,1,2,0,0,0,0,0,0,1 -1 0,57,24,13,3,2,1,1,2,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_susan_2015-05-22_06-04-55.pcd 0.0206748 0.000560216 0.000516286 1 11 1 -1 393294 84 210 -1 -1 84 210 -1 -1 393210,38,22,6,7,1,3,3,1,1,1,1 -1 0,38,22,6,7,1,3,3,1,1,1,1 -1
