obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shot_susan_2015-05-26_15-07-39.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/dt0,02_mp8000_pp0,001',
  subdirs: 4, target_features: '/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__45545: 'http://tycho:45545/'}
rosversion: '1.11.10

  '
run_id: 6e49db22-08b5-11e5-b0fa-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-22_05-05-12.pcd 0.103276 0.00199877 0.00120141 1 14 12 -1 367488 179 210 -1 -1 179 210 -1 -1 367309,158,14,4,3 -1 0,158,14,4,3 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-22_05-05-26.pcd 0.103181 0.000661137 0.00122984 2 17,17 16,16 -1 405768 188 210 -1 -1 188 210 -1 -1 405580,171,13,3,1 -1 0,171,13,3,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-22_05-05-46.pcd 0.094102 0.000596859 0.00103198 1 4 1 -1 350526 186 210 -1 -1 186 210 -1 -1 350340,168,13,4,1 -1 0,168,13,4,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-22_05-06-06.pcd 0.102498 0.000636001 0.00120176 1 12 12 -1 380358 184 210 -1 -1 184 210 -1 -1 380174,163,19,1,0,0,1 -1 0,163,19,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-30.pcd 0.103945 0.0011727 0.00120121 1 16 14 -1 385152 187 210 -1 -1 187 210 -1 -1 384965,167,19,0,0,1 -1 0,167,19,0,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-22_05-06-52.pcd 0.0897814 0.000981788 0.00112478 1 15 15 -1 375144 182 210 -1 -1 182 210 -1 -1 374962,159,20,2,0,1 -1 0,159,20,2,0,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-07.pcd 0.111307 0.00173375 0.00111003 2 15,14 14,12 -1 411840 194 210 -1 -1 194 210 -1 -1 411646,179,14,1 -1 0,179,14,1 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-16.pcd 0.11796 0.00140558 0.00122585 1 3 1 -1 357984 184 210 -1 -1 184 210 -1 -1 357800,164,14,6 -1 0,164,14,6 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-22_05-07-25.pcd 0.0479438 0.000701579 0.000746017 1 41 36 -1 396627 179 210 -1 -1 179 210 -1 -1 396448,155,19,3,2 -1 0,155,19,3,2 -1
/media/michal/Pauli/masterdata/processed/paramtest/dt0,02_mp8000_pp0,001/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-22_05-07-43.pcd 0.0892068 0.000646049 0.00115327 1 14 13 -1 393294 182 210 -1 -1 182 210 -1 -1 393112,159,19,3,1 -1 0,159,19,3,1 -1
