obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<shotcolor_susan_2015-05-26_15-08-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__33785: 'http://tycho:33785/', host_tycho__41204: 'http://tycho:41204/',
    host_tycho__41441: 'http://tycho:41441/', host_tycho__59376: 'http://tycho:59376/'}
rosversion: '1.11.10

  '
run_id: 48a3e648-06f7-11e5-9ecc-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-10.pcd 0.0288201 0.00283573 0.000220352 1 2 1 0 382800 19 20 3 3 19 20 3 3 382781,18,1 0,3,0 0,18,1 0,3,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-11.pcd 0.0345558 0.000523021 0.000143879 1 2 1 1 409596 19 20 5 6 19 20 5 6 409577,18,1 0,4,1 0,18,1 0,4,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-12.pcd 0.0289898 0.000591877 0.000133679 1 2 1 0 365442 19 20 3 3 19 20 3 3 365423,18,1 0,3,0 0,18,1 0,3,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-13.pcd 0.0298545 0.0008974 0.000164092 1 2 1 0 380358 18 20 4 4 18 20 4 4 380340,16,2 0,4,0 0,16,2 0,4,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-14.pcd 0.0313846 0.00102988 0.000156741 1 2 1 0 389961 19 20 2 2 19 20 2 2 389942,18,1 0,2,0 0,18,1 0,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-15.pcd 0.0267936 0.000566738 0.000156237 1 2 1 0 367488 19 20 0 0 19 20 0 0 367469,18,1 0,0,0 0,18,1 0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-16.pcd 0.03478 0.000911475 0.000163093 1 1 1 0 415800 20 20 2 2 20 20 2 2 415780,20 0,2 0,20 0,2
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-18.pcd 0.0273009 0.000887284 0.00016784 1 1 1 0 384087 20 20 2 2 20 20 2 2 384067,20 0,2 0,20 0,2
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.0136631 0.00100645 0.000145477 1 1 1 -1 400554 20 20 -1 -1 20 20 -1 -1 400534,20 -1 0,20 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.0243651 0.000570766 0.000158242 1 2 1 1 381376 19 20 1 2 19 20 1 2 381357,18,1 0,0,1 0,18,1 0,0,1
