obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/backpack2/features/rgb_0003_label_backpack2<fpfh_uniform_2015-05-26_14-46-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35636: 'http://tycho:35636/'}
rosversion: '1.11.10

  '
run_id: 341f5f56-06f5-11e5-95b8-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-13.pcd 0.0349067 0.00213563 0.00233077 9 96,72,58,43,38,38,36,30,25 44,39,30,20,23,20,31,18,14 0,0,0,0,0,0,0,0,0 449955 912 1260 26 44 400 748 12 30 449043,682,163,43,11,8,2,0,2,0,0,1 0,14,6,6,0,0,0,0,0,0,0,0 0,170,163,43,11,8,2,0,2,0,0,1 0,0,6,6,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-20.pcd 0.0390564 0.000796341 0.00282353 10 110,101,51,50,47,25,24,24,19,14 44,43,22,26,22,18,16,15,15,12 0,0,0,0,0,0,0,0,0,0 424446 889 1260 21 38 400 771 10 27 423557,670,150,39,11,7,2,4,4,0,1,0,1 0,11,6,2,1,1,0,0,0,0,0,0,0 0,181,150,39,11,7,2,4,4,0,1,0,1 0,0,6,2,1,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-28.pcd 0.0420591 0.000878858 0.00183027 10 164,65,45,40,39,25,23,22,17,17 65,33,28,28,28,17,13,17,13,13 0,0,0,0,0,0,0,0,0,0 445269 920 1260 15 21 400 740 3 9 444349,693,159,42,16,6,0,3,1 0,12,1,1,1,0,0,0,0 0,173,159,42,16,6,0,3,1 0,0,1,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-37.pcd 0.0349103 0.000775049 0.0017036 6 144,64,60,42,15,14 62,36,37,23,12,12 0,0,0,0,0,0 461736 935 1260 16 22 400 725 4 10 460801,729,142,35,14,8,4,2,1 0,12,3,0,1,0,0,0,0 0,194,142,35,14,8,4,2,1 0,0,3,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-46.pcd 0.0344103 0.00110732 0.00169225 6 141,70,64,37,24,18 54,33,51,29,14,16 0,0,0,0,0,0 404481 940 1260 17 22 400 720 6 11 403541,720,165,28,15,7,4,1 0,12,5,0,0,0,0,0 0,180,165,28,15,7,4,1 0,1,5,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-55.pcd 0.0427874 0.000887968 0.00277603 8 106,94,87,57,28,22,20,20 39,51,30,38,16,17,16,16 0,0,0,0,0,0,0,0 424710 878 1260 19 26 400 782 5 12 423832,661,134,43,26,5,2,3,1,0,2,0,1 0,15,2,1,1,0,0,0,0,0,0,0,0 0,183,134,43,26,5,2,3,1,0,2,0,1 0,1,2,1,1,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-08.pcd 0.0434934 0.000985022 0.00270711 6 152,104,36,28,17,17 59,51,17,17,13,13 0,0,0,0,0,0 456456 845 1260 21 40 400 815 11 30 455611,598,160,50,21,4,3,5,1,3 0,10,5,4,2,0,0,0,0,0 0,153,160,50,21,4,3,5,1,3 0,0,5,4,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-19.pcd 0.0485789 0.000810453 0.00273862 8 113,71,70,33,32,30,20,16 42,53,34,19,27,14,15,13 0,0,0,0,0,0,0,0 449592 916 1260 17 22 400 744 5 10 448676,702,143,42,18,4,1,2,2,2 0,12,5,0,0,0,0,0,0,0 0,186,143,42,18,4,1,2,2,2 0,0,5,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-31.pcd 0.0384514 0.000875276 0.001731 10 65,59,57,55,31,30,25,25,24,16 36,24,16,25,20,19,20,12,16,12 -1 451044 875 1260 -1 -1 400 785 -1 -1 450169,630,168,48,13,9,2,3,0,1,0,1 -1 0,155,168,48,13,9,2,3,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-41.pcd 0.0358349 0.000910747 0.0021056 6 108,91,66,66,60,17 46,41,41,37,39,13 0,0,0,0,0,0 451044 895 1260 15 22 400 765 4 11 450149,663,166,36,12,7,6,2,3 0,11,3,0,0,1,0,0,0 0,168,166,36,12,7,6,2,3 0,0,3,0,0,1,0,0,0
