obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<fpfh_iss_2015-05-26_14-59-37.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47322: 'http://tycho:47322/'}
rosversion: '1.11.10

  '
run_id: 93e4b846-06e6-11e5-82d0-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-47-10.pcd 0.017853 0.00205702 0.00215661 8 257,173,151,118,69,55,48,44 76,38,35,42,20,16,13,17 0,0,0,1,0,0,0,0 386100 822 1760 85 179 400 1338 46 140 385278,465,153,67,51,28,16,15,12,10,1,1,3 0,47,19,4,7,3,1,1,1,2,0,0,0 0,43,153,67,51,28,16,15,12,10,1,1,3 0,8,19,4,7,3,1,1,1,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-17_17-47-20.pcd 0.0165878 0.00158663 0.00192987 6 297,255,121,111,62,52 75,72,35,34,15,26 0,0,0,1,0,0 413127 801 1760 57 134 400 1359 34 111 412326,447,137,79,58,26,18,13,6,6,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1 0,24,13,9,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,46,137,79,58,26,18,13,6,6,6,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1 0,1,13,9,6,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-17_17-47-28.pcd 0.0177674 0.000751339 0.00187123 6 281,201,166,76,71,46 77,55,36,20,20,16 1,0,0,0,0,0 400554 790 1760 73 234 400 1370 50 211 399764,427,164,68,45,25,18,12,9,9,4,4,2,0,2,1 0,26,15,8,8,4,1,2,5,1,1,1,1,0,0,0 0,37,164,68,45,25,18,12,9,9,4,4,2,0,2,1 0,3,15,8,8,4,1,2,5,1,1,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-17_17-47-37.pcd 0.0167635 0.00117027 0.0019479 6 279,194,163,141,114,36 81,51,45,44,33,14 0,0,0,0,0,0 382336 838 1760 30 55 400 1322 14 39 381498,475,167,74,45,30,8,13,9,5,4,3,1,2,1,0,0,0,1 0,17,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0 0,37,167,74,45,30,8,13,9,5,4,3,1,2,1,0,0,0,1 0,1,7,2,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-47-46.pcd 0.0169987 0.000783681 0.00192131 5 312,190,140,112,76 83,64,46,34,21 0,1,0,0,0 393822 810 1760 61 164 400 1350 37 140 393012,466,133,70,55,30,14,19,9,2,3,2,3,3,1 0,29,9,8,4,1,6,1,2,0,0,0,0,1,0 0,56,133,70,55,30,14,19,9,2,3,2,3,3,1 0,5,9,8,4,1,6,1,2,0,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-47-53.pcd 0.0150103 0.000758973 0.00229508 11 232,190,137,130,109,78,69,57,52,39,23 62,58,35,30,27,19,15,18,18,12,12 0,0,1,0,0,0,0,0,0,0,0 375705 775 1760 55 155 400 1385 34 134 374930,407,144,91,51,26,20,7,7,5,7,4,4,2 0,24,9,8,5,2,2,1,0,1,2,1,0,0 0,32,144,91,51,26,20,7,7,5,7,4,4,2 0,3,9,8,5,2,2,1,0,1,2,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-01.pcd 0.0158532 0.000757195 0.00189767 8 279,190,119,100,88,66,41,31 73,39,29,22,15,15,12,16 0,0,0,0,0,0,0,0 408408 705 1760 9 27 400 1455 5 23 407703,363,132,69,50,30,8,12,7,14,3,5,4,0,0,2,4,1,1 0,4,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0 0,58,132,69,50,30,8,12,7,14,3,5,4,0,0,2,4,1,1 0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-08.pcd 0.0165617 0.000760466 0.00187955 9 195,186,123,100,77,60,45,37,31 45,44,27,31,19,21,13,12,15 0,0,0,0,0,0,0,0,0 404976 722 1760 6 22 400 1438 3 19 404254,360,145,69,51,31,23,14,10,6,2,2,2,2,0,2,1,1,0,1 0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0 0,38,145,69,51,31,23,14,10,6,2,2,2,2,0,2,1,1,0,1 0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-48-15.pcd 0.0163948 0.000769898 0.00193451 10 233,204,177,97,67,56,50,42,40,36 40,45,38,28,13,12,17,13,19,20 -1 391680 700 1760 -1 -1 400 1460 -1 -1 390980,361,126,64,38,40,26,14,7,5,4,3,2,1,3,2,3,0,1 -1 0,61,126,64,38,40,26,14,7,5,4,3,2,1,3,2,3,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-23.pcd 0.0150066 0.00101839 0.00228819 9 246,179,141,106,70,53,52,47,44 83,42,38,28,15,13,13,13,15 1,0,0,0,0,0,0,0,0 378972 718 1760 64 193 400 1442 48 177 378254,374,114,79,54,34,18,12,10,11,1,2,4,0,1,1,1,1,0,0,0,0,1 0,22,16,12,4,2,3,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0 0,56,114,79,54,34,18,12,10,11,1,2,4,0,1,1,1,1,0,0,0,0,1 0,6,16,12,4,2,3,0,2,0,0,0,1,0,0,1,1,0,0,0,0,0,0
