obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shot_iss_2015-05-26_14-58-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__48537: 'http://tycho:48537/'}
rosversion: '1.11.10

  '
run_id: 0e87599a-06e3-11e5-8097-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-17_15-24-24.pcd 0.75983 0.00234697 0.00379588 5 390,175,100,63,41 125,51,37,24,14 0,0,1,0,0 386100 1001 1760 84 147 400 1159 37 100 385099,617,190,102,48,19,11,10,3,0,1 0,52,13,11,5,2,1,0,0,0,0 0,16,190,102,48,19,11,10,3,0,1 0,5,13,11,5,2,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-17_15-24-41.pcd 0.687245 0.000721119 0.00212081 6 403,112,95,45,41,32 130,39,37,15,15,14 0,0,1,0,0,0 413127 1078 1760 76 133 400 1082 36 93 412049,709,206,89,34,17,14,7,0,2 0,43,20,7,3,1,2,0,0,0 0,31,206,89,34,17,14,7,0,2 0,3,20,7,3,1,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-17_15-24-48.pcd 0.713911 0.00081081 0.00220659 7 246,233,160,88,56,33,29 79,62,51,21,24,13,13 1,0,0,0,0,0,0 400554 972 1760 95 228 400 1188 58 191 399582,592,198,90,42,16,14,6,6,4,2,0,2 0,39,20,19,9,1,3,1,1,2,0,0,0 0,20,198,90,42,16,14,6,6,4,2,0,2 0,2,20,19,9,1,3,1,1,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-17_15-25-07.pcd 0.678141 0.000765351 0.00242402 4 342,249,128,44 116,82,50,18 0,0,0,0 382336 1071 1760 32 59 400 1089 14 41 381265,694,219,80,38,24,8,4,1,0,1,2 0,18,8,3,2,0,0,0,1,0,0,0 0,23,219,80,38,24,8,4,1,0,1,2 0,0,8,3,2,0,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-17_15-25-27.pcd 0.814219 0.00124664 0.00327333 7 437,133,133,43,38,29,26 128,49,46,13,13,14,13 0,1,0,0,0,0,0 393822 1038 1760 75 148 400 1122 41 114 392784,666,214,73,34,20,17,9,2,2,0,0,1 0,38,20,7,5,2,2,1,0,0,0,0,0 0,28,214,73,34,20,17,9,2,2,0,0,1 0,4,20,7,5,2,2,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-17_15-25-45.pcd 0.759184 0.00073134 0.00310144 4 367,242,77,33 119,82,29,14 0,0,1,0 375705 1049 1760 59 100 400 1111 25 66 374656,658,216,95,47,16,10,0,6,1 0,34,14,8,2,0,1,0,0,0 0,9,216,95,47,16,10,0,6,1 0,0,14,8,2,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-04.pcd 0.646184 0.000768736 0.00294013 7 275,266,109,84,61,52,37 65,61,29,29,20,18,14 0,0,0,0,0,0,0 408408 894 1760 15 26 400 1266 8 19 407514,522,190,65,47,21,16,15,7,5,1,3,1,1 0,7,5,3,0,0,0,0,0,0,0,0,0,0 0,28,190,65,47,21,16,15,7,5,1,3,1,1 0,0,5,3,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-19.pcd 0.669034 0.000782533 0.00306456 7 262,189,130,89,68,60,42 60,49,36,21,25,22,12 0,0,0,0,0,0,0 404976 895 1760 16 35 400 1265 8 27 404081,528,177,75,44,23,14,12,12,7,1,0,1,1 0,8,3,2,2,0,0,1,0,0,0,0,0,0 0,33,177,75,44,23,14,12,12,7,1,0,1,1 0,0,3,2,2,0,0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-17_15-26-33.pcd 0.783015 0.000808552 0.00325106 8 230,216,188,131,48,42,33,28 56,60,52,54,18,15,13,13 -1 391680 958 1760 -1 -1 400 1202 -1 -1 390722,602,181,72,37,31,13,6,5,1,5,2,3 -1 0,44,181,72,37,31,13,6,5,1,5,2,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-51.pcd 0.667089 0.000761753 0.00200382 7 237,213,209,93,86,26,25 63,54,55,29,28,12,14 1,0,0,0,0,0,0 378972 910 1760 76 213 400 1250 47 184 378062,553,172,68,47,27,15,6,9,4,5,3,0,1 0,33,18,5,6,5,1,1,3,1,1,1,0,1 0,43,172,68,47,27,15,6,9,4,5,3,0,1 0,4,18,5,6,5,1,1,3,1,1,1,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_iss_2015-05-17_15-27-07.pcd 0.713478 0.00118804 0.00313579 5 331,228,66,37,36 109,77,27,15,13 0,0,1,0,0 420420 1061 1760 49 91 400 1099 28 70 419359,675,222,90,38,18,7,6,2,2,0,1 0,23,15,8,1,2,0,0,0,0,0,0 0,14,222,90,38,18,7,6,2,2,0,1 0,2,15,8,1,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_iss_2015-05-17_15-27-23.pcd 0.823683 0.000836024 0.00338313 8 421,161,57,49,42,39,34,26 135,45,16,22,16,13,18,14 0,0,1,0,0,0,0,0 418077 1026 1760 44 99 400 1134 26 81 417051,644,211,86,35,21,17,8,3,1 0,18,12,6,4,1,3,0,0,0 0,18,211,86,35,21,17,8,3,1 0,0,12,6,4,1,3,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_iss_2015-05-17_15-27-42.pcd 0.614693 0.000766336 0.00304841 7 337,289,96,81,65,45,42 86,71,34,24,32,13,17 0,0,0,0,0,1,0 401082 905 1760 14 56 400 1255 10 52 400177,550,174,62,53,20,16,6,9,7,3,2,2,0,0,1 0,4,3,0,3,0,1,1,0,1,0,0,1,0,0,0 0,45,174,62,53,20,16,6,9,7,3,2,2,0,0,1 0,0,3,0,3,0,1,1,0,1,0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_iss_2015-05-17_15-27-55.pcd 0.684664 0.00123409 0.00331604 7 405,249,64,62,33,31,27 122,61,24,19,14,12,12 0,0,0,0,0,0,0 393294 942 1760 17 46 400 1218 9 38 392352,571,188,83,39,25,11,9,1,7,5,3 0,8,3,0,2,3,0,0,0,1,0,0 0,29,188,83,39,25,11,9,1,7,5,3 0,0,3,0,2,3,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_iss_2015-05-17_15-28-01.pcd 0.713083 0.00110539 0.00229536 6 244,217,92,84,80,68 60,59,31,19,31,23 0,0,0,1,0,0 411840 917 1760 22 80 400 1243 17 75 410923,557,162,79,51,25,21,7,7,4,2,1,0,0,0,1 0,5,5,2,3,1,3,2,0,0,1,0,0,0,0,0 0,40,162,79,51,25,21,7,7,4,2,1,0,0,0,1 0,0,5,2,3,1,3,2,0,0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_iss_2015-05-17_15-28-17.pcd 0.769183 0.00147915 0.00213634 3 441,191,159 145,68,54 0,0,1 397188 1059 1760 84 175 400 1101 47 138 396129,660,247,81,29,21,10,7,3,1 0,37,27,9,4,4,2,0,0,1 0,1,247,81,29,21,10,7,3,1 0,0,27,9,4,4,2,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_iss_2015-05-17_15-28-36.pcd 0.730151 0.00107032 0.00240353 6 450,196,65,62,46,29 158,61,26,19,18,12 0,0,0,1,0,0 428340 1061 1760 33 69 400 1099 16 52 427279,672,226,85,48,12,8,6,1,1,1,0,1 0,17,11,1,1,0,1,0,1,1,0,0,0 0,11,226,85,48,12,8,6,1,1,1,0,1 0,0,11,1,1,0,1,0,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_iss_2015-05-17_15-28-52.pcd 0.825635 0.00155833 0.00213765 5 299,277,91,29,27 105,95,36,15,12 0,0,1,0,0 394284 1126 1760 74 125 400 1034 34 85 393158,752,226,82,37,18,7,3,0,1 0,43,21,6,1,1,1,1,0,0 0,26,226,82,37,18,7,3,0,1 0,3,21,6,1,1,1,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_iss_2015-05-17_15-29-12.pcd 0.706251 0.000828063 0.00333761 5 286,263,125,42,36 96,96,41,16,13 0,0,1,0,0 408408 1077 1760 80 166 400 1083 42 128 407331,702,210,90,40,17,10,3,3,2 0,40,17,11,7,2,1,1,1,0 0,25,210,90,40,17,10,3,3,2 0,2,17,11,7,2,1,1,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_iss_2015-05-17_15-29-30.pcd 0.857983 0.00081099 0.00334239 5 348,315,101,33,26 114,108,32,12,12 0,0,1,0,0 388416 1050 1760 66 132 400 1110 32 98 387366,665,226,81,38,19,8,8,1,2,1,0,0,1 0,37,13,7,4,2,1,1,0,1,0,0,0,0 0,15,226,81,38,19,8,8,1,2,1,0,0,1 0,3,13,7,4,2,1,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_iss_2015-05-17_15-29-38.pcd 0.770211 0.000824538 0.00315478 5 326,255,99,71,33 111,84,39,25,22 0,0,0,1,0 401082 1088 1760 53 95 400 1072 22 64 399994,723,205,91,30,22,8,1,5,1,2 0,32,12,3,3,2,0,0,1,0,0 0,35,205,91,30,22,8,1,5,1,2 0,1,12,3,3,2,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_iss_2015-05-17_15-29-55.pcd 0.662459 0.00078402 0.00314912 6 419,152,123,72,55,39 116,47,41,27,23,15 0,0,1,0,0,0 404481 968 1760 71 137 400 1192 38 104 403513,594,195,78,43,26,15,3,6,4,1,2,0,1 0,34,24,4,5,2,1,1,0,0,0,0,0,0 0,26,195,78,43,26,15,3,6,4,1,2,0,1 0,1,24,4,5,2,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_iss_2015-05-17_15-30-11.pcd 0.664213 0.000808709 0.0033269 8 267,261,135,57,52,41,36,36 65,63,47,22,21,16,18,14 0,0,1,0,0,0,0,0 397188 932 1760 70 146 400 1228 41 117 396256,555,192,82,41,25,10,8,11,4,1,2,0,0,1 0,32,18,11,4,2,2,1,0,0,0,0,0,0,0 0,23,192,82,41,25,10,8,11,4,1,2,0,0,1 0,3,18,11,4,2,2,1,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-17_15-30-16.pcd 0.627717 0.000770398 0.00358576 7 314,268,115,66,64,64,50 89,66,34,24,22,15,20 0,0,1,0,0,0,0 405768 907 1760 49 119 400 1253 31 101 404861,527,187,86,46,18,20,6,6,4,3,1,0,2,1 0,20,11,10,3,1,2,0,1,0,1,0,0,0,0 0,20,187,86,46,18,20,6,6,4,3,1,0,2,1 0,2,11,10,3,1,2,0,1,0,1,0,0,0,0
