obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<fpfh_sift_2015-05-26_15-11-24.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__51984: 'http://tycho:51984/'}
rosversion: '1.11.10

  '
run_id: 876589bc-06e9-11e5-b486-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-30.pcd 0.000269976 0.000837795 0.000292121 1 4 1 0 434511 114 170 11 18 114 170 11 18 434397,75,26,9,4 0,6,3,2,0 0,75,26,9,4 0,6,3,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_sift_2015-05-18_17-15-31.pcd 0.000511722 0.00127575 0.000499568 1 4 1 0 424446 119 170 3 3 119 170 3 3 424327,82,27,6,4 0,3,0,0,0 0,82,27,6,4 0,3,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_sift_2015-05-18_17-15-33.pcd 0.000516773 0.000622196 0.000535242 1 4 1 0 437580 121 170 11 17 121 170 11 17 437459,81,32,7,1 0,7,2,2,0 0,81,32,7,1 0,7,2,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_sift_2015-05-18_17-15-35.pcd 0.000519847 0.000585253 0.00059876 1 19 12 0 458238 126 170 8 11 126 170 8 11 458112,87,34,5 0,6,1,1 0,87,34,5 0,6,1,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-38.pcd 0.000467405 0.00192161 0.000502168 1 4 1 0 385152 120 170 5 7 120 170 5 7 385032,83,26,9,2 0,3,2,0,0 0,83,26,9,2 0,3,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-39.pcd 0.000635109 0.000538661 0.000675852 1 3 1 0 407680 125 170 4 8 125 170 4 8 407555,90,25,10 0,2,0,2 0,90,25,10 0,2,0,2
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-41.pcd 0.000575467 0.000572687 0.000628337 1 4 1 0 442624 116 170 2 3 116 170 2 3 442508,79,25,7,5 0,1,1,0,0 0,79,25,7,5 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-42.pcd 0.000904659 0.000548757 0.000591165 1 5 1 0 437580 110 170 4 8 110 170 4 8 437470,71,25,8,5,1 0,2,0,2,0,0 0,71,25,8,5,1 0,2,0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-43.pcd 0.000567428 0.000562234 0.000651289 1 5 1 -1 451044 119 170 -1 -1 119 170 -1 -1 450925,85,23,6,4,1 -1 0,85,23,6,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-45.pcd 0.000608826 0.000544948 0.000629042 1 4 1 1 437778 116 170 5 9 116 170 5 9 437662,79,24,9,4 0,3,1,0,1 0,79,24,9,4 0,3,1,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_sift_2015-05-18_17-15-46.pcd 0.000610944 0.000571294 0.000631921 1 5 1 0 404250 113 170 6 9 113 170 6 9 404137,71,31,8,2,1 0,3,3,0,0,0 0,71,31,8,2,1 0,3,3,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_sift_2015-05-18_17-15-47.pcd 0.000604403 0.000562865 0.000617062 1 4 1 0 465663 116 170 6 9 116 170 6 9 465547,77,27,9,3 0,3,3,0,0 0,77,27,9,3 0,3,3,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-50.pcd 0.000589138 0.00162751 0.000625621 1 4 1 0 453024 111 170 2 3 111 170 2 3 452913,71,26,9,5 0,1,1,0,0 0,71,26,9,5 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-51.pcd 0.00051214 0.000539305 0.00072107 1 6 1 0 416928 113 170 2 3 113 170 2 3 416815,78,23,6,4,0,2 0,1,1,0,0,0,0 0,78,23,6,4,0,2 0,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-53.pcd 0.000502936 0.000626834 0.000721417 1 7 1 0 410432 115 170 1 1 115 170 1 1 410317,76,30,5,3,0,0,1 0,1,0,0,0,0,0,0 0,76,30,5,3,0,0,1 0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_sift_2015-05-18_17-15-54.pcd 0.000521311 0.000563273 0.000570529 1 4 1 0 377600 126 170 8 14 126 170 8 14 377474,93,24,7,2 0,4,2,2,0 0,93,24,7,2 0,4,2,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-56.pcd 0.000484571 0.000660038 0.000480475 1 4 1 0 454656 125 170 3 6 125 170 3 6 454531,92,24,6,3 0,2,0,0,1 0,92,24,6,3 0,2,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-57.pcd 0.000471101 0.000611802 0.000503016 1 4 1 0 517902 122 170 4 6 122 170 4 6 517780,84,31,4,3 0,3,0,1,0 0,84,31,4,3 0,3,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-59.pcd 0.00055182 0.00142556 0.00056509 1 4 1 0 407880 122 170 6 10 122 170 6 10 407758,85,28,7,2 0,3,2,1,0 0,85,28,7,2 0,3,2,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-16-02.pcd 0.000487131 0.000967512 0.000448075 1 4 1 0 431776 120 170 5 7 120 170 5 7 431656,81,29,9,1 0,3,2,0,0 0,81,29,9,1 0,3,2,0,0
