obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfhrgb_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<pfhrgb_sift_2015-05-26_15-12-25.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__46671: 'http://tycho:46671/'}
rosversion: '1.11.10

  '
run_id: af6f3da4-06e9-11e5-a342-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-02.pcd 0.00296034 0.00167205 0.000637785 1 5 1 1 434511 101 170 5 13 101 170 5 13 434410,58,24,13,5,1 0,2,0,2,0,1 0,58,24,13,5,1 0,2,0,2,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-03.pcd 0.00339072 0.00192108 0.000588453 1 6 1 0 424446 104 170 4 11 104 170 4 11 424342,64,25,7,6,1,1 0,1,1,0,2,0,0 0,64,25,7,6,1,1 0,1,1,0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-04.pcd 0.00208829 0.000638924 0.000389786 1 6 1 0 437580 94 170 4 9 94 170 4 9 437486,51,26,8,5,1,3 0,3,0,0,0,0,1 0,51,26,8,5,1,3 0,3,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-05.pcd 0.00262227 0.000973275 0.00036484 1 6 1 0 458238 98 170 4 10 98 170 4 10 458140,54,31,3,6,3,1 0,1,2,0,0,1,0 0,54,31,3,6,3,1 0,1,2,0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-06.pcd 0.00224452 0.000944343 0.000378495 1 6 1 0 385152 105 170 4 8 105 170 4 8 385047,61,29,11,3,0,1 0,2,1,0,1,0,0 0,61,29,11,3,0,1 0,2,1,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-07.pcd 0.00231282 0.000991537 0.00053974 1 4 1 0 407680 98 170 6 13 98 170 6 13 407582,50,31,10,7 0,1,3,2,0 0,50,31,10,7 0,1,3,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-08.pcd 0.00242868 0.000985292 0.000387187 1 7 1 0 442624 89 170 1 1 89 170 1 1 442535,45,23,10,9,0,1,1 0,1,0,0,0,0,0,0 0,45,23,10,9,0,1,1 0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-12.pcd 0.00207871 0.00103076 0.000561299 1 8 1 0 437580 95 170 3 4 95 170 3 4 437485,50,32,6,2,2,2,0,1 0,2,1,0,0,0,0,0,0 0,50,32,6,2,2,2,0,1 0,2,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-12.pcd 0.00198027 0.00053978 0.000399482 1 5 1 -1 451044 102 170 -1 -1 102 170 -1 -1 450942,60,26,8,6,2 -1 0,60,26,8,6,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-13.pcd 0.00283402 0.000544336 0.000521796 1 6 1 0 437778 98 170 4 11 98 170 4 11 437680,54,27,10,4,2,1 0,1,1,0,2,0,0 0,54,27,10,4,2,1 0,1,1,0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-14.pcd 0.00341922 0.00111972 0.000458819 1 6 1 0 404250 87 170 7 25 87 170 7 25 404163,41,27,8,6,3,2 0,1,1,1,2,1,1 0,41,27,8,6,3,2 0,1,1,1,2,1,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-15.pcd 0.00317413 0.00108366 0.000504222 1 7 1 1 465663 97 170 6 21 97 170 6 21 465566,49,34,7,5,1,0,1 0,2,0,0,3,0,0,1 0,49,34,7,5,1,0,1 0,2,0,0,3,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-17.pcd 0.00323594 0.000610042 0.000562635 1 7 1 0 453024 90 170 2 4 90 170 2 4 452934,41,32,9,5,1,1,1 0,1,0,1,0,0,0,0 0,41,32,9,5,1,1,1 0,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-19.pcd 0.00302766 0.000525374 0.000609384 1 5 1 0 416928 104 170 3 3 104 170 3 3 416824,57,35,6,5,1 0,3,0,0,0,0 0,57,35,6,5,1 0,3,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-19.pcd 0.00271615 0.000501711 0.000598426 1 5 1 0 410432 101 170 2 2 101 170 2 2 410331,54,34,6,5,2 0,2,0,0,0,0 0,54,34,6,5,2 0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-20.pcd 0.0032878 0.0012908 0.000557122 1 4 1 0 377600 103 170 7 15 103 170 7 15 377497,54,34,12,3 0,1,4,2,0 0,54,34,12,3 0,1,4,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-21.pcd 0.00331783 0.00126229 0.000561078 1 5 1 0 454656 95 170 3 7 95 170 3 7 454561,52,26,7,5,5 0,0,2,1,0,0 0,52,26,7,5,5 0,0,2,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-22.pcd 0.00307578 0.000619758 0.000597911 1 4 1 0 517902 102 170 5 12 102 170 5 12 517800,55,31,11,5 0,1,1,3,0 0,55,31,11,5 0,1,1,3,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-23.pcd 0.00314018 0.00104555 0.000590124 1 5 1 0 407880 98 170 8 12 98 170 8 12 407782,50,33,8,5,2 0,4,4,0,0,0 0,50,33,8,5,2 0,4,4,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-24.pcd 0.00223701 0.000533403 0.000556226 1 6 1 0 431776 104 170 5 11 104 170 5 11 431672,63,28,5,5,2,1 0,2,1,1,1,0,0 0,63,28,5,5,2,1 0,2,1,1,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-25.pcd 0.00219021 0.000400056 0.00061759 1 5 1 1 415800 100 170 8 20 100 170 8 20 415700,59,24,7,8,2 0,4,0,1,2,1 0,59,24,7,8,2 0,4,0,1,2,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-26.pcd 0.00270233 0.000542546 0.000347029 1 9 1 0 392700 94 170 5 19 94 170 5 19 392606,54,22,11,3,2,0,0,1,1 0,0,0,2,2,1,0,0,0,0 0,54,22,11,3,2,0,0,1,1 0,0,0,2,2,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-28.pcd 0.00211299 0.000479209 0.00043818 1 8 1 0 399300 99 170 7 13 99 170 7 13 399201,57,29,6,4,1,0,0,2 0,2,4,1,0,0,0,0,0 0,57,29,6,4,1,0,0,2 0,2,4,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-31.pcd 0.00268199 0.000709107 0.000399683 1 8 1 0 454740 84 170 4 9 84 170 4 9 454656,37,26,10,8,1,1,0,1 0,1,1,2,0,0,0,0,0 0,37,26,10,8,1,1,0,1 0,1,1,2,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-32.pcd 0.00220596 0.000559149 0.000418595 1 6 1 0 421443 98 170 4 6 98 170 4 6 421345,54,27,10,4,2,1 0,2,2,0,0,0,0 0,54,27,10,4,2,1 0,2,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-33.pcd 0.00349655 0.000797193 0.000499208 1 6 1 0 443289 91 170 4 5 91 170 4 5 443198,47,25,7,9,2,1 0,3,1,0,0,0,0 0,47,25,7,9,2,1 0,3,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-34.pcd 0.00260874 0.000848252 0.000685243 1 5 1 0 429957 103 170 8 19 103 170 8 19 429854,61,27,6,8,1 0,2,3,1,2,0 0,61,27,6,8,1 0,2,3,1,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-35.pcd 0.00314642 0.00113455 0.000444491 1 7 1 0 411279 94 170 1 6 94 170 1 6 411185,51,25,12,1,2,2,1 0,0,0,0,0,0,1,0 0,51,25,12,1,2,2,1 0,0,0,0,0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-35.pcd 0.00241737 0.000440428 0.000578921 1 8 1 0 408408 103 170 5 14 103 170 5 14 408305,62,30,3,4,3,0,0,1 0,2,0,1,1,1,0,0,0 0,62,30,3,4,3,0,0,1 0,2,0,1,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-36.pcd 0.00174329 0.00183781 0.000340765 1 8 1 0 384846 97 170 4 7 97 170 4 7 384749,56,27,7,3,0,2,1,1 0,3,0,0,1,0,0,0,0 0,56,27,7,3,0,2,1,1 0,3,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-37.pcd 0.00238233 0.000601884 0.000660423 1 6 1 0 430122 100 170 5 10 100 170 5 10 430022,56,30,6,5,2,1 0,2,1,2,0,0,0 0,56,30,6,5,2,1 0,2,1,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-38.pcd 0.00212857 0.000596852 0.000566604 1 5 1 0 402112 104 170 3 4 104 170 3 4 402008,62,27,7,7,1 0,2,1,0,0,0 0,62,27,7,7,1 0,2,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-39.pcd 0.00298837 0.000624922 0.00044024 1 8 1 0 438900 98 170 4 6 98 170 4 6 438802,52,33,9,1,1,0,0,2 0,2,2,0,0,0,0,0,0 0,52,33,9,1,1,0,0,2 0,2,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-40.pcd 0.00208569 0.00166975 0.000428064 1 6 1 0 402600 100 170 3 6 100 170 3 6 402500,60,25,5,6,3,1 0,2,0,0,1,0,0 0,60,25,5,6,3,1 0,2,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-41.pcd 0.00268433 0.000467215 0.000394119 1 5 1 0 392700 99 170 6 18 99 170 6 18 392601,56,28,5,7,3 0,1,2,0,2,1 0,56,28,5,7,3 0,1,2,0,2,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-42.pcd 0.00307927 0.00243393 0.000396505 1 6 1 0 449526 101 170 5 10 101 170 5 10 449425,57,31,5,5,2,1 0,2,2,0,1,0,0 0,57,31,5,5,2,1 0,2,2,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-43.pcd 0.00213433 0.00068419 0.000401854 1 5 1 1 427977 97 170 7 20 97 170 7 20 427880,52,28,8,7,2 0,1,2,2,1,1 0,52,28,8,7,2 0,1,2,2,1,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-43.pcd 0.00203727 0.000878122 0.000354376 1 7 1 0 786240 90 170 3 7 90 170 3 7 786150,49,25,6,3,3,2,2 0,2,0,0,0,1,0,0 0,49,25,6,3,3,2,2 0,2,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-44.pcd 0.0020532 0.000617329 0.000373734 1 6 1 0 411840 89 170 5 15 89 170 5 15 411751,46,24,8,6,2,3 0,1,1,1,1,1,0 0,46,24,8,6,2,3 0,1,1,1,1,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-45.pcd 0.00280265 0.000609046 0.000417252 1 6 1 1 420224 96 170 6 11 96 170 6 11 420128,52,28,7,5,3,1 0,5,0,0,0,0,1 0,52,28,7,5,3,1 0,5,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_59/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-46.pcd 0.00251513 0.000635283 0.000630114 1 4 1 0 434511 98 170 6 10 98 170 6 10 434413,54,25,10,9 0,3,2,1,0 0,54,25,10,9 0,3,2,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_61/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-47.pcd 0.00291644 0.000647076 0.000625908 1 5 1 0 397782 98 170 7 9 98 170 7 9 397684,55,24,10,8,1 0,5,2,0,0,0 0,55,24,10,8,1 0,5,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_63/room_3/features/nonPlanes<pfhrgb_sift_2015-05-18_17-38-47.pcd 0.00281944 0.000516788 0.000561178 1 6 1 0 393723 102 170 5 6 102 170 5 6 393621,59,30,5,5,2,1 0,4,1,0,0,0,0 0,59,30,5,5,2,1 0,4,1,0,0,0,0
