obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<fpfh_susan_2015-05-26_15-08-42.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__47375: 'http://tycho:47375/'}
rosversion: '1.11.10

  '
run_id: b4e14a08-06e8-11e5-ae66-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_susan_2015-05-18_15-49-47.pcd 0.00151934 0.00183147 0.000557386 1 5 1 0 382800 98 160 10 14 98 160 10 14 382702,57,29,5,5,2 0,8,1,0,1,0 0,57,29,5,5,2 0,8,1,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_susan_2015-05-18_15-49-53.pcd 0.0017711 0.00162437 0.00039727 1 5 1 0 409596 95 160 7 14 95 160 7 14 409501,52,27,11,4,1 0,3,1,3,0,0 0,52,27,11,4,1 0,3,1,3,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_susan_2015-05-18_15-50-00.pcd 0.00246574 0.000521505 0.000535079 1 13 1 0 365442 92 160 10 18 92 160 10 18 365350,54,25,7,3,2,0,0,0,0,0,0,0,1 0,4,4,2,0,0,0,0,0,0,0,0,0,0 0,54,25,7,3,2,0,0,0,0,0,0,0,1 0,4,4,2,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_susan_2015-05-18_15-50-11.pcd 0.00242232 0.000530837 0.00063426 1 33 15 0 380358 94 160 5 7 94 160 5 7 380264,56,26,4,6,1,0,0,0,0,0,1 0,3,2,0,0,0,0,0,0,0,0,0 0,56,26,4,6,1,0,0,0,0,0,1 0,3,2,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-50-23.pcd 0.00251219 0.000556136 0.000570889 1 25 18 0 389961 98 160 6 17 98 160 6 17 389863,64,20,5,7,1,0,0,1 0,2,0,2,1,1,0,0,0 0,64,20,5,7,1,0,0,1 0,2,0,2,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-50-31.pcd 0.00240334 0.000580218 0.000623535 1 27 14 0 367488 96 160 5 11 96 160 5 11 367392,60,27,3,3,0,1,0,0,1,1 0,3,1,0,0,0,1,0,0,0,0 0,60,27,3,3,0,1,0,0,1,1 0,3,1,0,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-50-39.pcd 0.00139868 0.00118823 0.000362863 1 6 1 0 415800 87 160 0 0 87 160 0 0 415713,47,23,8,4,3,2 0,0,0,0,0,0,0 0,47,23,8,4,3,2 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-50-45.pcd 0.00168724 0.000543508 0.000613854 1 5 1 0 384087 100 160 1 2 100 160 1 2 383987,60,28,7,2,3 0,0,1,0,0,0 0,60,28,7,2,3 0,0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_susan_2015-05-18_15-51-00.pcd 0.00131051 0.000498252 0.000491083 1 32 12 -1 400554 83 160 -1 -1 83 160 -1 -1 400471,41,25,10,3,2,1,0,0,0,0,1 -1 0,41,25,10,3,2,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-51-07.pcd 0.0020025 0.0009566 0.000356574 1 8 1 0 381376 91 160 4 7 91 160 4 7 381285,56,17,12,2,1,1,1,1 0,3,0,0,1,0,0,0,0 0,56,17,12,2,1,1,1,1 0,3,0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_susan_2015-05-18_15-51-16.pcd 0.00194943 0.000575684 0.000597146 1 6 1 0 378972 93 160 2 5 93 160 2 5 378879,56,21,8,4,2,2 0,0,1,1,0,0,0 0,56,21,8,4,2,2 0,0,1,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_susan_2015-05-18_15-51-34.pcd 0.00175482 0.00104094 0.000356809 1 7 1 0 392040 92 160 1 1 92 160 1 1 391948,58,18,7,4,2,2,1 0,1,0,0,0,0,0,0 0,58,18,7,4,2,2,1 0,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-51-49.pcd 0.00167748 0.00096502 0.000402349 1 18 13 0 401082 93 160 0 0 93 160 0 0 400989,54,26,6,4,2,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0 0,54,26,6,4,2,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-51-58.pcd 0.00138866 0.00059582 0.00048099 1 8 1 0 389961 86 160 0 0 86 160 0 0 389875,43,31,6,1,0,3,1,1 0,0,0,0,0,0,0,0,0 0,43,31,6,1,0,3,1,1 0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_susan_2015-05-18_15-52-08.pcd 0.00228786 0.000529887 0.000541764 1 6 1 0 396032 98 160 0 0 98 160 0 0 395934,61,25,6,1,3,2 0,0,0,0,0,0,0 0,61,25,6,1,3,2 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_susan_2015-05-18_15-52-20.pcd 0.00254148 0.000544009 0.000561001 1 46 18 0 378624 96 160 5 7 96 160 5 7 378528,59,22,10,3,0,0,1,1 0,3,2,0,0,0,0,0,0 0,59,22,10,3,0,0,1,1 0,3,2,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-52-28.pcd 0.00216006 0.000743053 0.000566093 1 6 1 0 420849 101 160 1 1 101 160 1 1 420748,65,21,9,5,0,1 0,1,0,0,0,0,0 0,65,21,9,5,0,1 0,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-52-35.pcd 0.00257912 0.000578842 0.0005299 1 7 1 0 398112 99 160 6 7 99 160 6 7 398013,59,28,6,5,0,0,1 0,5,1,0,0,0,0,0 0,59,28,6,5,0,0,1 0,5,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_susan_2015-05-18_15-52-46.pcd 0.00209097 0.00211095 0.000432236 1 10 1 0 376064 89 160 10 19 89 160 10 19 375975,50,25,6,4,2,1,0,0,0,1 0,5,2,2,1,0,0,0,0,0,0 0,50,25,6,4,2,1,0,0,0,1 0,5,2,2,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_susan_2015-05-18_15-52-58.pcd 0.00158938 0.000561592 0.00041049 1 5 1 0 361984 95 160 8 16 95 160 8 16 361889,55,25,8,4,3 0,3,3,1,1,0 0,55,25,8,4,3 0,3,3,1,1,0
