obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/chair1/features/rgb_0015_label_chair1<shotcolor_susan_2015-05-26_15-08-17.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39091: 'http://tycho:39091/'}
rosversion: '1.11.10

  '
run_id: 16789236-06e8-11e5-9e59-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-10.pcd 0.16477 0.0016957 0.000417202 1 16 1 1 382800 77 140 10 33 77 140 10 33 382723,48,18,4,3,2,1,0,0,0,0,0,0,0,0,0,1 0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1 0,48,18,4,3,2,1,0,0,0,0,0,0,0,0,0,1 0,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-11.pcd 0.169091 0.000977341 0.000649517 1 42 19 0 409596 83 140 3 9 83 140 3 9 409513,60,9,5,2,4,2,1 0,2,0,0,0,0,0,1 0,60,9,5,2,4,2,1 0,2,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-12.pcd 0.153881 0.000617549 0.000405535 1 6 1 0 365442 91 140 18 34 91 140 18 34 365351,63,15,8,3,1,1 0,8,7,1,1,1,0 0,63,15,8,3,1,1 0,8,7,1,1,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-13.pcd 0.178928 0.000535671 0.000356631 1 11 1 0 380358 80 140 1 1 80 140 1 1 380278,57,11,3,3,2,2,1,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0 0,57,11,3,3,2,2,1,0,0,0,1 0,1,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-14.pcd 0.171685 0.000579162 0.000367403 1 30 14 0 389961 83 140 10 13 83 140 10 13 389878,54,19,5,0,3,1,0,0,0,0,0,1 0,7,3,0,0,0,0,0,0,0,0,0,0 0,54,19,5,0,3,1,0,0,0,0,0,1 0,7,3,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-15.pcd 0.20076 0.000589185 0.000494543 1 27 17 0 367488 79 140 7 15 79 140 7 15 367409,49,17,4,5,1,2,0,1 0,5,0,0,1,0,1,0,0 0,49,17,4,5,1,2,0,1 0,5,0,0,1,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-16.pcd 0.160763 0.00109837 0.000427592 2 21,16 12,14 0,0 415800 86 140 3 4 86 140 3 4 415714,64,10,4,3,1,1,3 0,2,1,0,0,0,0,0 0,64,10,4,3,1,1,3 0,2,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-18.pcd 0.186762 0.000558913 0.000470175 1 8 1 0 384087 83 140 2 2 83 140 2 2 384004,59,15,1,0,4,1,2,1 0,2,0,0,0,0,0,0,0 0,59,15,1,0,4,1,2,1 0,2,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.0744777 0.000696928 0.00040724 1 9 1 -1 400554 81 140 -1 -1 81 140 -1 -1 400473,58,11,2,2,5,2,0,0,1 -1 0,58,11,2,2,5,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.139415 0.000968858 0.00045042 1 32 13 0 381376 83 140 6 10 83 140 6 10 381293,56,11,9,3,1,3 0,3,2,1,0,0,0 0,56,11,9,3,1,3 0,3,2,1,0,0,0
