obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_iss_2015-05-26_14-58-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38100: 'http://tycho:38100/', host_tycho__40034: 'http://tycho:40034/'}
rosversion: '1.11.10

  '
run_id: f8179c06-0700-11e5-b419-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-07.pcd 2.03672 0.00127878 0.00229251 6 343,38,36,35,25,16 188,21,18,20,20,12 -1 386100 489 750 -1 -1 400 661 -1 -1 385611,334,93,34,16,8,4 -1 0,245,93,34,16,8,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-08.pcd 2.55885 0.0006932 0.00238226 6 204,70,62,54,45,33 109,44,32,28,27,18 -1 413127 492 750 -1 -1 400 658 -1 -1 412635,338,92,36,18,4,1,2,1 -1 0,246,92,36,18,4,1,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-09.pcd 2.60965 0.000700938 0.0031925 6 172,90,89,80,36,18 88,46,44,54,20,14 0,0,0,0,0,0 400554 477 750 8 8 400 673 8 8 400077,314,103,29,19,9,1,0,2 0,8,0,0,0,0,0,0,0 0,237,103,29,19,9,1,0,2 0,8,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-10.pcd 2.57283 0.000614415 0.00355847 4 409,52,24,19 217,34,20,13 0,0,0,0 382336 487 750 27 42 400 663 23 38 381849,328,98,38,8,12,1,2 0,16,7,4,0,0,0,0 0,241,98,38,8,12,1,2 0,12,7,4,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-11.pcd 2.06184 0.000743853 0.00195124 9 155,72,71,64,44,26,25,18,18 82,49,40,38,19,18,16,16,12 -1 393822 490 750 -1 -1 400 660 -1 -1 393332,353,72,38,15,5,4,0,0,1,1,1 -1 0,263,72,38,15,5,4,0,0,1,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-12.pcd 2.09169 0.00119902 0.00194386 7 325,55,43,42,36,29,20 140,33,31,26,16,17,12 0,0,0,0,0,0,0 375705 434 750 28 57 400 716 28 57 375271,284,70,39,23,6,4,5,0,2,1 0,14,4,6,3,1,0,0,0,0,0 0,250,70,39,23,6,4,5,0,2,1 0,14,4,6,3,1,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 1.83685 0.00151872 0.00292225 6 347,93,35,24,20,14 160,49,24,17,14,12 0,0,0,0,0,0 408408 458 750 27 41 400 692 26 40 407950,302,84,39,15,12,2,2,1,1 0,17,8,1,0,1,0,0,0,0 0,244,84,39,15,12,2,2,1,1 0,16,8,1,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 2.02912 0.000667555 0.00232504 7 135,131,77,71,46,22,16 48,71,39,23,30,16,15 0,0,0,0,0,0,0 404976 420 750 17 32 400 730 17 32 404556,265,71,41,26,6,2,5,1,1,0,2 0,9,4,2,1,1,0,0,0,0,0,0 0,245,71,41,26,6,2,5,1,1,0,2 0,9,4,2,1,1,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-15.pcd 2.04785 0.00156326 0.00248307 3 469,168,77 150,94,47 -1 391680 320 750 -1 -1 320 750 -1 -1 391360,173,59,28,18,15,7,8,2,3,1,2,1,1,1,0,1 -1 0,173,59,28,18,15,7,8,2,3,1,2,1,1,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-16.pcd 1.9146 0.00121786 0.00193417 8 268,75,48,45,42,41,34,18 119,34,28,27,28,25,24,13 0,0,0,0,0,0,0,0 378972 432 750 19 40 400 718 19 40 378540,276,80,33,18,16,5,1,2,0,1 0,9,4,2,3,1,0,0,0,0,0 0,244,80,33,18,16,5,1,2,0,1 0,9,4,2,3,1,0,0,0,0,0
