obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shot_sift_2015-05-26_15-10-09.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37712: 'http://tycho:37712/', host_tycho__58358: 'http://tycho:58358/'}
rosversion: '1.11.10

  '
run_id: 878fb864-0706-11e5-950c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_sift_2015-05-17_16-26-09.pcd 0.00551139 0.00221972 0.000388095 1 3 1 -1 434511 51 80 -1 -1 51 80 -1 -1 434460,25,23,3 -1 0,25,23,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_sift_2015-05-17_16-26-13.pcd 0.00890115 0.00170194 0.000319501 1 3 1 -1 424446 50 80 -1 -1 50 80 -1 -1 424396,26,18,6 -1 0,26,18,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_sift_2015-05-17_16-26-16.pcd 0.00686231 0.00127965 0.000353441 1 4 1 0 437580 57 80 0 0 57 80 0 0 437523,38,16,2,1 0,0,0,0,0 0,38,16,2,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_sift_2015-05-17_16-26-17.pcd 0.00547107 0.00140781 0.000362514 1 6 1 0 458238 55 80 0 0 55 80 0 0 458183,35,18,1,0,0,1 0,0,0,0,0,0,0 0,35,18,1,0,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-19.pcd 0.00750168 0.00109024 0.000331227 1 5 1 -1 385152 49 80 -1 -1 49 80 -1 -1 385103,24,21,3,0,1 -1 0,24,21,3,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-22.pcd 0.00399185 0.000966109 0.000205426 1 4 1 0 407680 48 80 1 1 48 80 1 1 407632,22,21,4,1 0,1,0,0,0 0,22,21,4,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-25.pcd 0.00505111 0.00120787 0.000239666 1 4 1 0 442624 46 80 0 0 46 80 0 0 442578,20,19,6,1 0,0,0,0,0 0,20,19,6,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-28.pcd 0.0057022 0.000929299 0.000355292 1 3 1 0 437580 51 80 0 0 51 80 0 0 437529,26,21,4 0,0,0,0 0,26,21,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_sift_2015-05-17_16-26-31.pcd 0.004629 0.00146043 0.000347344 1 4 1 -1 451044 48 80 -1 -1 48 80 -1 -1 450996,22,21,4,1 -1 0,22,21,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-35.pcd 0.00486393 0.0010773 0.000360594 1 4 1 0 437778 49 80 1 2 49 80 1 2 437729,24,20,4,1 0,0,1,0,0 0,24,20,4,1 0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_sift_2015-05-17_16-26-37.pcd 0.00537429 0.00169172 0.000354233 1 5 1 0 404250 52 80 0 0 52 80 0 0 404198,31,17,2,1,1 0,0,0,0,0,0 0,31,17,2,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_sift_2015-05-17_16-26-40.pcd 0.00695931 0.00178845 0.000223848 1 4 1 0 465663 50 80 0 0 50 80 0 0 465613,25,21,3,1 0,0,0,0,0 0,25,21,3,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-45.pcd 0.00633269 0.00176951 0.000309558 1 3 1 0 453024 48 80 1 1 48 80 1 1 452976,24,16,8 0,1,0,0 0,24,16,8 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-47.pcd 0.00400328 0.000954059 0.000327285 1 4 1 0 416928 51 80 0 0 51 80 0 0 416877,27,20,3,1 0,0,0,0,0 0,27,20,3,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_sift_2015-05-17_16-26-50.pcd 0.00579096 0.000523814 0.000339649 1 3 1 0 410432 52 80 0 0 52 80 0 0 410380,28,20,4 0,0,0,0 0,28,20,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_sift_2015-05-17_16-26-53.pcd 0.00695809 0.00128503 0.000329366 1 3 1 0 377600 50 80 1 2 50 80 1 2 377550,22,26,2 0,0,1,0 0,22,26,2 0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_sift_2015-05-17_16-26-57.pcd 0.00709778 0.000722369 0.000353009 1 3 1 0 454656 54 80 0 0 54 80 0 0 454602,33,16,5 0,0,0,0 0,33,16,5 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-00.pcd 0.00334916 0.0011516 0.000368518 1 3 1 0 517902 57 80 0 0 57 80 0 0 517845,35,21,1 0,0,0,0 0,35,21,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-04.pcd 0.00824022 0.00167066 0.000355902 1 3 1 -1 407880 49 80 -1 -1 49 80 -1 -1 407831,23,21,5 -1 0,23,21,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shot_sift_2015-05-17_16-27-08.pcd 0.00289604 0.000670788 0.000158578 1 4 1 -1 431776 52 80 -1 -1 52 80 -1 -1 431724,29,19,3,1 -1 0,29,19,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-12.pcd 0.00679683 0.00054018 0.000328541 1 3 1 -1 415800 51 80 -1 -1 51 80 -1 -1 415749,27,19,5 -1 0,27,19,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-15.pcd 0.00316083 0.000790147 0.000335715 1 6 1 -1 392700 50 80 -1 -1 50 80 -1 -1 392650,28,17,4,0,0,1 -1 0,28,17,4,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shot_sift_2015-05-17_16-27-18.pcd 0.00522588 0.000518187 0.000327516 1 4 1 -1 399300 49 80 -1 -1 49 80 -1 -1 399251,24,20,4,1 -1 0,24,20,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-21.pcd 0.00463684 0.000565778 0.000298983 1 6 1 -1 454740 48 80 -1 -1 48 80 -1 -1 454692,24,20,2,1,0,1 -1 0,24,20,2,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-24.pcd 0.00537013 0.000883987 0.000335426 1 3 1 -1 421443 51 80 -1 -1 51 80 -1 -1 421392,23,27,1 -1 0,23,27,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shot_sift_2015-05-17_16-27-26.pcd 0.00541894 0.00111087 0.000314205 1 6 1 -1 443289 47 80 -1 -1 47 80 -1 -1 443242,23,18,5,0,0,1 -1 0,23,18,5,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shot_sift_2015-05-17_16-27-29.pcd 0.00593749 0.00056656 0.000262452 1 3 1 -1 429957 51 80 -1 -1 51 80 -1 -1 429906,25,23,3 -1 0,25,23,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-33.pcd 0.00464544 0.000530472 0.000315445 1 6 1 -1 411279 48 80 -1 -1 48 80 -1 -1 411231,22,23,2,0,0,1 -1 0,22,23,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-36.pcd 0.00500013 0.000909821 0.000214349 1 3 1 -1 408408 51 80 -1 -1 51 80 -1 -1 408357,25,23,3 -1 0,25,23,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shot_sift_2015-05-17_16-27-40.pcd 0.0036591 0.000565544 0.000287919 1 5 1 -1 384846 49 80 -1 -1 49 80 -1 -1 384797,30,11,5,2,1 -1 0,30,11,5,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-44.pcd 0.00570654 0.00115701 0.000327575 1 4 1 -1 430122 52 80 -1 -1 52 80 -1 -1 430070,32,13,6,1 -1 0,32,13,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<shot_sift_2015-05-17_16-27-48.pcd 0.00556554 0.00139315 0.000331671 1 3 1 -1 402112 51 80 -1 -1 51 80 -1 -1 402061,28,17,6 -1 0,28,17,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<shot_sift_2015-05-17_16-27-51.pcd 0.00606461 0.000788457 0.000299362 1 3 1 -1 438900 53 80 -1 -1 53 80 -1 -1 438847,31,17,5 -1 0,31,17,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<shot_sift_2015-05-17_16-27-55.pcd 0.00540359 0.000570165 0.000291611 1 4 1 -1 402600 46 80 -1 -1 46 80 -1 -1 402554,21,17,7,1 -1 0,21,17,7,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<shot_sift_2015-05-17_16-27-59.pcd 0.0062771 0.000615922 0.000327706 1 6 1 -1 392700 49 80 -1 -1 49 80 -1 -1 392651,26,18,4,0,0,1 -1 0,26,18,4,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<shot_sift_2015-05-17_16-28-03.pcd 0.00759358 0.000538319 0.000326309 1 4 1 -1 449526 48 80 -1 -1 48 80 -1 -1 449478,24,17,6,1 -1 0,24,17,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<shot_sift_2015-05-17_16-28-05.pcd 0.00532307 0.000870675 0.000323396 1 3 1 0 427977 51 80 0 0 51 80 0 0 427926,28,17,6 0,0,0,0 0,28,17,6 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<shot_sift_2015-05-17_16-28-08.pcd 0.00560906 0.00172739 0.000281311 1 4 1 0 786240 48 80 0 0 48 80 0 0 786192,24,18,4,2 0,0,0,0,0 0,24,18,4,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<shot_sift_2015-05-17_16-28-12.pcd 0.00515559 0.000537441 0.000322207 1 3 1 0 411840 49 80 1 3 49 80 1 3 411791,22,23,4 0,0,0,1 0,22,23,4 0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<shot_sift_2015-05-17_16-28-15.pcd 0.00577983 0.00124778 0.000300314 1 4 1 0 420224 49 80 0 0 49 80 0 0 420175,25,19,3,2 0,0,0,0,0 0,25,19,3,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_59/room_3/features/nonPlanes<shot_sift_2015-05-18_14-20-21.pcd 0.00523837 0.000548857 0.000320115 1 5 1 -1 434511 49 80 -1 -1 49 80 -1 -1 434462,27,16,4,1,1 -1 0,27,16,4,1,1 -1
