obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_sift_2015-05-26_15-10-42.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37712: 'http://tycho:37712/', host_tycho__39677: 'http://tycho:39677/',
    host_tycho__58358: 'http://tycho:58358/'}
rosversion: '1.11.10

  '
run_id: 878fb864-0706-11e5-950c-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-02.pcd 0.0151703 0.00183164 0.00037975 1 4 1 -1 434511 52 80 -1 -1 52 80 -1 -1 434459,29,19,3,1 -1 0,29,19,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-03.pcd 0.0177868 0.00104853 0.000409053 1 4 1 -1 424446 55 80 -1 -1 55 80 -1 -1 424391,36,14,4,1 -1 0,36,14,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-04.pcd 0.0244502 0.000706086 0.000337568 1 3 1 0 437580 56 80 0 0 56 80 0 0 437524,35,18,3 0,0,0,0 0,35,18,3 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-04.pcd 0.0162803 0.00061925 0.000216728 1 3 1 0 458238 53 80 2 3 53 80 2 3 458185,29,21,3 0,1,1,0 0,29,21,3 0,1,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-05.pcd 0.0172959 0.000501159 0.000307888 1 5 1 -1 385152 51 80 -1 -1 51 80 -1 -1 385101,30,15,5,0,1 -1 0,30,15,5,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-06.pcd 0.0175125 0.00104198 0.000247802 1 3 1 0 407680 56 80 2 2 56 80 2 2 407624,37,14,5 0,2,0,0 0,37,14,5 0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-06.pcd 0.0172103 0.00110818 0.000252102 1 4 1 0 442624 48 80 1 1 48 80 1 1 442576,25,16,5,2 0,1,0,0,0 0,25,16,5,2 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-07.pcd 0.0176377 0.00101712 0.000424725 1 3 1 0 437580 53 80 0 0 53 80 0 0 437527,29,21,3 0,0,0,0 0,29,21,3 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-08.pcd 0.0135802 0.000771478 0.000346501 1 3 1 -1 451044 51 80 -1 -1 51 80 -1 -1 450993,28,17,6 -1 0,28,17,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-08.pcd 0.0169039 0.00082265 0.000193398 1 4 1 0 437778 46 80 1 1 46 80 1 1 437732,21,17,7,1 0,1,0,0,0 0,21,17,7,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-09.pcd 0.0175054 0.00100996 0.000274919 1 9 1 0 404250 53 80 0 0 53 80 0 0 404197,33,19,0,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0 0,33,19,0,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-10.pcd 0.015924 0.00120302 0.000232347 1 4 1 0 465663 50 80 1 1 50 80 1 1 465613,27,17,5,1 0,1,0,0,0 0,27,17,5,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-10.pcd 0.0132002 0.000639683 0.000257588 1 4 1 0 453024 47 80 2 4 47 80 2 4 452977,23,16,7,1 0,1,0,1,0 0,23,16,7,1 0,1,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-11.pcd 0.0177157 0.000927482 0.00029287 1 6 1 0 416928 49 80 0 0 49 80 0 0 416879,27,18,2,0,1,1 0,0,0,0,0,0,0 0,27,18,2,0,1,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-11.pcd 0.0157598 0.000781865 0.000371542 1 4 1 0 410432 53 80 0 0 53 80 0 0 410379,30,20,2,1 0,0,0,0,0 0,30,20,2,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-12.pcd 0.0146495 0.000492232 0.000227285 1 3 1 0 377600 55 80 1 3 55 80 1 3 377545,35,15,5 0,0,0,1 0,35,15,5 0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-12.pcd 0.0146871 0.000837748 0.000216564 1 4 1 0 454656 54 80 0 0 54 80 0 0 454602,33,17,3,1 0,0,0,0,0 0,33,17,3,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-13.pcd 0.0157189 0.00076048 0.000205583 1 6 1 0 517902 54 80 0 0 54 80 0 0 517848,34,17,2,0,0,1 0,0,0,0,0,0,0 0,34,17,2,0,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-14.pcd 0.0144332 0.00039925 0.000138924 1 20 12 -1 407880 52 80 -1 -1 52 80 -1 -1 407828,28,20,4 -1 0,28,20,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-15.pcd 0.0178739 0.000609634 0.000319019 1 4 1 -1 431776 53 80 -1 -1 53 80 -1 -1 431723,30,20,2,1 -1 0,30,20,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-15.pcd 0.01644 0.000568491 0.000338557 1 4 1 -1 415800 57 80 -1 -1 57 80 -1 -1 415743,38,16,2,1 -1 0,38,16,2,1 -1
