obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_susan, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shot_susan_2015-05-26_15-07-30.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38104: 'http://tycho:38104/', host_tycho__58309: 'http://tycho:58309/'}
rosversion: '1.11.10

  '
run_id: bbf77972-0704-11e5-b18e-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_susan_2015-05-17_16-10-25.pcd 0.100234 0.00173388 0.00129981 5 28,26,21,20,16 18,26,16,15,13 -1 382800 258 320 -1 -1 258 320 -1 -1 382542,218,28,6,4,0,2 -1 0,218,28,6,4,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_susan_2015-05-17_16-10-38.pcd 0.093069 0.000727057 0.00105828 4 38,21,20,18 21,17,17,16 -1 409596 256 320 -1 -1 256 320 -1 -1 409340,210,36,6,3,0,0,0,1 -1 0,210,36,6,3,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_susan_2015-05-17_16-10-52.pcd 0.0847639 0.0008271 0.0013318 3 22,17,17 17,16,12 0,0,0 365442 259 320 0 0 259 320 0 0 365183,211,38,8,1,1 0,0,0,0,0,0 0,211,38,8,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_susan_2015-05-17_16-11-06.pcd 0.140954 0.000560343 0.00158579 3 38,20,19 22,15,12 0,0,0 380358 242 320 0 0 242 320 0 0 380116,183,47,7,4,0,1 0,0,0,0,0,0,0 0,183,47,7,4,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_susan_2015-05-17_16-11-19.pcd 0.128102 0.000571742 0.00151893 5 33,26,18,15,13 23,21,12,13,12 -1 389961 248 320 -1 -1 248 320 -1 -1 389713,198,38,5,5,1,1 -1 0,198,38,5,5,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_susan_2015-05-17_16-11-33.pcd 0.122285 0.000942028 0.00151767 4 24,21,16,15 19,16,14,12 0,0,0,0 367488 254 320 0 0 254 320 0 0 367234,208,33,8,3,2 0,0,0,0,0,0 0,208,33,8,3,2 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_susan_2015-05-17_16-11-38.pcd 0.0478367 0.000372848 0.000644652 5 36,34,29,22,19 28,29,19,14,19 0,0,0,0,0 415800 255 320 2 2 255 320 2 2 415545,204,39,10,2 0,2,0,0,0 0,204,39,10,2 0,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_susan_2015-05-17_16-11-50.pcd 0.0867083 0.00105748 0.000422304 5 23,23,21,21,20 18,17,18,17,14 0,0,0,0,0 384087 244 320 0 0 244 320 0 0 383843,190,40,8,4,2 0,0,0,0,0,0 0,190,40,8,4,2 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_susan_2015-05-17_16-12-02.pcd 0.058596 0.000606999 0.00137202 6 44,36,35,33,20,19 34,23,22,14,12,12 -1 400554 222 320 -1 -1 222 320 -1 -1 400332,161,37,16,5,2,0,1 -1 0,161,37,16,5,2,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_susan_2015-05-17_16-12-12.pcd 0.080784 0.000534488 0.00168199 5 27,23,22,22,19 18,16,17,17,16 0,0,0,0,0 381376 244 320 0 0 244 320 0 0 381132,193,35,10,3,3 0,0,0,0,0,0 0,193,35,10,3,3 0,0,0,0,0,0
