obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/hanger_jacket/features/rgb_0002_label_hanger_jacket<shotcolor_susan_2015-05-26_15-08-12.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37278: 'http://tycho:37278/', host_tycho__44315: 'http://tycho:44315/'}
rosversion: '1.11.10

  '
run_id: 314a5b22-0705-11e5-871a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-10.pcd 0.389732 0.00187338 0.00130588 5 71,55,38,38,23 23,25,20,12,14 -1 382800 164 320 -1 -1 164 320 -1 -1 382636,96,31,15,12,3,1,2,2,2 -1 0,96,31,15,12,3,1,2,2,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-11.pcd 0.359321 0.000535473 0.000811107 4 70,51,28,26 30,35,16,15 -1 409596 188 320 -1 -1 188 320 -1 -1 409408,121,36,17,7,1,3,1,0,2 -1 0,121,36,17,7,1,3,1,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-12.pcd 0.345205 0.000593047 0.00077568 4 92,67,48,13 48,22,18,12 0,0,0,0 365442 170 320 0 0 170 320 0 0 365272,100,36,17,8,4,2,1,0,0,0,1,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,100,36,17,8,4,2,1,0,0,0,1,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-13.pcd 0.342726 0.000227289 0.000344448 2 116,79 41,33 0,0 380358 167 320 0 0 167 320 0 0 380191,109,23,13,8,3,3,4,3,1 0,0,0,0,0,0,0,0,0,0 0,109,23,13,8,3,3,4,3,1 0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-14.pcd 0.418336 0.000596258 0.000907246 4 115,62,24,24 56,31,13,12 -1 389961 182 320 -1 -1 182 320 -1 -1 389779,114,37,16,3,6,3,1,1,1 -1 0,114,37,16,3,6,3,1,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-15.pcd 0.408181 0.000828426 0.00106037 3 62,42,27 18,18,14 0,0,0 367488 169 320 1 2 169 320 1 2 367319,108,29,16,7,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,108,29,16,7,3,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1 0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-16.pcd 0.365659 0.000635853 0.000704202 3 114,44,25 40,19,15 0,0,0 415800 162 320 1 3 162 320 1 3 415638,95,39,6,10,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,95,39,6,10,6,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,1 0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-18.pcd 0.316837 0.000606477 0.000693184 3 108,61,45 29,28,24 0,0,0 384087 158 320 0 0 158 320 0 0 383929,93,28,13,13,2,2,2,2,2,1 0,0,0,0,0,0,0,0,0,0,0 0,93,28,13,13,2,2,2,2,2,1 0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.17689 0.000685429 0.000600387 2 201,50 56,29 -1 400554 121 320 -1 -1 121 320 -1 -1 400433,58,27,9,8,6,2,1,5,2,1,0,1,0,0,0,0,0,0,0,1 -1 0,58,27,9,8,6,2,1,5,2,1,0,1,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.343063 0.00060263 0.000272157 3 53,43,19 20,14,16 0,0,0 381376 157 320 0 0 157 320 0 0 381219,97,25,13,4,7,5,3,1,1,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0,97,25,13,4,7,5,3,1,1,0,0,0,0,0,1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-20.pcd 0.392707 0.000604506 0.00081981 4 85,66,38,35 51,37,14,18 0,0,0,0 378972 185 320 0 0 185 320 0 0 378787,116,40,7,13,5,2,2 0,0,0,0,0,0,0,0 0,116,40,7,13,5,2,2 0,0,0,0,0,0,0,0
