obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/laptop1/features/rgb_0012_label_laptop1<shot_uniform_2015-05-26_14-45-48.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__42988: 'http://tycho:42988/'}
rosversion: '1.11.10

  '
run_id: 9e832f80-088a-11e5-ae98-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-55-10.pcd 1.744 0.00289041 0.00350789 8 115,75,73,70,67,48,42,20 62,41,26,47,38,34,36,18 0,0,0,0,0,0,0,0 449955 996 1280 6 7 400 684 1 2 448959,792,140,51,11,1,1 0,5,1,0,0,0,0 0,196,140,51,11,1,1 0,0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-17_10-55-09.pcd 1.87084 0.000687521 0.0030816 8 99,90,71,50,35,26,22,18 71,58,40,32,13,12,12,15 0,0,0,0,0,0,0,0 424446 1018 1280 25 32 400 662 5 12 423428,816,154,38,8,2 0,20,3,2,0,0 0,198,154,38,8,2 0,0,3,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-19.pcd 1.65698 0.000924976 0.00285378 6 149,81,39,38,29,22 104,50,17,24,26,17 -1 445269 1047 1280 -1 -1 400 633 -1 -1 444222,871,131,37,5,2,1 -1 0,224,131,37,5,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-17_10-56-01.pcd 1.83977 0.000901076 0.00300947 5 127,74,71,69,53 81,56,32,45,32 -1 461736 1021 1280 -1 -1 400 659 -1 -1 460715,834,135,36,12,4 -1 0,213,135,36,12,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-00.pcd 1.65753 0.000889368 0.00185443 7 124,86,79,60,39,20,20 92,46,62,35,16,17,16 0,0,0,0,0,0,0 404481 1078 1280 30 34 400 602 4 8 403403,922,120,28,6,2 0,26,4,0,0,0 0,244,120,28,6,2 0,0,4,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-07.pcd 1.60539 0.000879713 0.00298976 8 108,103,71,59,57,30,23,12 62,54,44,38,30,19,18,12 0,0,0,0,0,0,0,0 424710 1000 1280 13 18 400 680 2 7 423710,803,135,48,9,3,2 0,11,1,0,0,1,0 0,203,135,48,9,3,2 0,0,1,0,0,1,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-09.pcd 1.62312 0.000908552 0.00187862 7 147,107,70,61,28,24,16 88,47,46,33,14,13,13 0,0,0,0,0,0,0 456456 941 1280 10 16 400 739 4 10 455515,716,149,47,23,4,1,1 0,6,2,2,0,0,0,0 0,175,149,47,23,4,1,1 0,0,2,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-08.pcd 1.63375 0.00106238 0.00310602 8 66,63,58,56,50,45,37,29 46,43,21,43,36,20,23,18 -1 449592 1038 1280 -1 -1 400 642 -1 -1 448554,861,128,38,7,3,1 -1 0,223,128,38,7,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-17_10-56-10.pcd 1.64928 0.000807407 0.00297036 6 146,112,65,41,33,20 92,65,32,20,30,17 -1 451044 980 1280 -1 -1 400 700 -1 -1 450064,769,144,50,12,5 -1 0,189,144,50,12,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-17_10-56-23.pcd 1.54804 0.000885633 0.00313434 7 82,81,70,61,61,52,18 50,43,33,44,33,34,12 0,0,0,0,0,0,0 451044 983 1280 19 26 400 697 7 14 450061,776,149,42,7,5,2,1,1 0,12,7,0,0,0,0,0,0 0,193,149,42,7,5,2,1,1 0,0,7,0,0,0,0,0,0
