obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<fpfh_iss_2015-05-26_14-59-04.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__38453: 'http://tycho:38453/', host_tycho__40210: 'http://tycho:40210/',
    host_tycho__42191: 'http://tycho:42191/'}
rosversion: '1.11.10

  '
run_id: 38d91d24-0719-11e5-9c81-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-47-10.pcd 0.00913554 0.0022347 0.00290756 8 156,153,58,58,54,46,35,22 61,61,32,29,35,25,21,15 -1 386100 419 770 -1 -1 400 751 -1 -1 385681,245,95,26,29,12,9,1,1,0,0,0,1 -1 0,226,95,26,29,12,9,1,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_iss_2015-05-17_17-47-20.pcd 0.0048324 0.00129286 0.00267994 8 145,109,85,59,53,40,39,37 58,54,45,38,25,22,15,22 -1 413127 399 770 -1 -1 399 770 -1 -1 412728,248,66,29,23,17,7,3,1,2,1,1,0,0,0,0,1 -1 0,248,66,29,23,17,7,3,1,2,1,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_iss_2015-05-17_17-47-28.pcd 0.0101734 0.000941476 0.00303551 8 170,118,91,78,37,25,17,14 81,47,42,48,17,13,13,12 -1 400554 414 770 -1 -1 400 756 -1 -1 400140,254,81,32,20,10,6,4,4,1,0,1,1 -1 0,240,81,32,20,10,6,4,4,1,0,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_iss_2015-05-17_17-47-37.pcd 0.00967897 0.00100927 0.00190959 3 196,165,29 84,76,24 -1 382336 394 770 -1 -1 394 770 -1 -1 381942,235,70,40,19,15,3,3,4,2,0,2,0,1 -1 0,235,70,40,19,15,3,3,4,2,0,2,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-47-46.pcd 0.00771043 0.000669633 0.000831951 9 168,166,42,33,31,27,24,23,15 67,60,20,20,15,13,18,12,13 0,0,0,0,0,0,0,0,0 393822 369 770 19 72 369 770 19 72 393453,216,61,35,23,13,8,3,3,3,2,0,0,1,0,0,0,1 0,6,2,3,4,1,1,0,0,1,0,0,0,0,0,0,0,1 0,216,61,35,23,13,8,3,3,3,2,0,0,1,0,0,0,1 0,6,2,3,4,1,1,0,0,1,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-47-53.pcd 0.0061047 0.00144203 0.00203229 6 126,102,101,61,30,24 58,30,55,24,13,13 -1 375705 357 770 -1 -1 357 770 -1 -1 375348,198,72,31,16,16,7,8,1,3,2,0,1,2 -1 0,198,72,31,16,16,7,8,1,3,2,0,1,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-01.pcd 0.00775982 0.000826021 0.00224595 5 103,81,69,68,56 51,27,23,23,24 -1 408408 357 770 -1 -1 357 770 -1 -1 408051,200,68,26,19,17,12,8,2,0,4,1 -1 0,200,68,26,19,17,12,8,2,0,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-08.pcd 0.0094074 0.000956922 0.00206163 7 97,90,39,37,31,27,26 34,25,19,18,15,12,18 -1 404976 336 770 -1 -1 336 770 -1 -1 404640,179,67,30,19,14,10,4,5,2,1,1,1,1,1,1 -1 0,179,67,30,19,14,10,4,5,2,1,1,1,1,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-48-15.pcd 0.00633071 0.000687565 0.001557 6 269,56,41,40,29,13 116,21,16,12,13,12 -1 391680 355 770 -1 -1 355 770 -1 -1 391325,183,75,40,27,8,6,5,5,2,4 -1 0,183,75,40,27,8,6,5,5,2,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-23.pcd 0.00575589 0.000636451 0.0015912 8 123,99,97,72,57,41,28,22 43,47,39,27,23,13,18,13 -1 378972 343 770 -1 -1 343 770 -1 -1 378629,183,68,26,26,13,11,5,4,5,0,0,1,0,1 -1 0,183,68,26,26,13,11,5,4,5,0,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_iss_2015-05-17_17-48-30.pcd 0.0069336 0.000742833 0.00157418 3 186,57,56 93,12,12 0,0,0 420420 321 770 17 61 321 770 17 61 420099,184,43,32,20,14,4,4,8,0,5,2,2,2,0,0,1 0,3,3,2,5,2,0,0,2,0,0,0,0,0,0,0,0 0,184,43,32,20,14,4,4,8,0,5,2,2,2,0,0,1 0,3,3,2,5,2,0,0,2,0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_iss_2015-05-17_17-48-37.pcd 0.0069848 0.000748553 0.00159409 6 124,113,43,26,21,14 51,44,12,16,12,12 0,0,0,0,0,0 418077 361 770 14 37 361 770 14 37 417716,198,68,36,20,17,9,7,1,2,1,0,2 0,6,3,3,0,0,1,0,0,0,1,0,0 0,198,68,36,20,17,9,7,1,2,1,0,2 0,6,3,3,0,0,1,0,0,0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-46.pcd 0.00607949 0.000768338 0.00234999 7 116,81,68,49,34,28,26 49,38,27,23,22,15,14 -1 401082 333 770 -1 -1 333 770 -1 -1 400749,173,70,36,12,15,3,7,8,2,5,0,0,1,1 -1 0,173,70,36,12,15,3,7,8,2,5,0,0,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-48-53.pcd 0.00325813 0.000391043 0.000815711 6 138,84,65,45,43,33 53,43,16,18,19,18 -1 393294 331 770 -1 -1 331 770 -1 -1 392963,181,53,34,24,11,8,7,4,5,0,0,2,0,0,0,2 -1 0,181,53,34,24,11,8,7,4,5,0,0,2,0,0,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-49-01.pcd 0.00591938 0.000775958 0.00172952 5 108,71,50,44,24 40,32,25,24,17 -1 411840 348 770 -1 -1 348 770 -1 -1 411492,192,74,26,22,11,3,4,5,1,2,4,2,2 -1 0,192,74,26,22,11,3,4,5,1,2,4,2,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_iss_2015-05-17_17-49-09.pcd 0.00676258 0.000682857 0.00199383 8 229,95,75,52,36,26,23,18 106,38,32,26,19,15,14,13 0,0,0,0,1,0,0,0 397188 408 770 12 29 400 762 12 29 396780,242,74,41,26,10,7,5,2,0,1 0,6,2,0,2,1,1,0,0,0,0 0,234,74,41,26,10,7,5,2,0,1 0,6,2,0,2,1,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-49-17.pcd 0.00926668 0.000688941 0.00247207 5 312,47,47,37,29 144,26,20,19,14 -1 428340 369 770 -1 -1 369 770 -1 -1 427971,208,70,32,30,14,4,1,4,0,2,2,0,1,0,0,0,0,1 -1 0,208,70,32,30,14,4,1,4,0,2,2,0,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-49-25.pcd 0.00957582 0.000665193 0.00297889 9 105,87,81,65,53,40,36,35,29 51,44,34,25,28,14,15,19,15 -1 394284 399 770 -1 -1 399 770 -1 -1 393885,232,80,36,20,18,5,5,1,1,0,0,0,0,0,0,0,0,1 -1 0,232,80,36,20,18,5,5,1,1,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_iss_2015-05-17_17-49-35.pcd 0.003359 0.000360874 0.000782126 11 172,60,49,49,46,38,35,30,30,25,19 55,29,24,19,25,17,16,13,12,12,16 -1 408408 372 770 -1 -1 372 770 -1 -1 408036,205,77,38,22,10,8,2,5,2,2,0,0,0,0,0,0,0,0,1 -1 0,205,77,38,22,10,8,2,5,2,2,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<fpfh_iss_2015-05-17_17-49-45.pcd 0.00929336 0.000635871 0.00268602 6 171,150,59,25,24,22 92,52,26,14,12,14 -1 388416 365 770 -1 -1 365 770 -1 -1 388051,212,64,26,25,11,12,5,6,3,0,0,0,0,0,1 -1 0,212,64,26,25,11,12,5,6,3,0,0,0,0,0,1 -1
