obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<shotcolor_iss_2015-05-26_14-58-44.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41058: 'http://tycho:41058/', host_tycho__42185: 'http://tycho:42185/'}
rosversion: '1.11.10

  '
run_id: 443fe176-0718-11e5-a542-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-07.pcd 1.90352 0.00072427 0.000814148 5 357,144,52,26,13 28,36,14,18,12 -1 386100 224 770 -1 -1 224 770 -1 -1 385876,132,40,13,6,5,0,2,4,3,0,0,0,1,2,0,0,0,3,4,1,2,0,1,0,0,0,2,2,0,0,1 -1 0,132,40,13,6,5,0,2,4,3,0,0,0,1,2,0,0,0,3,4,1,2,0,1,0,0,0,2,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-08.pcd 1.938 0.000771999 0.000644962 5 158,88,75,57,25 12,26,16,26,23 -1 413127 227 770 -1 -1 227 770 -1 -1 412900,137,38,9,5,4,2,6,2,0,5,1,1,2,3,1,0,0,0,2,0,3,0,1,0,2,1,0,0,0,0,0,2 -1 0,137,38,9,5,4,2,6,2,0,5,1,1,2,3,1,0,0,0,2,0,3,0,1,0,2,1,0,0,0,0,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-09.pcd 1.58735 0.000732516 0.00111985 6 318,129,99,41,28,19 23,34,25,19,20,12 -1 400554 221 770 -1 -1 221 770 -1 -1 400333,132,24,20,9,3,5,2,3,2,1,2,2,1,2,0,2,1,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,132,24,20,9,3,5,2,3,2,1,2,2,1,2,0,2,1,3,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-10.pcd 2.03714 0.000592846 0.00116705 7 284,190,90,38,34,27,20 41,26,12,27,24,19,15 -1 382336 225 770 -1 -1 225 770 -1 -1 382111,138,41,14,6,3,2,0,0,0,1,0,1,0,1,1,1,2,3,2,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1 0,138,41,14,6,3,2,0,0,0,1,0,1,0,1,1,1,2,3,2,1,1,0,1,0,2,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-11.pcd 1.79073 0.000793902 0.00131189 5 323,234,79,24,16 69,31,38,13,12 0,1,0,0,0 393822 234 770 29 232 234 770 29 232 393588,121,54,16,5,6,1,6,3,3,2,0,1,1,3,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,5,7,3,1,2,0,1,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,121,54,16,5,6,1,6,3,3,2,0,1,1,3,3,1,2,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1 0,5,7,3,1,2,0,1,2,2,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-12.pcd 1.6992 0.000954756 0.00165186 5 252,212,61,33,19 67,47,13,15,14 -1 375705 226 770 -1 -1 226 770 -1 -1 375479,131,39,8,5,7,5,5,2,3,0,3,3,0,2,2,2,1,0,0,1,1,0,1,0,2,1,0,1,0,1 -1 0,131,39,8,5,7,5,5,2,3,0,3,3,0,2,2,2,1,0,0,1,1,0,1,0,2,1,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 1.00319 0.0009216 0.00135802 4 364,205,32,24 69,71,18,14 -1 408408 257 770 -1 -1 257 770 -1 -1 408151,153,36,24,10,3,2,4,2,4,2,2,2,1,2,0,0,3,1,0,0,1,2,0,0,0,1,0,1,0,0,1 -1 0,153,36,24,10,3,2,4,2,4,2,2,2,1,2,0,0,3,1,0,0,1,2,0,0,0,1,0,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 1.37829 0.000522269 0.000665548 6 313,214,79,30,18,17 29,26,51,22,15,13 -1 404976 225 770 -1 -1 225 770 -1 -1 404751,153,33,9,5,4,2,1,1,0,0,1,1,1,0,0,1,0,0,1,2,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1 -1 0,153,33,9,5,4,2,1,1,0,0,1,1,1,0,0,1,0,0,1,2,2,0,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-15.pcd 1.91049 0.00110733 0.0011684 6 265,150,69,66,44,29 39,18,21,15,14,13 -1 391680 170 770 -1 -1 170 770 -1 -1 391510,97,26,10,6,3,2,2,1,2,0,1,0,2,1,0,1,1,0,2,1,1,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1 -1 0,97,26,10,6,3,2,2,1,2,0,1,0,2,1,0,1,1,0,2,1,1,1,1,1,2,0,0,0,1,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-16.pcd 1.64109 0.00129636 0.00106194 4 257,110,41,26 47,15,24,16 -1 378972 218 770 -1 -1 218 770 -1 -1 378754,118,46,11,8,3,3,2,4,4,1,0,0,3,2,1,0,3,0,0,1,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1 -1 0,118,46,11,8,3,3,2,4,4,1,0,0,3,2,1,0,3,0,0,1,2,0,0,0,1,1,0,1,1,0,0,1,0,0,1 -1
