obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<fpfh_sift_2015-05-26_15-11-11.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37879: 'http://tycho:37879/', host_tycho__41227: 'http://tycho:41227/',
    host_tycho__41916: 'http://tycho:41916/', host_tycho__43327: 'http://tycho:43327/',
    host_tycho__47633: 'http://tycho:47633/', host_tycho__50394: 'http://tycho:50394/',
    host_tycho__51838: 'http://tycho:51838/', host_tycho__56382: 'http://tycho:56382/',
    host_tycho__59828: 'http://tycho:59828/', host_tycho__60814: 'http://tycho:60814/'}
rosversion: '1.11.10

  '
run_id: 0a28806c-071b-11e5-bb9a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-30.pcd 0.000222588 0.00138103 0.000274297 1 3 1 -1 434511 45 70 -1 -1 45 70 -1 -1 434466,23,19,3 -1 0,23,19,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_sift_2015-05-18_17-15-31.pcd 0.000248248 0.00139175 0.000224157 1 3 1 -1 424446 51 70 -1 -1 51 70 -1 -1 424395,36,11,4 -1 0,36,11,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_sift_2015-05-18_17-15-33.pcd 8.9436e-05 0.000279049 9.4161e-05 1 6 1 -1 437580 51 70 -1 -1 51 70 -1 -1 437529,41,6,1,2,0,1 -1 0,41,6,1,2,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_sift_2015-05-18_17-15-35.pcd 0.000276497 0.000480536 0.000257349 1 3 1 -1 458238 52 70 -1 -1 52 70 -1 -1 458186,36,14,2 -1 0,36,14,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-38.pcd 0.000192797 0.000408595 0.000214285 1 4 1 0 385152 54 70 2 3 54 70 2 3 385098,42,10,0,2 0,1,1,0,0 0,42,10,0,2 0,1,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-39.pcd 0.00027344 0.000528344 0.000302466 1 3 1 -1 407680 46 70 -1 -1 46 70 -1 -1 407634,28,12,6 -1 0,28,12,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-41.pcd 0.000236232 0.000551138 0.000244685 1 3 1 -1 442624 47 70 -1 -1 47 70 -1 -1 442577,27,17,3 -1 0,27,17,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-42.pcd 0.000287351 0.000777502 0.00029832 1 3 1 -1 437580 50 70 -1 -1 50 70 -1 -1 437530,35,10,5 -1 0,35,10,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-43.pcd 0.000189088 0.00059857 0.000207521 1 4 1 -1 451044 51 70 -1 -1 51 70 -1 -1 450993,36,12,2,1 -1 0,36,12,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-45.pcd 0.000264884 0.000559418 0.000297036 1 3 1 -1 437778 52 70 -1 -1 52 70 -1 -1 437726,37,12,3 -1 0,37,12,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_sift_2015-05-18_17-15-46.pcd 0.000402472 0.000590378 0.000260924 1 3 1 0 404250 50 70 1 3 50 70 1 3 404200,35,10,5 0,0,0,1 0,35,10,5 0,0,0,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_sift_2015-05-18_17-15-47.pcd 0.000127108 0.000329711 0.00019806 1 6 1 0 465663 51 70 4 6 51 70 4 6 465612,39,9,1,1,0,1 0,2,2,0,0,0,0 0,39,9,1,1,0,1 0,2,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-50.pcd 0.00025767 0.000555579 0.000298145 1 4 1 -1 453024 47 70 -1 -1 47 70 -1 -1 452977,29,14,3,1 -1 0,29,14,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-51.pcd 0.000296418 0.000626452 0.000266648 1 3 1 -1 416928 52 70 -1 -1 52 70 -1 -1 416876,35,16,1 -1 0,35,16,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<fpfh_sift_2015-05-18_17-15-53.pcd 0.000266911 0.000597828 0.000326875 1 3 1 -1 410432 49 70 -1 -1 49 70 -1 -1 410383,32,13,4 -1 0,32,13,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<fpfh_sift_2015-05-18_17-15-54.pcd 0.000237876 0.000570275 0.000246742 1 3 1 0 377600 50 70 2 2 50 70 2 2 377550,31,18,1 0,2,0,0 0,31,18,1 0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-56.pcd 0.000277572 0.00072154 0.000311104 1 4 1 -1 454656 50 70 -1 -1 50 70 -1 -1 454606,36,9,4,1 -1 0,36,9,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-57.pcd 0.000289716 0.000584236 0.000337458 1 4 1 -1 517902 53 70 -1 -1 53 70 -1 -1 517849,40,10,2,1 -1 0,40,10,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<fpfh_sift_2015-05-18_17-15-59.pcd 0.000252415 0.000854205 0.000208245 1 3 1 -1 407880 51 70 -1 -1 51 70 -1 -1 407829,34,15,2 -1 0,34,15,2 -1
