obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<pfh_sift_2015-05-26_15-11-50.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37879: 'http://tycho:37879/', host_tycho__41227: 'http://tycho:41227/',
    host_tycho__41916: 'http://tycho:41916/', host_tycho__47633: 'http://tycho:47633/',
    host_tycho__50394: 'http://tycho:50394/', host_tycho__51838: 'http://tycho:51838/',
    host_tycho__56382: 'http://tycho:56382/', host_tycho__59828: 'http://tycho:59828/',
    host_tycho__60814: 'http://tycho:60814/'}
rosversion: '1.11.10

  '
run_id: 0a28806c-071b-11e5-bb9a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_sift_2015-05-18_17-09-59.pcd 0.000336195 0.00172062 0.000341571 1 8 1 -1 434511 36 70 -1 -1 36 70 -1 -1 434475,22,4,4,5,0,0,0,1 -1 0,22,4,4,5,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_sift_2015-05-18_17-10-00.pcd 0.000368248 0.00162342 0.000299612 1 4 1 -1 424446 46 70 -1 -1 46 70 -1 -1 424400,32,7,4,3 -1 0,32,7,4,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_sift_2015-05-18_17-10-02.pcd 0.000390191 0.000620241 0.000272651 1 8 1 -1 437580 42 70 -1 -1 42 70 -1 -1 437538,29,6,3,3,0,0,0,1 -1 0,29,6,3,3,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_sift_2015-05-18_17-10-04.pcd 0.000327729 0.000639275 0.000237983 1 5 1 -1 458238 47 70 -1 -1 47 70 -1 -1 458191,35,6,2,3,1 -1 0,35,6,2,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-06.pcd 0.000345052 0.000838012 0.00034853 1 5 1 0 385152 44 70 1 1 44 70 1 1 385108,30,7,4,1,2 0,1,0,0,0,0 0,30,7,4,1,2 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-08.pcd 0.000307283 0.000949354 0.000198831 1 6 1 -1 407680 45 70 -1 -1 45 70 -1 -1 407635,29,11,3,1,0,1 -1 0,29,11,3,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-10.pcd 0.000370249 0.000549314 0.000280395 1 4 1 -1 442624 41 70 -1 -1 41 70 -1 -1 442583,29,1,5,6 -1 0,29,1,5,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-11.pcd 0.000351623 0.000516303 0.000240712 1 4 1 -1 437580 41 70 -1 -1 41 70 -1 -1 437539,25,6,7,3 -1 0,25,6,7,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_sift_2015-05-18_17-10-13.pcd 0.000291655 0.000541944 0.000270944 1 5 1 -1 451044 40 70 -1 -1 40 70 -1 -1 451004,25,7,2,5,1 -1 0,25,7,2,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-14.pcd 0.000304873 0.000582004 0.000268589 1 4 1 -1 437778 39 70 -1 -1 39 70 -1 -1 437739,23,6,5,5 -1 0,23,6,5,5 -1
