obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<shotcolor_sift_2015-05-26_15-10-43.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37879: 'http://tycho:37879/', host_tycho__41227: 'http://tycho:41227/',
    host_tycho__41916: 'http://tycho:41916/', host_tycho__47633: 'http://tycho:47633/',
    host_tycho__51838: 'http://tycho:51838/', host_tycho__56382: 'http://tycho:56382/',
    host_tycho__59828: 'http://tycho:59828/', host_tycho__60814: 'http://tycho:60814/'}
rosversion: '1.11.10

  '
run_id: 0a28806c-071b-11e5-bb9a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-02.pcd 0.0128503 0.00146096 0.000309254 1 3 1 -1 434511 50 70 -1 -1 50 70 -1 -1 434461,34,12,4 -1 0,34,12,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-03.pcd 0.0143041 0.000606497 0.00017827 1 5 1 -1 424446 41 70 -1 -1 41 70 -1 -1 424405,20,17,1,2,1 -1 0,20,17,1,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-04.pcd 0.0148075 0.000663607 0.000230568 1 4 1 -1 437580 46 70 -1 -1 46 70 -1 -1 437534,28,14,2,2 -1 0,28,14,2,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-04.pcd 0.0146319 0.00057377 0.000215495 1 4 1 -1 458238 44 70 -1 -1 44 70 -1 -1 458194,26,11,6,1 -1 0,26,11,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-05.pcd 0.0145546 0.000564796 0.000310533 1 5 1 0 385152 44 70 0 0 44 70 0 0 385108,23,19,0,1,1 0,0,0,0,0,0 0,23,19,0,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-06.pcd 0.0135599 0.000583095 0.000234766 1 4 1 -1 407680 44 70 -1 -1 44 70 -1 -1 407636,23,17,3,1 -1 0,23,17,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-06.pcd 0.0122422 0.000600588 0.0002051 1 5 1 -1 442624 39 70 -1 -1 39 70 -1 -1 442585,18,13,7,0,1 -1 0,18,13,7,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-07.pcd 0.0145739 0.000644593 0.000249582 1 5 1 -1 437580 42 70 -1 -1 42 70 -1 -1 437538,24,10,7,0,1 -1 0,24,10,7,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-08.pcd 0.0112071 0.000652218 0.000251453 1 4 1 -1 451044 46 70 -1 -1 46 70 -1 -1 450998,28,14,2,2 -1 0,28,14,2,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_sift_2015-05-18_16-40-08.pcd 0.0172101 0.00151893 0.000258011 1 4 1 -1 437778 41 70 -1 -1 41 70 -1 -1 437737,21,15,1,4 -1 0,21,15,1,4 -1
