obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/pillow/features/rgb_0003_label_pillow<fpfh_uniform_2015-05-26_14-46-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__43901: 'http://tycho:43901/', host_tycho__60397: 'http://tycho:60397/'}
rosversion: '1.11.10

  '
run_id: f1c2174a-0715-11e5-8e91-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-13.pcd 0.014538 0.00109535 0.00176411 7 215,170,89,73,60,57,36 65,61,21,37,31,27,12 -1 449955 728 1380 -1 -1 400 1052 -1 -1 449227,434,147,66,33,18,11,6,5,2,3,1,1,1 -1 0,106,147,66,33,18,11,6,5,2,3,1,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-20.pcd 0.0231304 0.00087568 0.0019731 9 201,170,117,85,62,41,40,37,25 72,46,35,37,26,14,16,19,15 -1 424446 723 1380 -1 -1 400 1057 -1 -1 423723,432,152,50,39,16,14,7,4,3,3,2,0,0,1 -1 0,109,152,50,39,16,14,7,4,3,3,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-28.pcd 0.0229653 0.00126552 0.00200966 5 272,201,64,38,35 102,82,19,16,12 -1 445269 807 1380 -1 -1 400 973 -1 -1 444462,525,142,70,33,14,12,5,4,0,2 -1 0,118,142,70,33,14,12,5,4,0,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-37.pcd 0.0230907 0.00118521 0.00207479 5 284,168,58,51,40 94,72,18,22,16 -1 461736 740 1380 -1 -1 400 1040 -1 -1 460996,426,168,66,35,25,8,1,5,1,4,1 -1 0,86,168,66,35,25,8,1,5,1,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-46.pcd 0.0217318 0.000831614 0.00190455 5 231,224,31,30,29 79,85,12,12,13 0,1,0,0,0 404481 772 1380 41 137 400 1008 34 130 403709,491,137,59,42,22,5,8,1,5,1,1 0,14,5,4,10,3,0,1,0,2,1,1 0,119,137,59,42,22,5,8,1,5,1,1 0,7,5,4,10,3,0,1,0,2,1,1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-55.pcd 0.0114165 0.000471949 0.000798492 8 188,168,124,100,44,40,37,26 50,62,40,37,12,22,15,13 -1 424710 684 1380 -1 -1 400 1096 -1 -1 424026,400,126,72,36,11,13,7,7,1,6,3,0,1,0,1 -1 0,116,126,72,36,11,13,7,7,1,6,3,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-08.pcd 0.0219188 0.000787381 0.00193918 8 170,130,89,69,59,45,33,20 53,41,20,30,18,17,15,12 -1 456456 651 1380 -1 -1 400 1129 -1 -1 455805,360,121,71,37,27,11,6,8,3,2,2,1,1,0,0,1 -1 0,109,121,71,37,27,11,6,8,3,2,2,1,1,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-19.pcd 0.0219018 0.000849558 0.00246531 8 173,78,69,57,43,39,27,21 57,24,29,29,16,15,13,12 -1 449592 723 1380 -1 -1 400 1057 -1 -1 448869,426,146,66,36,17,18,3,3,4,2,0,1,0,1 -1 0,103,146,66,36,17,18,3,3,4,2,0,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-31.pcd 0.0230317 0.000892967 0.00194746 7 248,97,62,56,53,47,35 90,35,21,14,20,18,14 -1 451044 697 1380 -1 -1 400 1083 -1 -1 450347,417,130,60,34,19,9,15,1,4,4,1,1,2 -1 0,120,130,60,34,19,9,15,1,4,4,1,1,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-41.pcd 0.0196903 0.000780532 0.00198192 5 227,223,152,45,31 69,88,61,17,16 -1 451044 721 1380 -1 -1 400 1059 -1 -1 450323,435,154,52,24,23,9,9,3,6,1,1,2,1,0,0,0,1 -1 0,114,154,52,24,23,9,9,3,6,1,1,2,1,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-49.pcd 0.0311888 0.0010126 0.00294455 10 122,120,66,59,58,52,51,46,45,42 47,42,19,19,25,21,12,14,17,13 0,0,0,0,0,0,0,0,0,0 427977 669 1380 31 81 400 1111 20 70 427308,378,139,57,40,22,3,13,3,5,5,2,0,1,0,0,0,0,0,0,1 0,11,6,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0,109,139,57,40,22,3,13,3,5,5,2,0,1,0,0,0,0,0,0,1 0,0,6,4,8,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
