obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<shot_iss_2015-05-26_14-58-02.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35254: 'http://tycho:35254/', host_tycho__44648: 'http://tycho:44648/',
    host_tycho__44991: 'http://tycho:44991/', host_tycho__46145: 'http://tycho:46145/',
    host_tycho__56454: 'http://tycho:56454/'}
rosversion: '1.11.10

  '
run_id: 930075e0-06d3-11e5-bf0a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-17_15-24-24.pcd 0.176942 0.000823732 0.00111155 9 79,61,41,35,24,18,17,16,12 65,56,36,31,19,16,16,14,12 -1 386100 480 550 -1 -1 400 470 -1 -1 385620,420,50,10 -1 0,340,50,10 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-17_15-24-41.pcd 0.303612 0.000681327 0.00205173 8 93,38,34,29,20,19,18,17 84,30,25,21,18,15,17,14 -1 413127 474 550 -1 -1 400 476 -1 -1 412653,410,53,10,1 -1 0,336,53,10,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-17_15-24-48.pcd 0.295692 0.000672867 0.00173424 7 116,51,37,20,16,14,12 94,42,33,16,15,12,12 -1 400554 477 550 -1 -1 400 473 -1 -1 400077,414,53,10 -1 0,337,53,10 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-17_15-25-07.pcd 0.302417 0.00066048 0.00179829 8 70,43,34,32,21,15,14,12 59,35,25,30,18,13,12,12 -1 382336 482 550 -1 -1 400 468 -1 -1 381854,426,46,8,2 -1 0,344,46,8,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-17_15-25-27.pcd 0.182581 0.000481978 0.00357229 8 116,44,34,25,21,17,16,16 100,39,26,21,18,14,14,13 -1 393822 479 550 -1 -1 400 471 -1 -1 393343,417,55,6,0,1 -1 0,338,55,6,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-17_15-25-45.pcd 0.358204 0.00176043 0.00378649 11 54,40,37,31,31,24,24,20,20,19,12 44,37,29,26,26,21,19,18,15,17,12 -1 375705 479 550 -1 -1 400 471 -1 -1 375226,415,57,7 -1 0,336,57,7 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-04.pcd 0.271408 0.00112894 0.00290157 12 59,47,40,27,24,19,19,19,17,16,14,14 49,41,32,25,20,16,14,13,12,14,12,12 -1 408408 462 550 -1 -1 400 488 -1 -1 407946,387,64,9,2 -1 0,325,64,9,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-19.pcd 0.259028 0.00103965 0.00208496 13 44,37,34,34,19,18,17,16,15,15,15,12,12 41,29,29,27,15,14,13,14,14,13,12,12,12 -1 404976 465 550 -1 -1 400 485 -1 -1 404511,395,58,9,3 -1 0,330,58,9,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-17_15-26-33.pcd 0.274715 0.000651161 0.00172149 9 105,36,27,25,22,17,17,17,13 94,30,23,21,18,17,15,14,12 -1 391680 478 550 -1 -1 400 472 -1 -1 391202,419,48,9,2 -1 0,341,48,9,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-17_15-26-51.pcd 0.238233 0.000616112 0.00185263 10 63,61,53,34,31,26,18,14,13,13 52,55,43,29,24,19,17,12,12,12 -1 378972 472 550 -1 -1 400 478 -1 -1 378500,404,61,5,1,1 -1 0,332,61,5,1,1 -1
