obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_sift, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<pfh_sift_2015-05-26_15-11-54.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__34588: 'http://tycho:34588/'}
rosversion: '1.11.10

  '
run_id: 81c13590-06dc-11e5-b20a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_sift_2015-05-18_17-09-59.pcd 0.000274429 0.00102695 0.000192992 1 3 1 -1 434511 33 40 -1 -1 33 40 -1 -1 434478,27,5,1 -1 0,27,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_sift_2015-05-18_17-10-00.pcd 0.000741442 0.00208406 0.00024701 1 2 1 -1 424446 35 40 -1 -1 35 40 -1 -1 424411,30,5 -1 0,30,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_sift_2015-05-18_17-10-02.pcd 0.000508597 0.000616667 0.000194371 1 2 1 -1 437580 38 40 -1 -1 38 40 -1 -1 437542,36,2 -1 0,36,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_sift_2015-05-18_17-10-04.pcd 0.000593876 0.0006194 0.000272835 1 2 1 -1 458238 38 40 -1 -1 38 40 -1 -1 458200,36,2 -1 0,36,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-06.pcd 0.000586529 0.000543044 0.00014457 1 2 1 -1 385152 33 40 -1 -1 33 40 -1 -1 385119,26,7 -1 0,26,7 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-08.pcd 0.000448536 0.000588713 0.000254727 1 3 1 -1 407680 35 40 -1 -1 35 40 -1 -1 407645,31,3,1 -1 0,31,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-10.pcd 0.000425393 0.000609253 0.000255091 1 2 1 -1 442624 35 40 -1 -1 35 40 -1 -1 442589,30,5 -1 0,30,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-11.pcd 0.000520383 0.000540418 0.000224091 1 4 1 -1 437580 31 40 -1 -1 31 40 -1 -1 437549,24,6,0,1 -1 0,24,6,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_sift_2015-05-18_17-10-13.pcd 0.000540544 0.00065136 0.000202321 1 3 1 -1 451044 32 40 -1 -1 32 40 -1 -1 451012,25,6,1 -1 0,25,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_sift_2015-05-18_17-10-14.pcd 0.000262378 0.000523875 0.000109551 1 2 1 -1 437778 35 40 -1 -1 35 40 -1 -1 437743,30,5 -1 0,30,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_sift_2015-05-18_17-10-16.pcd 0.000590846 0.00105039 0.000231328 1 2 1 -1 404250 33 40 -1 -1 33 40 -1 -1 404217,26,7 -1 0,26,7 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_sift_2015-05-18_17-10-18.pcd 0.000767562 0.00133703 0.000245824 1 2 1 -1 465663 36 40 -1 -1 36 40 -1 -1 465627,32,4 -1 0,32,4 -1
