obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_uniform, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/top_couch_jacket2/features/rgb_0003_label_top_couch_jacket2<fpfh_uniform_2015-05-26_14-46-24.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35254: 'http://tycho:35254/', host_tycho__44991: 'http://tycho:44991/',
    host_tycho__46145: 'http://tycho:46145/'}
rosversion: '1.11.10

  '
run_id: 930075e0-06d3-11e5-bf0a-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-13.pcd 0.042273 0.00221655 0.00316479 9 88,54,49,42,31,29,28,27,21 50,34,25,35,21,15,13,18,16 -1 449955 859 1150 -1 -1 400 691 -1 -1 449096,633,176,39,8,2,1 -1 0,174,176,39,8,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-20.pcd 0.0444259 0.0013288 0.0032765 8 105,66,56,42,34,31,24,22 48,40,32,25,24,23,14,14 -1 424446 868 1150 -1 -1 400 682 -1 -1 423578,664,150,37,15,1,0,0,0,0,1 -1 0,196,150,37,15,1,0,0,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-28.pcd 0.0447361 0.00128228 0.00277651 6 86,42,39,35,35,34 56,38,22,28,23,14 -1 445269 891 1150 -1 -1 400 659 -1 -1 444378,693,147,41,10 -1 0,202,147,41,10 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-37.pcd 0.0439727 0.00088001 0.00167082 7 87,83,39,26,24,18,15 48,53,24,18,17,13,12 -1 461736 879 1150 -1 -1 400 671 -1 -1 460857,672,164,33,3,4,2,1 -1 0,193,164,33,3,4,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-46.pcd 0.0339309 0.00120243 0.00272593 7 74,48,35,33,31,25,17 52,28,30,14,14,21,15 -1 404481 881 1150 -1 -1 400 669 -1 -1 403600,680,152,34,13,1,0,1 -1 0,199,152,34,13,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-28-55.pcd 0.0313256 0.000835756 0.00189467 8 99,75,48,46,37,26,24,21 65,36,25,34,22,17,13,14 -1 424710 849 1150 -1 -1 400 701 -1 -1 423861,627,166,41,10,4,0,0,1 -1 0,178,166,41,10,4,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-08.pcd 0.0415741 0.0012942 0.00213356 8 96,76,41,41,34,32,31,19 58,29,18,17,22,16,19,19 -1 456456 820 1150 -1 -1 400 730 -1 -1 455636,594,154,48,19,3,1,1 -1 0,174,154,48,19,3,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-19.pcd 0.0348022 0.000855138 0.00258386 5 75,41,36,36,34 58,20,28,24,17 -1 449592 893 1150 -1 -1 400 657 -1 -1 448699,690,160,33,9,1 -1 0,197,160,33,9,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-31.pcd 0.032284 0.000827946 0.0016997 6 123,58,55,31,24,22 73,31,41,28,13,16 -1 451044 857 1150 -1 -1 400 693 -1 -1 450187,647,150,44,10,5,1 -1 0,190,150,44,10,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-41.pcd 0.0317388 0.00116699 0.00314323 8 87,85,61,55,19,18,18,14 55,58,38,29,13,14,13,13 -1 451044 886 1150 -1 -1 400 664 -1 -1 450158,672,170,39,4,1 -1 0,186,170,39,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-49.pcd 0.0319109 0.000839462 0.00198585 7 89,71,54,53,32,30,26 55,53,38,32,22,21,17 -1 427977 866 1150 -1 -1 400 684 -1 -1 427111,655,160,36,12,1,1,0,1 -1 0,189,160,36,12,1,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<fpfh_uniform_2015-05-17_13-29-59.pcd 0.0339506 0.000901439 0.0023483 7 113,44,36,29,26,24,20 72,30,19,16,18,17,14 -1 470184 844 1150 -1 -1 400 706 -1 -1 469340,638,137,50,10,6,3 -1 0,194,137,50,10,6,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<fpfh_uniform_2015-05-17_13-30-11.pcd 0.0404591 0.000888677 0.00311097 9 235,60,38,35,25,22,17,15,14 132,43,12,20,14,15,12,12,13 -1 453024 823 1150 -1 -1 400 727 -1 -1 452201,602,149,50,14,5,2,1 -1 0,179,149,50,14,5,2,1 -1
