obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<pfh_iss_2015-05-26_15-00-45.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__46548: 'http://tycho:46548/'}
rosversion: '1.11.10

  '
run_id: 0e11e786-06ee-11e5-ad62-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-17_17-02-30.pcd 0.0127878 0.00181779 0.00144304 7 34,29,26,25,22,14,12 26,27,24,22,18,12,12 -1 386100 303 350 -1 -1 303 350 -1 -1 385797,262,35,6 -1 0,262,35,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-17_17-02-47.pcd 0.0120763 0.000665271 0.00124436 4 51,29,28,18 41,23,26,12 -1 413127 299 350 -1 -1 299 350 -1 -1 412828,254,40,4,1 -1 0,254,40,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-17_17-03-08.pcd 0.0172781 0.00102959 0.00121533 4 45,41,29,18 38,29,21,14 -1 400554 291 350 -1 -1 291 350 -1 -1 400263,240,43,8 -1 0,240,43,8 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-17_17-03-52.pcd 0.0135328 0.00107792 0.00143087 5 71,41,25,22,13 58,33,21,17,12 -1 382336 297 350 -1 -1 297 350 -1 -1 382039,249,43,5 -1 0,249,43,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-17_17-04-24.pcd 0.014358 0.000631173 0.0013199 6 68,33,27,21,20,17 56,32,20,17,13,12 -1 393822 288 350 -1 -1 288 350 -1 -1 393534,239,39,8,1,1 -1 0,239,39,8,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-17_17-04-52.pcd 0.0159427 0.000564586 0.00193545 5 40,32,28,22,14 34,27,20,20,14 -1 375705 294 350 -1 -1 294 350 -1 -1 375411,246,41,6,1 -1 0,246,41,6,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-17_17-05-20.pcd 0.0113199 0.000631327 0.00151714 6 25,23,20,18,18,14 17,17,12,16,15,12 0,0,0,0,0,0 408408 278 350 4 5 278 350 4 5 408130,217,51,9,1 0,3,1,0,0 0,217,51,9,1 0,3,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-17_17-05-38.pcd 0.0108396 0.000987961 0.00111033 5 26,19,18,17,12 16,12,16,13,12 0,0,0,0,0 404976 277 350 4 4 277 350 4 4 404699,216,52,6,3 0,4,0,0,0 0,216,52,6,3 0,4,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-17_17-06-06.pcd 0.0133397 0.000654633 0.00118933 5 60,21,20,15,14 47,16,16,12,13 -1 391680 288 350 -1 -1 288 350 -1 -1 391392,233,49,5,1 -1 0,233,49,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-17_17-06-33.pcd 0.0101708 0.000623847 0.00120926 5 25,25,20,17,13 17,17,14,12,12 0,0,0,0,0 378972 269 350 5 8 269 350 5 8 378703,206,48,12,3 0,3,1,1,0 0,206,48,12,3 0,3,1,1,0
