obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_iss, n_max_points: 400,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shotcolor_iss_2015-05-26_14-58-45.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__56711: 'http://tycho:56711/'}
rosversion: '1.11.10

  '
run_id: bf91c6d6-06ec-11e5-91af-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-07.pcd 0.892322 0.00141212 0.00139955 5 62,52,52,17,12 58,41,36,13,12 -1 386100 304 350 -1 -1 304 350 -1 -1 385796,266,32,4,2 -1 0,266,32,4,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-08.pcd 1.03743 0.000924852 0.00131134 4 65,59,33,29 52,56,27,25 -1 413127 304 350 -1 -1 304 350 -1 -1 412823,264,34,6 -1 0,264,34,6 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-09.pcd 0.986888 0.000607537 0.00129782 5 83,61,29,20,14 59,46,25,17,12 -1 400554 287 350 -1 -1 287 350 -1 -1 400267,237,40,7,3 -1 0,237,40,7,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-10.pcd 0.955948 0.00061472 0.002055 7 55,55,28,24,24,22,20 46,42,27,22,21,22,16 -1 382336 313 350 -1 -1 313 350 -1 -1 382023,280,29,4 -1 0,280,29,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-11.pcd 0.952971 0.00109028 0.00137778 8 60,29,28,21,20,15,14,13 49,26,23,19,18,12,13,12 -1 393822 314 350 -1 -1 314 350 -1 -1 393508,283,26,5 -1 0,283,26,5 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-12.pcd 0.887043 0.000642803 0.00203122 6 66,50,39,27,24,18 52,40,30,24,20,16 -1 375705 302 350 -1 -1 302 350 -1 -1 375403,259,39,3,1 -1 0,259,39,3,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 1.08294 0.00204699 0.00201632 9 43,34,29,26,25,24,18,17,14 19,32,26,22,21,20,18,17,12 0,0,0,0,0,0,0,0,0 408408 294 350 1 1 294 350 1 1 408114,255,28,7,2,2 0,1,0,0,0,0 0,255,28,7,2,2 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-14.pcd 0.767151 0.00108431 0.00129509 9 41,25,25,24,22,16,14,13,12 24,19,16,15,19,13,13,12,12 0,0,0,0,0,0,0,0,0 404976 287 350 0 0 287 350 0 0 404689,239,37,7,4 0,0,0,0,0 0,239,37,7,4 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-15.pcd 0.878695 0.000665524 0.00123858 4 194,63,55,17 121,53,29,13 -1 391680 232 350 -1 -1 232 350 -1 -1 391448,158,53,12,2,3,2,1,1 -1 0,158,53,12,2,3,2,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_iss_2015-05-17_16-54-16.pcd 0.728039 0.00142221 0.00143108 7 85,39,19,15,15,14,14 63,34,12,15,13,12,12 0,0,0,0,0,0,0 378972 297 350 4 4 297 350 4 4 378675,251,40,5,1 0,4,0,0,0 0,251,40,5,1 0,4,0,0,0
