obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 10, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.25,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_susan,
  n_max_points: 400, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,01/trash_bin/features/rgb_0000_label_trash_bin<shotcolor_susan_2015-05-26_15-08-14.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k10_mx400_t0,25/rares',
  subdirs: 4, target_features: /media/michal/Pauli/masterdata/processed/annotated/rares,
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__59669: 'http://tycho:59669/'}
rosversion: '1.11.10

  '
run_id: 80a58c98-06ef-11e5-803f-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-10.pcd 0.220281 0.00246329 0.000975995 1 14 12 -1 382800 116 140 -1 -1 116 140 -1 -1 382684,92,24 -1 0,92,24 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-11.pcd 0.178914 0.000787157 0.00079481 2 15,13 12,12 -1 409596 122 140 -1 -1 122 140 -1 -1 409474,107,13,1,1 -1 0,107,13,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-12.pcd 0.158471 0.000576937 0.00065613 1 20 14 -1 365442 108 140 -1 -1 108 140 -1 -1 365334,87,14,4,2,1 -1 0,87,14,4,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-13.pcd 0.182538 0.000590912 0.00080331 1 18 14 -1 380358 125 140 -1 -1 125 140 -1 -1 380233,110,15 -1 0,110,15 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-14.pcd 0.184795 0.000601677 0.0007574 1 21 15 -1 389961 119 140 -1 -1 119 140 -1 -1 389842,100,17,2 -1 0,100,17,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-15.pcd 0.163428 0.000709169 0.000540959 2 23,17 17,16 -1 367488 114 140 -1 -1 114 140 -1 -1 367374,95,13,5,1 -1 0,95,13,5,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-16.pcd 0.164851 0.000614682 0.000539839 2 37,17 27,14 0,0 415800 111 140 2 2 111 140 2 2 415689,87,19,5 0,2,0,0 0,87,19,5 0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-18.pcd 0.141246 0.000984898 0.00071373 2 20,17 17,15 0,0 384087 107 140 0 0 107 140 0 0 383980,81,19,7 0,0,0,0 0,81,19,7 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.0736792 0.000597641 0.000741202 4 39,33,29,13 25,17,24,12 -1 400554 100 140 -1 -1 100 140 -1 -1 400454,71,22,3,4 -1 0,71,22,3,4 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-19.pcd 0.149403 0.000578046 0.000526303 1 3 1 0 381376 117 140 0 0 117 140 0 0 381259,100,11,6 0,0,0,0 0,100,11,6 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-20.pcd 0.180102 0.000576446 0.000816868 1 20 18 -1 378972 124 140 -1 -1 124 140 -1 -1 378848,109,14,1 -1 0,109,14,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-22.pcd 0.184644 0.000601726 0.000782329 1 19 16 0 392040 122 140 0 0 122 140 0 0 391918,105,16,1 0,0,0,0 0,105,16,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-23.pcd 0.14902 0.000587595 0.000451456 1 30 22 0 401082 110 140 2 2 110 140 2 2 400972,83,24,3 0,2,0,0 0,83,24,3 0,2,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-24.pcd 0.202198 0.000849374 0.000671996 2 22,19 18,16 0,0 389961 116 140 0 0 116 140 0 0 389845,94,20,2 0,0,0,0 0,94,20,2 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-24.pcd 0.168819 0.000587858 0.000697286 1 3 1 0 396032 109 140 0 0 109 140 0 0 395923,83,21,5 0,0,0,0 0,83,21,5 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-25.pcd 0.16772 0.000603672 0.000740885 1 36 29 0 378624 112 140 0 0 112 140 0 0 378512,92,15,2,3 0,0,0,0,0 0,92,15,2,3 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-27.pcd 0.165276 0.00100111 0.000478925 1 6 1 -1 420849 115 140 -1 -1 115 140 -1 -1 420734,96,16,2,0,0,1 -1 0,96,16,2,0,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-28.pcd 0.184668 0.000594249 0.000544507 1 25 24 0 398112 123 140 1 1 123 140 1 1 397989,107,15,1 0,1,0,0 0,107,15,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_17/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-29.pcd 0.165248 0.000591543 0.000835509 3 19,19,16 18,17,16 0,0,0 376064 128 140 0 0 128 140 0 0 375936,118,9,0,1 0,0,0,0,0 0,118,9,0,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_19/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-30.pcd 0.16489 0.000929449 0.000530175 2 23,20 21,15 0,0 361984 116 140 1 1 116 140 1 1 361868,94,20,2 0,1,0,0 0,94,20,2 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_21/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-31.pcd 0.156737 0.000965093 0.000459634 1 28 22 0 391545 116 140 0 0 116 140 0 0 391429,92,24 0,0,0 0,92,24 0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_23/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-32.pcd 0.138596 0.000982796 0.000471047 2 21,15 13,14 0,0 382239 115 140 2 2 115 140 2 2 382124,97,13,4,0,1 0,2,0,0,0,0 0,97,13,4,0,1 0,2,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_25/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-33.pcd 0.149612 0.00129497 0.000474862 1 19 13 0 372096 115 140 0 0 115 140 0 0 371981,96,14,4,1 0,0,0,0,0 0,96,14,4,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_27/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-34.pcd 0.137268 0.00173566 0.000450648 1 12 12 0 383724 112 140 1 1 112 140 1 1 383612,93,13,4,1,1 0,1,0,0,0,0 0,93,13,4,1,1 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_29/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-35.pcd 0.149346 0.000993026 0.000521842 1 21 17 0 372900 115 140 1 1 115 140 1 1 372785,95,15,5 0,1,0,0 0,95,15,5 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-36.pcd 0.161838 0.000580956 0.000452332 1 15 12 0 382800 113 140 0 0 113 140 0 0 382687,92,16,4,1 0,0,0,0,0 0,92,16,4,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140905/patrol_run_30/room_7/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-37.pcd 0.177684 0.000759019 0.00047805 2 22,20 14,16 0,0 369171 112 140 0 0 112 140 0 0 369059,88,20,4 0,0,0,0 0,88,20,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_32/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-38.pcd 0.166065 0.000648115 0.000477843 2 23,20 19,15 0,0 401082 115 140 0 0 115 140 0 0 400967,93,19,3 0,0,0,0 0,93,19,3 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_34/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-39.pcd 0.180538 0.000539101 0.000442552 1 3 1 0 386100 118 140 1 1 118 140 1 1 385982,97,20,1 0,1,0,0 0,97,20,1 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_36/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-40.pcd 0.159629 0.000572661 0.000445396 1 7 1 0 371316 110 140 0 0 110 140 0 0 371206,88,18,3,0,0,0,1 0,0,0,0,0,0,0,0 0,88,18,3,0,0,0,1 0,0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_38/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-41.pcd 0.193921 0.000580713 0.000526597 1 22 19 0 371910 121 140 2 2 121 140 2 2 371789,102,19 0,2,0 0,102,19 0,2,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_39/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-42.pcd 0.167144 0.000964428 0.000510329 1 29 26 0 382239 122 140 1 1 122 140 1 1 382117,106,15,0,1 0,1,0,0,0 0,106,15,0,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_41/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-43.pcd 0.178622 0.000614559 0.000532262 1 25 21 0 378972 115 140 2 2 115 140 2 2 378857,98,12,2,3 0,2,0,0,0 0,98,12,2,3 0,2,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_43/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-45.pcd 0.163414 0.000417131 0.000472337 1 18 16 0 371910 113 140 0 0 113 140 0 0 371797,92,17,2,2 0,0,0,0,0 0,92,17,2,2 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_45/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-47.pcd 0.19307 0.000955641 0.000487188 2 21,14 16,13 0,0 382239 118 140 0 0 118 140 0 0 382121,98,19,0,1 0,0,0,0,0 0,98,19,0,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140908/patrol_run_47/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-48.pcd 0.228056 0.000971648 0.000478033 1 13 12 0 380919 121 140 0 0 121 140 0 0 380798,104,15,2 0,0,0,0 0,104,15,2 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_49/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-49.pcd 0.166906 0.000578828 0.000649358 2 26,14 23,13 0,0 371316 121 140 0 0 121 140 0 0 371195,105,13,3 0,0,0,0 0,105,13,3 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_51/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-50.pcd 0.219545 0.00159739 0.000663901 1 3 1 0 378972 112 140 0 0 112 140 0 0 378860,88,20,4 0,0,0,0 0,88,20,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_53/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-52.pcd 0.15336 0.000950423 0.000439051 1 23 15 0 367488 110 140 0 0 110 140 0 0 367378,88,17,3,1,1 0,0,0,0,0,0 0,88,17,3,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_55/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-52.pcd 0.197123 0.00042224 0.000717509 2 23,14 19,13 0,0 378972 123 140 0 0 123 140 0 0 378849,108,13,2 0,0,0,0 0,108,13,2 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_59/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-54.pcd 0.17314 0.000591397 0.00116609 1 21 16 0 375144 109 140 1 1 109 140 1 1 375035,89,13,4,2,1 0,1,0,0,0,0 0,89,13,4,2,1 0,1,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_61/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-55.pcd 0.17282 0.000577231 0.000721257 1 16 15 0 375705 120 140 0 0 120 140 0 0 375585,103,15,1,1 0,0,0,0,0 0,103,15,1,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140909/patrol_run_63/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-56.pcd 0.141069 0.00154226 0.000495245 3 21,21,18 17,16,12 0,0,0 384846 106 140 0 0 106 140 0 0 384740,83,15,7,0,0,1 0,0,0,0,0,0,0 0,83,15,7,0,0,1 0,0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_67/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-57.pcd 0.165019 0.000628377 0.000496261 1 4 1 0 452760 112 140 0 0 112 140 0 0 452648,92,15,2,3 0,0,0,0,0 0,92,15,2,3 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_69/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-58.pcd 0.175684 0.000994787 0.000628948 1 18 14 0 371316 119 140 0 0 119 140 0 0 371197,99,19,1 0,0,0,0 0,99,19,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_71/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-52-59.pcd 0.164614 0.00102534 0.00047359 1 19 16 0 424710 117 140 1 1 117 140 1 1 424593,101,10,5,1 0,1,0,0,0 0,101,10,5,1 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_74/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-00.pcd 0.163092 0.000624638 0.000518534 1 4 1 0 367488 119 140 0 0 119 140 0 0 367369,103,12,3,1 0,0,0,0,0 0,103,12,3,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_77/room_4/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-01.pcd 0.185898 0.000563076 0.000641881 3 24,16,14 19,13,12 0,0,0 367488 119 140 0 0 119 140 0 0 367369,101,15,3 0,0,0,0 0,101,15,3 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_79/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-02.pcd 0.163965 0.000605037 0.000454349 1 23 15 0 377600 113 140 0 0 113 140 0 0 377487,88,24,0,1 0,0,0,0,0 0,88,24,0,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140910/patrol_run_81/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-03.pcd 0.109392 0.000555882 0.000489266 2 29,19 21,14 0,0 380919 106 140 0 0 106 140 0 0 380813,82,17,5,1,1 0,0,0,0,0,0 0,82,17,5,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140911/patrol_run_82/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-04.pcd 0.148249 0.000573092 0.000453825 1 4 1 0 419958 120 140 1 1 120 140 1 1 419838,106,10,2,2 0,1,0,0,0 0,106,10,2,2 0,1,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140911/patrol_run_84/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-05.pcd 0.216152 0.00084863 0.00065046 2 23,20 17,18 0,0 351648 110 140 0 0 110 140 0 0 351538,87,18,4,0,1 0,0,0,0,0,0 0,87,18,4,0,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140911/patrol_run_88/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-06.pcd 0.151687 0.000676739 0.000717521 1 33 23 0 357390 114 140 0 0 114 140 0 0 357276,92,18,4 0,0,0,0 0,92,18,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140911/patrol_run_90/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-07.pcd 0.149079 0.00101447 0.000422287 1 22 14 0 390456 107 140 0 0 107 140 0 0 390349,83,18,4,1,1 0,0,0,0,0,0 0,83,18,4,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140911/patrol_run_92/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-08.pcd 0.163155 0.000589623 0.000499351 1 27 23 0 405405 123 140 0 0 123 140 0 0 405282,107,15,1 0,0,0,0 0,107,15,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_100/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-09.pcd 0.242995 0.000587645 0.00074881 1 27 22 0 363776 121 140 0 0 121 140 0 0 363655,102,19 0,0,0 0,102,19 0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_102/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-10.pcd 0.157354 0.000829061 0.000432456 1 3 1 0 372900 113 140 0 0 113 140 0 0 372787,90,19,4 0,0,0,0 0,90,19,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_104/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-11.pcd 0.171479 0.000962617 0.000454867 1 4 1 0 351120 119 140 0 0 119 140 0 0 351001,102,14,2,1 0,0,0,0,0 0,102,14,2,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_94/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-12.pcd 0.16431 0.000691065 0.000471371 1 35 24 0 357504 111 140 0 0 111 140 0 0 357393,90,16,3,1,1 0,0,0,0,0,0 0,90,16,3,1,1 0,0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_96/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-13.pcd 0.158644 0.00101412 0.000484408 2 21,20 16,16 0,0 353856 118 140 0 0 118 140 0 0 353738,100,14,4 0,0,0,0 0,100,14,4 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140912/patrol_run_98/room_3/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-14.pcd 0.180999 0.000982509 0.000464656 2 20,13 18,12 0,0 364800 116 140 0 0 116 140 0 0 364684,93,22,1 0,0,0,0 0,93,22,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140921/patrol_run_110/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-15.pcd 0.0630433 0.0020308 0.000642406 3 31,19,15 24,12,12 0,0,0 277200 89 140 0 0 89 140 0 0 277111,55,22,7,5 0,0,0,0,0 0,55,22,7,5 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140921/patrol_run_112/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-16.pcd 0.202669 0.000745363 0.000640678 1 20 18 0 397683 120 140 1 1 120 140 1 1 397563,102,16,2 0,1,0,0 0,102,16,2 0,1,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140921/patrol_run_114/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-17.pcd 0.158462 0.000550951 0.000455312 2 17,16 13,12 0,0 385152 109 140 0 0 109 140 0 0 385043,83,21,5 0,0,0,0 0,83,21,5 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_116/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-18.pcd 0.212118 0.000496869 0.000677815 1 3 1 0 350526 123 140 0 0 123 140 0 0 350403,107,15,1 0,0,0,0 0,107,15,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_118/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-19.pcd 0.16975 0.000563643 0.000732169 1 4 1 0 358974 117 140 0 0 117 140 0 0 358857,99,14,3,1 0,0,0,0,0 0,99,14,3,1 0,0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_120/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-20.pcd 0.167532 0.000978196 0.000629473 1 34 30 0 383295 124 140 0 0 124 140 0 0 383171,109,14,1 0,0,0,0 0,109,14,1 0,0,0,0
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_124/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-21.pcd 0.173914 0.000615568 0.000749789 1 17 16 -1 404000 119 140 -1 -1 119 140 -1 -1 403881,101,16,1,1 -1 0,101,16,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_126/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-23.pcd 0.149063 0.000563574 0.000705155 1 5 1 -1 363776 115 140 -1 -1 115 140 -1 -1 363661,97,13,4,0,1 -1 0,97,13,4,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_128/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-24.pcd 0.172516 0.000608772 0.000504203 1 4 1 -1 378144 118 140 -1 -1 118 140 -1 -1 378026,100,15,2,1 -1 0,100,15,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_130/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-25.pcd 0.173796 0.000530742 0.000519958 2 22,18 18,14 -1 360525 126 140 -1 -1 126 140 -1 -1 360399,113,12,1 -1 0,113,12,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_132/room_1/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-26.pcd 0.162921 0.000694901 0.000433195 1 4 1 -1 373626 109 140 -1 -1 109 140 -1 -1 373517,84,20,4,1 -1 0,84,20,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_134/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-27.pcd 0.186497 0.000566447 0.000511719 1 23 19 -1 358512 121 140 -1 -1 121 140 -1 -1 358391,106,12,2,1 -1 0,106,12,2,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140922/patrol_run_138/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-28.pcd 0.164487 0.000599291 0.000540678 1 22 17 -1 415272 117 140 -1 -1 117 140 -1 -1 415155,97,18,1,1 -1 0,97,18,1,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_139/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-29.pcd 0.155648 0.0006045 0.000524969 1 19 15 -1 354816 120 140 -1 -1 120 140 -1 -1 354696,104,14,1,0,1 -1 0,104,14,1,0,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_141/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-30.pcd 0.157336 0.000573645 0.00047259 1 3 1 -1 354816 116 140 -1 -1 116 140 -1 -1 354700,94,20,2 -1 0,94,20,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_144/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-31.pcd 0.196565 0.00068389 0.000695443 1 4 1 -1 355740 114 140 -1 -1 114 140 -1 -1 355626,95,14,3,2 -1 0,95,14,3,2 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_146/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-32.pcd 0.166424 0.000573957 0.000475708 2 33,17 22,16 -1 376992 111 140 -1 -1 111 140 -1 -1 376881,88,18,4,1 -1 0,88,18,4,1 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_148/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-34.pcd 0.140698 0.000400627 0.00045635 1 3 1 -1 348096 118 140 -1 -1 118 140 -1 -1 347978,99,16,3 -1 0,99,16,3 -1
/media/michal/Pauli/masterdata/processed/annotated/rares/20140923/patrol_run_150/room_2/features/nonPlanes<shotcolor_susan_2015-05-18_14-53-35.pcd 0.149195 0.000954014 0.000465177 1 3 1 -1 371680 118 140 -1 -1 118 140 -1 -1 371562,97,20,1 -1 0,97,20,1 -1
