obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<pfh_iss_2015-05-28_10-53-32.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__39027: 'http://tycho:39027/'}
rosversion: '1.11.10

  '
run_id: 34322ea2-06b3-11e5-b10b-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-10-30.pcd 0.00980584 0.000613365 0.000539847 1 2 1 -1 378972 117 125 -1 -1 117 125 -1 -1 378855,109,8 -1 0,109,8 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-10-35.pcd 0.00959857 0.00053975 0.000570706 1 2 1 -1 393760 112 125 -1 -1 112 125 -1 -1 393648,99,13 -1 0,99,13 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-39.pcd 0.00943527 0.000562141 0.000655144 1 2 1 -1 389961 119 125 -1 -1 119 125 -1 -1 389842,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-43.pcd 0.00913727 0.000546398 0.00062654 1 3 1 -1 389760 114 125 -1 -1 114 125 -1 -1 389646,104,9,1 -1 0,104,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-47.pcd 0.00917529 0.000543311 0.000607519 1 3 1 -1 368000 117 125 -1 -1 117 125 -1 -1 367883,110,6,1 -1 0,110,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-52.pcd 0.0087688 0.000537191 0.000587023 1 2 1 -1 360640 114 125 -1 -1 114 125 -1 -1 360526,103,11 -1 0,103,11 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-56.pcd 0.00865062 0.000549592 0.000641588 1 2 1 -1 397683 116 125 -1 -1 116 125 -1 -1 397567,107,9 -1 0,107,9 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-59.pcd 0.00802007 0.000559992 0.000610419 1 2 1 -1 425184 114 125 -1 -1 114 125 -1 -1 425070,103,11 -1 0,103,11 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-11-03.pcd 0.00886468 0.000526763 0.000592863 1 2 1 -1 393294 114 125 -1 -1 114 125 -1 -1 393180,103,11 -1 0,103,11 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-06.pcd 0.00785367 0.000576015 0.0006079 1 3 1 -1 418176 114 125 -1 -1 114 125 -1 -1 418062,104,9,1 -1 0,104,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-11-10.pcd 0.00819076 0.000575614 0.000587047 1 2 1 -1 417186 111 125 -1 -1 111 125 -1 -1 417075,97,14 -1 0,97,14 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_iss_2015-05-29_10-11-13.pcd 0.0108542 0.000615224 0.000573211 1 3 1 -1 457776 115 125 -1 -1 115 125 -1 -1 457661,106,8,1 -1 0,106,8,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-19.pcd 0.00825322 0.000533829 0.00061195 1 2 1 -1 385152 113 125 -1 -1 113 125 -1 -1 385039,101,12 -1 0,101,12 -1
