obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<shot_iss_2015-05-28_10-52-13.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__55104: 'http://tycho:55104/'}
rosversion: '1.11.10

  '
run_id: e30c8f2c-06b2-11e5-b1ae-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_iss_2015-05-29_09-52-40.pcd 0.0683326 0.00150195 0.000865735 1 2 1 -1 378972 119 125 -1 -1 119 125 -1 -1 378853,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_iss_2015-05-29_09-52-48.pcd 0.0966352 0.00131993 0.000761705 1 2 1 -1 393760 121 125 -1 -1 121 125 -1 -1 393639,117,4 -1 0,117,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_iss_2015-05-29_09-52-59.pcd 0.0778725 0.0018795 0.000421631 1 2 1 -1 389961 119 125 -1 -1 119 125 -1 -1 389842,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_iss_2015-05-29_09-53-08.pcd 0.0778576 0.000885751 0.000679853 1 3 1 -1 389760 114 125 -1 -1 114 125 -1 -1 389646,104,9,1 -1 0,104,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-17.pcd 0.0928098 0.00133512 0.000666594 1 3 1 -1 368000 117 125 -1 -1 117 125 -1 -1 367883,110,6,1 -1 0,110,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-26.pcd 0.0761021 0.00127978 0.000760429 1 2 1 -1 360640 121 125 -1 -1 121 125 -1 -1 360519,117,4 -1 0,117,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-35.pcd 0.0701928 0.000565391 0.000716062 1 2 1 -1 397683 119 125 -1 -1 119 125 -1 -1 397564,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-42.pcd 0.0664488 0.00100557 0.000455472 1 2 1 -1 425184 119 125 -1 -1 119 125 -1 -1 425065,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_iss_2015-05-29_09-53-49.pcd 0.0609025 0.00055588 0.000590143 1 2 1 -1 393294 115 125 -1 -1 115 125 -1 -1 393179,105,10 -1 0,105,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_iss_2015-05-29_09-53-57.pcd 0.0702155 0.000565358 0.000724391 1 3 1 -1 418176 116 125 -1 -1 116 125 -1 -1 418060,108,7,1 -1 0,108,7,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_iss_2015-05-29_09-54-04.pcd 0.0734035 0.000636549 0.000759089 1 2 1 -1 417186 121 125 -1 -1 121 125 -1 -1 417065,117,4 -1 0,117,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_iss_2015-05-29_09-54-11.pcd 0.0961233 0.00132658 0.000820312 1 2 1 -1 457776 118 125 -1 -1 118 125 -1 -1 457658,111,7 -1 0,111,7 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_iss_2015-05-29_09-54-21.pcd 0.0736163 0.000935182 0.000838924 1 14 12 -1 385152 120 125 -1 -1 120 125 -1 -1 385032,116,3,1 -1 0,116,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_iss_2015-05-29_09-54-27.pcd 0.0823417 0.00101991 0.000826583 1 16 16 -1 373824 122 125 -1 -1 122 125 -1 -1 373702,119,3 -1 0,119,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_iss_2015-05-29_09-54-35.pcd 0.125894 0.00183703 0.000835747 1 13 13 -1 412335 119 125 -1 -1 119 125 -1 -1 412216,113,6 -1 0,113,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_iss_2015-05-29_09-54-43.pcd 0.150027 0.000926666 0.00108832 1 2 1 -1 389961 122 125 -1 -1 122 125 -1 -1 389839,119,3 -1 0,119,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_iss_2015-05-29_09-54-51.pcd 0.0871637 0.00180538 0.000731116 1 3 1 -1 421080 119 125 -1 -1 119 125 -1 -1 420961,114,4,1 -1 0,114,4,1 -1
