obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<fpfh_sift, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<fpfh_sift_2015-05-28_10-57-45.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__41578: 'http://tycho:41578/', host_tycho__42443: 'http://tycho:42443/'}
rosversion: '1.11.10

  '
run_id: ec3bd228-06b3-11e5-8454-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<fpfh_sift_2015-05-29_10-50-09.pcd 0.000245646 0.00158578 0.000238497 1 2 1 -1 446622 10 15 -1 -1 10 15 -1 -1 446612,5,5 -1 0,5,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<fpfh_sift_2015-05-29_10-50-09.pcd 0.00024575 0.00052514 9.2008e-05 1 2 1 -1 420552 9 15 -1 -1 9 15 -1 -1 420543,3,6 -1 0,3,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<fpfh_sift_2015-05-29_10-50-10.pcd 0.000239576 0.000506768 9.6091e-05 1 2 1 -1 397683 10 15 -1 -1 10 15 -1 -1 397673,5,5 -1 0,5,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<fpfh_sift_2015-05-29_10-50-11.pcd 0.00018416 0.000445553 6.0817e-05 1 4 1 -1 434176 9 15 -1 -1 9 15 -1 -1 434167,5,3,0,1 -1 0,5,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-12.pcd 0.000255623 0.000531872 6.0364e-05 1 2 1 -1 396627 9 15 -1 -1 9 15 -1 -1 396618,3,6 -1 0,3,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-13.pcd 0.000217967 0.000511879 8.9656e-05 1 4 1 -1 413952 9 15 -1 -1 9 15 -1 -1 413943,5,3,0,1 -1 0,5,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-13.pcd 0.000217884 0.000545272 8.7288e-05 1 4 1 -1 460845 9 15 -1 -1 9 15 -1 -1 460836,5,3,0,1 -1 0,5,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-14.pcd 0.000255392 0.000550988 9.0295e-05 1 2 1 -1 404481 10 15 -1 -1 10 15 -1 -1 404471,5,5 -1 0,5,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<fpfh_sift_2015-05-29_10-50-15.pcd 0.000194641 0.000621158 9.6468e-05 1 2 1 -1 451044 10 15 -1 -1 10 15 -1 -1 451034,5,5 -1 0,5,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<fpfh_sift_2015-05-29_10-50-15.pcd 0.000223971 0.000582791 9.2492e-05 1 2 1 -1 446622 10 15 -1 -1 10 15 -1 -1 446612,5,5 -1 0,5,5 -1
