obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shot_uniform, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<shot_uniform_2015-05-28_10-48-52.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__37279: 'http://tycho:37279/'}
rosversion: '1.11.10

  '
run_id: 50411940-06af-11e5-b572-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-29.pcd 1.50532 0.00177553 0.00102898 4 41,26,18,15 34,24,14,13 -1 449955 555 610 -1 -1 200 255 -1 -1 449400,510,37,6,2 -1 0,155,37,6,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shot_uniform_2015-05-29_08-42-30.pcd 1.27054 0.000592104 0.000776977 3 33,19,13 32,18,13 -1 424446 564 610 -1 -1 200 246 -1 -1 423882,523,37,3,1 -1 0,159,37,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-31.pcd 1.63643 0.000696935 0.000789485 6 20,19,19,18,14,12 16,17,16,15,14,12 -1 441870 551 610 -1 -1 200 259 -1 -1 441319,498,47,6 -1 0,147,47,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shot_uniform_2015-05-29_08-42-32.pcd 1.62133 0.000586239 0.00084011 5 47,30,23,19,15 39,28,22,16,13 -1 461736 559 610 -1 -1 200 251 -1 -1 461177,513,41,5 -1 0,154,41,5 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.79169 0.000710683 0.00133359 4 28,20,18,18 25,19,17,16 -1 404481 565 610 -1 -1 200 245 -1 -1 403916,526,33,6 -1 0,161,33,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-33.pcd 1.58472 0.000767432 0.00082978 2 53,23 49,18 -1 424710 566 610 -1 -1 200 244 -1 -1 424144,526,36,4 -1 0,160,36,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-34.pcd 1.46231 0.00036827 0.000341636 1 104 80 -1 456456 526 610 -1 -1 200 284 -1 -1 455930,452,64,10 -1 0,126,64,10 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-35.pcd 1.38894 0.000590775 0.000837314 1 85 74 -1 449592 563 610 -1 -1 200 247 -1 -1 449029,520,39,4 -1 0,157,39,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-36.pcd 1.41224 0.000680668 0.00040265 5 25,21,20,17,15 20,17,15,17,14 -1 451044 533 610 -1 -1 200 277 -1 -1 450511,470,51,10,2 -1 0,137,51,10,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-37.pcd 1.51024 0.000694073 0.000764024 3 25,19,19 21,16,15 -1 451044 554 610 -1 -1 200 256 -1 -1 450490,499,54,1 -1 0,145,54,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shot_uniform_2015-05-29_08-42-38.pcd 1.26926 0.000338893 0.000806792 4 34,29,21,15 30,21,20,15 -1 427977 551 610 -1 -1 200 259 -1 -1 427426,499,46,5,1 -1 0,148,46,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<shot_uniform_2015-05-29_08-42-39.pcd 1.68539 0.000831725 0.00078152 3 39,24,12 33,22,12 -1 470184 546 610 -1 -1 200 264 -1 -1 469638,490,48,8 -1 0,144,48,8 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-40.pcd 1.26766 0.000349728 0.000401306 2 41,36 36,31 -1 453024 547 610 -1 -1 200 263 -1 -1 452477,486,59,2 -1 0,139,59,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-41.pcd 1.31894 0.000338997 0.000607212 4 35,21,16,14 29,21,15,13 -1 434214 564 610 -1 -1 200 246 -1 -1 433650,524,35,4,1 -1 0,160,35,4,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<shot_uniform_2015-05-29_08-42-43.pcd 1.58385 0.000568812 0.000805956 3 57,21,17 54,21,16 -1 434313 570 610 -1 -1 200 240 -1 -1 433743,534,32,4 -1 0,164,32,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<shot_uniform_2015-05-29_08-42-44.pcd 1.65703 0.000743801 0.000988446 3 31,26,15 29,21,14 -1 462264 568 610 -1 -1 200 242 -1 -1 461696,527,40,1 -1 0,159,40,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-45.pcd 1.52097 0.000729673 0.00125932 3 39,27,17 35,23,13 -1 491568 554 610 -1 -1 200 256 -1 -1 491014,505,43,5,1 -1 0,151,43,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140904/patrol_run_15/room_2/features/nonPlanes<shot_uniform_2015-05-29_08-42-46.pcd 1.55372 0.000626349 0.00113999 3 49,17,15 42,13,15 -1 517902 563 610 -1 -1 200 247 -1 -1 517339,524,33,4,2 -1 0,161,33,4,2 -1
