obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<shotcolor_uniform,
  n_max_points: 200, output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/backpack2/features/rgb_0003_label_backpack2<shotcolor_uniform_2015-05-28_10-49-02.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__35904: 'http://tycho:35904/'}
rosversion: '1.11.10

  '
run_id: fec7cf5e-06af-11e5-b652-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-08.pcd 6.85832 0.00177117 0.000890558 2 21,20 16,15 -1 449955 541 610 -1 -1 200 269 -1 -1 449414,480,54,6,1 -1 0,139,54,6,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-09.pcd 7.65557 0.000539899 0.000341027 3 33,20,15 23,13,12 -1 424446 527 610 -1 -1 200 283 -1 -1 423919,457,58,11,1 -1 0,130,58,11,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-11.pcd 7.34224 0.000791567 0.00139157 3 47,36,15 35,32,13 -1 441870 534 610 -1 -1 200 276 -1 -1 441336,471,50,13 -1 0,137,50,13 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-12.pcd 6.51199 0.000606992 0.000837528 5 49,22,20,20,16 34,19,18,12,14 -1 461736 536 610 -1 -1 200 274 -1 -1 461200,477,47,10,1,1 -1 0,141,47,10,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-13.pcd 8.85595 0.000626193 0.00117768 4 29,28,18,14 19,20,12,14 -1 404481 533 610 -1 -1 200 277 -1 -1 403948,468,54,10,1 -1 0,135,54,10,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-15.pcd 6.83385 0.00078002 0.000998034 5 49,35,34,24,22 33,16,19,18,20 -1 424710 515 610 -1 -1 200 295 -1 -1 424195,444,53,14,2,2 -1 0,129,53,14,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-16.pcd 6.97869 0.000835022 0.000810639 3 55,43,16 29,24,13 -1 456456 491 610 -1 -1 200 319 -1 -1 455965,401,70,14,5,0,0,1 -1 0,110,70,14,5,0,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-17.pcd 6.2841 0.00076213 0.000765628 3 31,18,14 18,13,12 -1 449592 532 610 -1 -1 200 278 -1 -1 449060,471,50,7,3,0,1 -1 0,139,50,7,3,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-19.pcd 7.18415 0.000706029 0.00135244 4 38,24,22,14 35,21,16,13 -1 451044 532 610 -1 -1 200 278 -1 -1 450512,471,49,8,3,1 -1 0,139,49,8,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-20.pcd 6.45918 0.000376169 0.000847634 4 44,42,36,20 27,31,27,14 -1 451044 529 610 -1 -1 200 281 -1 -1 450515,459,60,9,1 -1 0,130,60,9,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<shotcolor_uniform_2015-05-29_08-44-21.pcd 7.87175 0.000894302 0.00124526 2 39,36 30,25 -1 427977 530 610 -1 -1 200 280 -1 -1 427447,462,58,8,2 -1 0,132,58,8,2 -1
