obj_search:
  camera_z: 1.7
  ceiling_z: 2.27
  floor_z: 0
  object_query: {K: 5}
  processed_data_dir: /home/michal/Downloads/pcddata/processed/
  raw_data_dir: /media/michal/Pauli/masterdata/raw/
object_query: {K: 5, cluster_maxsize: 500, cluster_minsize: 12, cluster_tolerance: 0.2,
  clusters_to_results: true, extract_mult: 1.3, match: nonPlanes<pfh_iss, n_max_points: 200,
  output_dir: 'NULL', query_features: '/home/michal/Downloads/pcddata/processed/query/queryobjects/0,015/chair1/features/rgb_0015_label_chair1<pfh_iss_2015-05-28_10-53-42.pcd',
  results_out: '/home/michal/Downloads/pcddata/processed/query/k5_mx200_t0,2/ds0,015_mp9000',
  subdirs: 4, target_features: '/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000',
  x_step_hough: 0.05, y_step_hough: 0.05, z_step_hough: 0.05}
rosdistro: 'indigo

  '
roslaunch:
  uris: {host_tycho__56317: 'http://tycho:56317/'}
rosversion: '1.11.10

  '
run_id: 6f9de76e-06aa-11e5-a343-3c970e77227e
BEGIN_DATA
# fname t_query t_hough t_cluster cluster_n cluster_scores cluster_points cluster_inobb n_hough_tot nonzero_hough hough_votes boxpts boxvotes maxpts maxvotes maxboxpts maxboxvotes hough_hist box_hist max_hist boxmax_hist
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_2/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-10-30.pcd 0.0126367 0.00172017 0.00163408 3 48,31,29 29,16,14 -1 378972 306 440 -1 -1 200 334 -1 -1 378666,217,65,14,5,1,2,2 -1 0,111,65,14,5,1,2,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140820/patrol_run_4/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-10-35.pcd 0.00923879 0.000441871 0.000759293 3 38,32,23 26,21,14 -1 393760 310 440 -1 -1 200 330 -1 -1 393450,227,58,14,4,3,4 -1 0,117,58,14,4,3,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140828/patrol_run_19/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-39.pcd 0.0090977 0.000684124 0.00134687 3 50,45,19 32,32,13 -1 389961 320 440 -1 -1 200 320 -1 -1 389641,231,68,13,7,0,1 -1 0,111,68,13,7,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_20/room_3/features/nonPlanes<pfh_iss_2015-05-29_10-10-43.pcd 0.00906249 0.000641109 0.00134676 3 44,40,26 22,18,16 -1 389760 280 440 -1 -1 200 360 -1 -1 389480,178,63,24,12,2,1 -1 0,98,63,24,12,2,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140829/patrol_run_26/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-47.pcd 0.00939556 0.00063128 0.00081249 3 29,21,21 17,14,12 -1 368000 308 440 -1 -1 200 332 -1 -1 367692,210,72,20,4,2 -1 0,102,72,20,4,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_27/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-52.pcd 0.00801403 0.000607834 0.00129529 4 40,38,32,32 25,20,20,19 -1 360640 291 440 -1 -1 200 349 -1 -1 360349,200,57,18,12,2,1,0,1 -1 0,109,57,18,12,2,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_31/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-56.pcd 0.00854838 0.000627912 0.00135535 4 57,47,42,24 29,23,25,13 -1 397683 273 440 -1 -1 200 367 -1 -1 397410,171,61,21,16,4 -1 0,98,61,21,16,4 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_32/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-10-59.pcd 0.00899168 0.000670189 0.00126366 2 57,22 27,14 -1 425184 269 440 -1 -1 200 371 -1 -1 424915,162,62,33,7,4,0,1 -1 0,93,62,33,7,4,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140901/patrol_run_33/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-11-03.pcd 0.00941183 0.000645041 0.00129324 3 55,51,31 28,22,17 -1 393294 259 440 -1 -1 200 381 -1 -1 393035,144,73,24,12,6 -1 0,85,73,24,12,6 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_35/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-06.pcd 0.00727035 0.000490438 0.000797444 4 39,38,21,14 23,22,16,12 -1 418176 291 440 -1 -1 200 349 -1 -1 417885,194,64,23,3,5,2 -1 0,103,64,23,3,5,2 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140902/patrol_run_38/room_0/features/nonPlanes<pfh_iss_2015-05-29_10-11-10.pcd 0.00849005 0.000697063 0.000835703 3 58,41,29 37,30,17 -1 417186 281 440 -1 -1 200 359 -1 -1 416905,182,64,18,14,1,0,1,1 -1 0,101,64,18,14,1,0,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_1/room_4/features/nonPlanes<pfh_iss_2015-05-29_10-11-13.pcd 0.0149692 0.000703113 0.00121196 3 46,20,18 25,13,13 -1 457776 302 440 -1 -1 200 338 -1 -1 457474,203,74,17,5,1,1,1 -1 0,101,74,17,5,1,1,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_10/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-19.pcd 0.0122558 0.00090471 0.00138545 4 77,41,33,26 43,21,18,16 -1 385152 288 440 -1 -1 200 352 -1 -1 384864,192,58,25,9,3,1 -1 0,104,58,25,9,3,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_12/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-23.pcd 0.0170566 0.00193654 0.00359366 3 48,36,20 30,19,15 -1 373824 321 440 -1 -1 200 319 -1 -1 373503,248,49,15,4,0,2,3 -1 0,127,49,15,4,0,2,3 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_14/room_1/features/nonPlanes<pfh_iss_2015-05-29_10-11-27.pcd 0.0118227 0.000672366 0.00133473 3 39,33,28 25,20,15 -1 412335 295 440 -1 -1 200 345 -1 -1 412040,199,68,14,8,5,1 -1 0,104,68,14,8,5,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_2/room_4/features/nonPlanes<pfh_iss_2015-05-29_10-11-31.pcd 0.0128204 0.000558252 0.00133513 3 57,38,29 37,21,17 -1 389961 315 440 -1 -1 200 325 -1 -1 389646,231,59,18,2,3,1,0,1 -1 0,116,59,18,2,3,1,0,1 -1
/home/michal/Downloads/pcddata/processed/paramtest/ds0,015_mp9000/annotated/rares/20140903/patrol_run_9/room_2/features/nonPlanes<pfh_iss_2015-05-29_10-11-36.pcd 0.00503526 0.000301215 0.00054394 3 42,35,31 19,20,18 -1 421080 305 440 -1 -1 200 335 -1 -1 420775,215,65,13,7,3,1,1 -1 0,110,65,13,7,3,1,1 -1
